scene,tick,rgb_present,rangefinder_raw_beams,rangefinder_hit_beam_indices,any_rangefinder_hit,rangefinder_min_positive_range_m
target_right_inner_35m,1,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.9633674621582, -1.0, -1.0]",[6],True,33.9633674621582
target_right_inner_35m,2,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.96223831176758, -1.0, -1.0]",[6],True,33.96223831176758
target_right_inner_35m,3,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.96140670776367, -1.0, -1.0]",[6],True,33.96140670776367
target_right_inner_35m,4,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.961509704589844, -1.0, -1.0]",[6],True,33.961509704589844
target_right_inner_35m,5,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.9621467590332, -1.0, -1.0]",[6],True,33.9621467590332
target_right_inner_35m,6,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.9642448425293, -1.0, -1.0]",[6],True,33.9642448425293
target_right_inner_35m,7,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.96686553955078, -1.0, -1.0]",[6],True,33.96686553955078
target_right_inner_35m,8,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.96976852416992, -1.0, -1.0]",[6],True,33.96976852416992
target_right_inner_35m,9,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.972625732421875, -1.0, -1.0]",[6],True,33.972625732421875
target_right_inner_35m,10,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.974830627441406, -1.0, -1.0]",[6],True,33.974830627441406
target_right_inner_35m,11,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.9762077331543, -1.0, -1.0]",[6],True,33.9762077331543
target_right_inner_35m,12,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 33.97653579711914, -1.0, -1.0]",[6],True,33.97653579711914
target_right_outer_35m,1,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 39.39585876464844, -1.0]",[7],True,39.39585876464844
target_right_outer_35m,2,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 39.39585876464844, -1.0]",[7],True,39.39585876464844
target_right_outer_35m,3,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 39.39585876464844, -1.0]",[7],True,39.39585876464844
target_right_outer_35m,4,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 39.39585876464844, -1.0]",[7],True,39.39585876464844
target_right_outer_35m,5,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 39.39585876464844, -1.0]",[7],True,39.39585876464844
target_right_outer_35m,6,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 39.39585876464844, -1.0]",[7],True,39.39585876464844
target_right_outer_35m,7,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 39.39585876464844, -1.0]",[7],True,39.39585876464844
target_right_outer_35m,8,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 39.39585876464844, -1.0]",[7],True,39.39585876464844
target_right_outer_35m,9,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 39.39585876464844, -1.0]",[7],True,39.39585876464844
target_right_outer_35m,10,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 39.39585876464844, -1.0]",[7],True,39.39585876464844
target_right_outer_35m,11,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 39.39585876464844, -1.0]",[7],True,39.39585876464844
target_right_outer_35m,12,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 39.39585876464844, -1.0]",[7],True,39.39585876464844
target_left_outer_50m,1,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
target_left_outer_50m,2,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
target_left_outer_50m,3,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
target_left_outer_50m,4,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
target_left_outer_50m,5,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
target_left_outer_50m,6,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
target_left_outer_50m,7,True,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
target_left_outer_50m,8,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
target_left_outer_50m,9,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
target_left_outer_50m,10,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
target_left_outer_50m,11,False,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",[],False,
