assignment_mode,avoidance_group,map_kind,episode_seed,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,known_free_observation_ratio_final,planning_time_ms_mean,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count
independent,obstacle_only,open_water,3,soft_clearance_astar_v1,off,1.0,1.0,128,,0.3333333333333333,0.5592396109637489,53.0730437499642,0,0,0,0.0,0,0
independent,obstacle_only,open_water,4,soft_clearance_astar_v1,off,1.0,1.0,189,,0.3333333333333333,0.6162687886825818,59.25562374998966,0,0,0,0.0,0,0
independent,obstacle_only,harbor_cove,0,soft_clearance_astar_v1,off,1.0,1.0,147,,0.3333333333333333,0.7828947368421053,87.91326166666143,0,0,0,0.0,0,0
independent,obstacle_only,harbor_cove,1,soft_clearance_astar_v1,off,1.0,1.0,79,,0.3333333333333333,0.6614583333333334,69.92991208332266,0,0,0,0.0,0,0
independent,obstacle_only,harbor_cove,2,soft_clearance_astar_v1,off,1.0,1.0,54,,0.3333333333333333,0.8270285087719298,107.46139166658395,0,0,0,0.0,0,0
independent,obstacle_only,harbor_cove,3,soft_clearance_astar_v1,off,1.0,1.0,108,124,1.0,0.5411184210526315,63.04894838718434,0,0,0,0.0,0,0
independent,obstacle_only,harbor_cove,4,soft_clearance_astar_v1,off,1.0,1.0,144,,0.3333333333333333,0.8928179824561403,98.7045845833715,0,0,0,0.0,0,0
independent,obstacle_only,peninsula_passage,0,soft_clearance_astar_v1,off,1.0,1.0,120,,0.6666666666666666,0.6367050575863795,74.36034791664952,0,0,0,0.0,0,0
independent,obstacle_only,peninsula_passage,1,soft_clearance_astar_v1,off,1.0,1.0,25,,0.6666666666666666,0.6166750125187782,144.58616958334764,0,0,0,0.0,0,0
independent,obstacle_only,peninsula_passage,2,soft_clearance_astar_v1,off,1.0,1.0,17,,0.6666666666666666,0.613420130195293,72.63569916662316,0,0,0,0.0,0,0
independent,obstacle_only,peninsula_passage,3,soft_clearance_astar_v1,off,1.0,1.0,61,157,1.0,0.6249374061091637,81.11098535034222,0,0,0,0.0,0,0
independent,obstacle_only,peninsula_passage,4,soft_clearance_astar_v1,off,1.0,1.0,94,132,1.0,0.4752128192288433,63.21760984857258,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,open_water,0,soft_clearance_astar_v1,reservation_v1,1.0,1.0,6,212,1.0,0.7115384615384616,139.17192405658153,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,open_water,1,soft_clearance_astar_v1,reservation_v1,1.0,1.0,18,,0.6666666666666666,0.5366931918656057,56.72657000003861,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,open_water,2,soft_clearance_astar_v1,reservation_v1,1.0,1.0,195,,0.3333333333333333,0.7106542882404951,76.00893458326634,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,open_water,3,soft_clearance_astar_v1,reservation_v1,1.0,1.0,128,,0.3333333333333333,0.5592396109637489,52.703399583288046,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,open_water,4,soft_clearance_astar_v1,reservation_v1,1.0,1.0,189,,0.3333333333333333,0.6162687886825818,57.41899625005923,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,harbor_cove,0,soft_clearance_astar_v1,reservation_v1,1.0,1.0,147,,0.3333333333333333,0.7828947368421053,88.6422691666894,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,harbor_cove,1,soft_clearance_astar_v1,reservation_v1,1.0,1.0,79,,0.3333333333333333,0.6614583333333334,70.42074874993887,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,harbor_cove,2,soft_clearance_astar_v1,reservation_v1,1.0,1.0,54,,0.3333333333333333,0.8270285087719298,106.22257166668685,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,harbor_cove,3,soft_clearance_astar_v1,reservation_v1,1.0,1.0,108,124,1.0,0.5411184210526315,71.06693306455313,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,harbor_cove,4,soft_clearance_astar_v1,reservation_v1,1.0,1.0,144,,0.3333333333333333,0.8928179824561403,120.7009087499955,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,peninsula_passage,0,soft_clearance_astar_v1,reservation_v1,1.0,1.0,120,,0.6666666666666666,0.6367050575863795,77.1408212500243,0,0,0,0.00026041666666666666,0,0
independent,full_dual_avoidance_v1,peninsula_passage,1,soft_clearance_astar_v1,reservation_v1,1.0,1.0,25,,0.6666666666666666,0.6166750125187782,137.2866904166282,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,peninsula_passage,2,soft_clearance_astar_v1,reservation_v1,1.0,1.0,17,,0.6666666666666666,0.613420130195293,72.26752250001027,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,peninsula_passage,3,soft_clearance_astar_v1,reservation_v1,1.0,1.0,61,157,1.0,0.6249374061091637,75.04355477699883,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,peninsula_passage,4,soft_clearance_astar_v1,reservation_v1,1.0,1.0,94,132,1.0,0.4752128192288433,59.420684848439784,0,0,0,0.0,0,0
