tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout
1471,2,45,40,0.0,-25.0,14.982236862182617,-25.699432373046875,0.1637416034936905,14.982236862182617,-25.699432373046875,0.1637416034936905,45,43,14.998554164952354,False,False
1472,2,45,40,0.0,-25.0,14.932562828063965,-25.695253372192383,0.16363245248794556,14.932562828063965,-25.695253372192383,0.16363245248794556,45,43,14.948739407241755,False,False
1473,2,45,40,0.0,-25.0,14.88288402557373,-25.691120147705078,0.16351063549518585,14.88288402557373,-25.691120147705078,0.16351063549518585,45,43,14.8989222421369,False,False
1474,2,45,40,0.0,-25.0,14.83320140838623,-25.687030792236328,0.16343562304973602,14.83320140838623,-25.687030792236328,0.16343562304973602,45,43,14.849103519446288,False,False
1475,2,45,40,0.0,-25.0,14.783514976501465,-25.682985305786133,0.16340215504169464,14.783514976501465,-25.682985305786133,0.16340215504169464,45,43,14.799283225493149,False,False
1476,2,45,40,0.0,-25.0,14.733823776245117,-25.678985595703125,0.16340547800064087,14.733823776245117,-25.678985595703125,0.16340547800064087,45,43,14.74946048195046,False,False
1477,2,45,40,0.0,-25.0,14.68412971496582,-25.67502784729004,0.16344133019447327,14.68412971496582,-25.67502784729004,0.16344133019447327,45,43,14.699637005061016,False,False
1478,2,45,40,0.0,-25.0,14.634430885314941,-25.671113967895508,0.16344709694385529,14.634430885314941,-25.671113967895508,0.16344709694385529,45,43,14.649810964478835,False,False
1479,2,45,40,0.0,-25.0,14.584728240966797,-25.6672420501709,0.1633664071559906,14.584728240966797,-25.6672420501709,0.1633664071559906,45,43,14.599983212879756,False,False
1480,2,45,40,0.0,-25.0,14.535021781921387,-25.66341209411621,0.1632661670446396,14.535021781921387,-25.66341209411621,0.1632661670446396,45,43,14.55015373827881,False,False
1481,2,45,40,0.0,-25.0,14.485311508178711,-25.659624099731445,0.16314774751663208,14.485311508178711,-25.659624099731445,0.16314774751663208,45,43,14.500322528892974,False,False
1482,2,45,40,0.0,-25.0,14.43559741973877,-25.6558780670166,0.16301244497299194,14.43559741973877,-25.6558780670166,0.16301244497299194,45,43,14.450489573144644,False,False
1483,2,45,40,0.0,-25.0,14.385880470275879,-25.65217399597168,0.16286137700080872,14.385880470275879,-25.65217399597168,0.16286137700080872,45,43,14.400655812360998,False,False
1484,2,45,40,0.0,-25.0,14.336158752441406,-25.648508071899414,0.16269555687904358,14.336158752441406,-25.648508071899414,0.16269555687904358,45,43,14.350819157613305,False,False
1485,2,45,40,0.0,-25.0,14.2864351272583,-25.644882202148438,0.16251593828201294,14.2864351272583,-25.644882202148438,0.16251593828201294,45,43,14.300982543168415,False,False
1486,2,45,40,0.0,-25.0,14.236706733703613,-25.64129638671875,0.16232335567474365,14.236706733703613,-25.64129638671875,0.16232335567474365,45,43,14.25114310071653,False,False
1487,2,45,40,0.0,-25.0,14.186976432800293,-25.63774871826172,0.16217735409736633,14.186976432800293,-25.63774871826172,0.16217735409736633,45,43,14.201303592715544,False,False
1488,2,45,40,0.0,-25.0,14.137242317199707,-25.634241104125977,0.16219033300876617,14.137242317199707,-25.634241104125977,0.16219033300876617,45,43,14.151462189942956,False,False
1489,2,45,40,0.0,-25.0,14.087505340576172,-25.630769729614258,0.16234584152698517,14.087505340576172,-25.630769729614258,0.16234584152698517,45,43,14.101619664866863,False,False
1490,2,45,40,0.0,-25.0,14.037764549255371,-25.627336502075195,0.16262906789779663,14.037764549255371,-25.627336502075195,0.16262906789779663,45,43,14.051775141496066,False,False
1491,2,45,40,0.0,-25.0,13.988021850585938,-25.62394142150879,0.1628503054380417,13.988021850585938,-25.62394142150879,0.1628503054380417,45,43,14.001930516537499,False,False
1492,2,45,40,0.0,-25.0,13.938275337219238,-25.620580673217773,0.1630152314901352,13.938275337219238,-25.620580673217773,0.1630152314901352,45,43,13.952083706318046,False,False
1493,2,45,40,0.0,-25.0,13.888526916503906,-25.61725616455078,0.16312897205352783,13.888526916503906,-25.61725616455078,0.16312897205352783,45,43,13.902236693537104,False,False
1494,2,45,40,0.0,-25.0,13.838774681091309,-25.613967895507812,0.1631961464881897,13.838774681091309,-25.613967895507812,0.1631961464881897,45,43,13.852387564991393,False,False
1495,2,45,40,0.0,-25.0,13.789019584655762,-25.6107120513916,0.16316209733486176,13.789019584655762,-25.6107120513916,0.16316209733486176,45,43,13.802537097060638,False,False
1496,2,45,40,0.0,-25.0,13.739262580871582,-25.607492446899414,0.16303645074367523,13.739262580871582,-25.607492446899414,0.16303645074367523,45,43,13.752686404451236,False,False
1497,2,45,40,0.0,-25.0,13.689501762390137,-25.604307174682617,0.16288667917251587,13.689501762390137,-25.604307174682617,0.16288667917251587,45,43,13.702833490335331,False,False
1498,2,45,40,0.0,-25.0,13.639739036560059,-25.601152420043945,0.16271468997001648,13.639739036560059,-25.601152420043945,0.16271468997001648,45,43,13.652980085592485,False,False
1499,2,45,40,0.0,-25.0,13.589973449707031,-25.598031997680664,0.1626986265182495,13.589973449707031,-25.598031997680664,0.1626986265182495,45,43,13.603125399480517,False,False
1500,2,45,40,0.0,-25.0,13.540205955505371,-25.59494400024414,0.16282235085964203,13.540205955505371,-25.59494400024414,0.16282235085964203,45,43,13.55327029469012,False,False
1501,2,45,40,0.0,-25.0,13.490436553955078,-25.591888427734375,0.16313019394874573,13.490436553955078,-25.591888427734375,0.16313019394874573,45,43,13.50341476542779,False,False
1502,2,45,40,0.0,-25.0,13.440664291381836,-25.5888614654541,0.16336801648139954,13.440664291381836,-25.5888614654541,0.16336801648139954,45,43,13.45355768631939,False,False
1503,2,45,40,0.0,-25.0,13.390889167785645,-25.585866928100586,0.16348357498645782,13.390889167785645,-25.585866928100586,0.16348357498645782,45,43,13.403699219296177,False,False
1504,2,45,40,0.0,-25.0,13.34111213684082,-25.582901000976562,0.16348861157894135,13.34111213684082,-25.582901000976562,0.16348861157894135,45,43,13.3538401452429,False,False
1505,2,45,40,0.0,-25.0,13.291333198547363,-25.579965591430664,0.16339372098445892,13.291333198547363,-25.579965591430664,0.16339372098445892,45,43,13.303980542756774,False,False
1506,2,45,40,0.0,-25.0,13.241551399230957,-25.577058792114258,0.16320843994617462,13.241551399230957,-25.577058792114258,0.16320843994617462,45,43,13.254119371275923,False,False
1507,2,45,40,0.0,-25.0,13.191767692565918,-25.57417869567871,0.1629413664340973,13.191767692565918,-25.57417869567871,0.1629413664340973,45,43,13.204257496322814,False,False
1508,2,45,40,0.0,-25.0,13.141982078552246,-25.57132911682129,0.16277658939361572,13.141982078552246,-25.57132911682129,0.16277658939361572,45,43,13.154395079695464,False,False
1509,2,45,40,0.0,-25.0,13.092193603515625,-25.568504333496094,0.16270343959331512,13.092193603515625,-25.568504333496094,0.16270343959331512,45,43,13.104530916028216,False,False
1510,2,45,40,0.0,-25.0,13.042404174804688,-25.56570816040039,0.16265344619750977,13.042404174804688,-25.56570816040039,0.16265344619750977,45,43,13.054667072802214,False,False
1511,2,45,40,0.0,-25.0,12.992612838745117,-25.562936782836914,0.16262386739253998,12.992612838745117,-25.562936782836914,0.16262386739253998,45,43,13.004802428295296,False,False
1512,2,45,40,0.0,-25.0,12.942819595336914,-25.560192108154297,0.162612184882164,12.942819595336914,-25.560192108154297,0.162612184882164,45,43,12.954937061810666,False,False
1513,2,45,40,0.0,-25.0,12.893024444580078,-25.557472229003906,0.1626749485731125,12.893024444580078,-25.557472229003906,0.1626749485731125,45,43,12.905070887625918,False,False
1514,2,45,40,0.0,-25.0,12.84322738647461,-25.554777145385742,0.16280429065227509,12.84322738647461,-25.554777145385742,0.16280429065227509,45,43,12.855203902767695,False,False
1515,2,45,40,0.0,-25.0,12.793429374694824,-25.552106857299805,0.16299305856227875,12.793429374694824,-25.552106857299805,0.16299305856227875,45,43,12.805337057148549,False,False
1516,2,45,40,0.0,-25.0,12.74362850189209,-25.54945945739746,0.16317610442638397,12.74362850189209,-25.54945945739746,0.16317610442638397,45,43,12.755468360258668,False,False
1517,2,45,40,0.0,-25.0,12.693826675415039,-25.546836853027344,0.16335353255271912,12.693826675415039,-25.546836853027344,0.16335353255271912,45,43,12.705599797306197,False,False
1518,2,45,40,0.0,-25.0,12.644022941589355,-25.544235229492188,0.1635255068540573,12.644022941589355,-25.544235229492188,0.1635255068540573,45,43,12.655730248881664,False,False
1519,2,45,40,0.0,-25.0,12.594218254089355,-25.541654586791992,0.16369211673736572,12.594218254089355,-25.541654586791992,0.16369211673736572,45,43,12.60586066569952,False,False
1520,2,45,40,0.0,-25.0,12.544411659240723,-25.53909683227539,0.1638534814119339,12.544411659240723,-25.53909683227539,0.1638534814119339,45,43,12.555990174855344,False,False
1521,2,45,40,0.0,-25.0,12.494603157043457,-25.536561965942383,0.16395090520381927,12.494603157043457,-25.536561965942383,0.16395090520381927,45,42,12.506118774235926,False,False
