system_name,episode_seed,map_kind,target_motion_mode,assignment_mode,clue_acquisition_mode,success_all_found,time_to_first_detection,time_to_all_found,time_to_next_detection,detection_rate,found_count,known_free_observation_ratio_final,path_length_total,path_length_by_usv,duplicate_viewpoint_ratio,cross_region_assignment_ratio,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,wait_count_total,wait_count_by_usv,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
two_usv_independent,5,open_water,static,independent,anomaly_upper_tail,False,46,,89.0,0.6666666666666666,2,0.7911140583554377,480,"[240, 240]",0.004166666666666667,0.13541666666666666,0,0.0,0,0,0,"[0, 0]",0.2391304347826087,0.020859681719457585
two_usv_independent,6,open_water,static,independent,anomaly_upper_tail,True,26,97,35.5,1.0,3,0.3757736516357206,194,"[97, 97]",0.0,0.24742268041237114,0,0.0,0,0,0,"[0, 0]",0.15384615384615385,0.030719612134337507
two_usv_independent,7,open_water,static,independent,anomaly_upper_tail,True,46,60,7.0,1.0,3,0.29619805481874445,120,"[60, 60]",0.016666666666666666,0.05,0,0.0,0,0,0,"[0, 0]",0.34782608695652173,0.023868736772995905
two_usv_independent,8,open_water,static,independent,anomaly_upper_tail,True,12,101,44.5,1.0,3,0.4297082228116711,202,"[101, 101]",0.0,0.24752475247524752,0,0.0,0,0,0,"[0, 0]",0.20833333333333334,0.028605596353125293
two_usv_independent,9,open_water,static,independent,anomaly_upper_tail,False,34,,19.0,0.6666666666666666,2,0.6286472148541115,480,"[240, 240]",0.0125,0.33125,0,0.0,0,0,0,"[0, 0]",0.17647058823529413,0.02390305175969501
two_usv_independent,0,harbor_cove,static,independent,anomaly_upper_tail,True,86,180,47.0,1.0,3,0.694078947368421,360,"[180, 180]",0.005555555555555556,0.08888888888888889,0,0.0,0,0,0,"[0, 0]",0.3430232558139535,0.028454350877820382
two_usv_independent,1,harbor_cove,static,independent,anomaly_upper_tail,False,76,,,0.3333333333333333,1,0.6408991228070176,480,"[240, 240]",0.004166666666666667,0.33541666666666664,0,0.0,0,0,0,"[0, 0]",0.34210526315789475,0.029431151129035705
two_usv_independent,2,harbor_cove,static,independent,anomaly_upper_tail,False,51,,,0.3333333333333333,1,0.8341557017543859,480,"[240, 240]",0.008333333333333333,0.24166666666666667,0,0.0,0,0,0,"[0, 0]",0.27450980392156865,0.022459686704487926
two_usv_independent,3,harbor_cove,static,independent,anomaly_upper_tail,True,13,131,59.0,1.0,3,0.5603070175438597,262,"[131, 131]",0.0,0.23282442748091603,0,0.0,0,0,0,"[0, 0]",0.34615384615384615,0.03471266798354915
two_usv_independent,4,harbor_cove,static,independent,anomaly_upper_tail,True,12,227,107.5,1.0,3,0.8404605263157895,454,"[227, 227]",0.0,0.15198237885462554,0,0.0,0,0,0,"[0, 0]",0.375,0.040443844947943314
two_usv_independent,5,harbor_cove,static,independent,anomaly_upper_tail,False,62,,6.0,0.6666666666666666,2,0.7801535087719298,480,"[240, 240]",0.004166666666666667,0.35625,0,0.0,0,0,0,"[0, 0]",0.31451612903225806,0.0280926109584643
two_usv_independent,6,harbor_cove,static,independent,anomaly_upper_tail,True,16,45,14.5,1.0,3,0.26480263157894735,90,"[45, 45]",0.022222222222222223,0.03333333333333333,0,0.0,0,0,0,"[0, 0]",0.59375,0.042827191223607286
two_usv_independent,7,harbor_cove,static,independent,anomaly_upper_tail,True,71,88,8.5,1.0,3,0.49835526315789475,176,"[88, 88]",0.0,0.045454545454545456,0,0.0,0,0,0,"[0, 0]",0.31690140845070425,0.026981458342072346
two_usv_independent,8,harbor_cove,static,independent,anomaly_upper_tail,False,121,,26.0,0.6666666666666666,2,0.8887061403508771,480,"[240, 240]",0.004166666666666667,0.17083333333333334,0,0.0,0,0,0,"[0, 0]",0.26859504132231404,0.027232209240538038
two_usv_independent,9,harbor_cove,static,independent,anomaly_upper_tail,True,11,239,114.0,1.0,3,0.5934758771929824,474,"[235, 239]",0.21338912133891214,0.3912133891213389,0,0.012255927475592747,0,0,4,"[4, 0]",0.2727272727272727,0.03575920714630876
two_usv_independent,0,peninsula_passage,static,independent,anomaly_upper_tail,False,91,,15.0,0.6666666666666666,2,0.7541311967951928,480,"[240, 240]",0.029166666666666667,0.3416666666666667,0,0.0,0,0,0,"[0, 0]",0.3076923076923077,0.02313402252946744
two_usv_independent,1,peninsula_passage,static,independent,anomaly_upper_tail,True,25,209,92.0,1.0,3,0.6407110665998998,418,"[209, 209]",0.03349282296650718,0.5358851674641149,0,0.0,0,0,0,"[0, 0]",0.28,0.0287397748994706
two_usv_independent,2,peninsula_passage,static,independent,anomaly_upper_tail,True,16,206,95.0,1.0,3,0.6329494241362043,412,"[206, 206]",0.0048543689320388345,0.25485436893203883,0,0.0,0,0,0,"[0, 0]",0.5,0.03600274365833937
two_usv_independent,3,peninsula_passage,static,independent,anomaly_upper_tail,False,151,,57.0,0.6666666666666666,2,0.6627441161742614,480,"[240, 240]",0.025,0.5229166666666667,0,0.0,0,0,0,"[0, 0]",0.3841059602649007,0.02306515053493545
two_usv_independent,4,peninsula_passage,static,independent,anomaly_upper_tail,True,132,232,50.0,1.0,3,0.6011517275913871,464,"[232, 232]",0.0,0.5043103448275862,0,0.0009364737274220033,0,0,0,"[0, 0]",0.3068181818181818,0.025500461424837893
two_usv_independent,5,peninsula_passage,static,independent,anomaly_upper_tail,True,155,218,31.5,1.0,3,0.6514772158237356,436,"[218, 218]",0.0045871559633027525,0.4059633027522936,0,0.0,0,0,0,"[0, 0]",0.36451612903225805,0.0255603070140282
two_usv_independent,6,peninsula_passage,static,independent,anomaly_upper_tail,True,37,162,62.5,1.0,3,0.5941412118177266,324,"[162, 162]",0.006172839506172839,0.3765432098765432,0,0.0,0,0,0,"[0, 0]",0.17567567567567569,0.027730974090886592
two_usv_independent,7,peninsula_passage,static,independent,anomaly_upper_tail,False,197,,30.0,0.6666666666666666,2,0.6970455683525288,480,"[240, 240]",0.004166666666666667,0.30416666666666664,0,0.0,0,0,0,"[0, 0]",0.31725888324873097,0.026510141774803927
two_usv_independent,8,peninsula_passage,static,independent,anomaly_upper_tail,True,144,210,33.0,1.0,3,0.6705057586379569,420,"[210, 210]",0.01904761904761905,0.4095238095238095,0,0.0,0,0,0,"[0, 0]",0.2326388888888889,0.02478225806096976
two_usv_independent,9,peninsula_passage,static,independent,anomaly_upper_tail,False,88,,5.0,0.6666666666666666,2,0.5065097646469705,480,"[240, 240]",0.0375,0.42083333333333334,0,0.0,0,0,0,"[0, 0]",0.36363636363636365,0.021736515428832495
