run_kind,tick_global,policy_step,tick_in_policy_step,reporter_usv_id,agent_id,sensor_id,recommended_rule_id,expected_target_present_for_audit,raw_sensor_found,accepted_candidate,teammate_rejected,range_limited,estimated_world_position,target_world_location_for_audit,target_position_error_m,observer_world_location,observer_heading_deg,post_arrival_stabilization_tick,standoff_viewpoint_hold_tick,post_arrival_scan_tick,post_scan_recenter_tick,scan_direction,capture_phase,standoff_anchor_cell,standoff_anchor_world,standoff_anchor_source,observer_pose_source,observer_orientation_source,world_projection_uses_observer_heading,matched_range_m,bearing_deg,blob_yaw_deg,matched_beam_index,matched_beam_yaw_deg,beam_yaw_error_deg,local_range_scaled_blob_present,local_blob_area,local_blob_range_scaled_area,sphere_blob_local_candidate_count,sphere_blob_candidate_count,rgb_changed_pixels,rgb_change_bbox_xyxy,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,live_capture_primary_detection_source,replay_events_used_for_detection,calibration_reference_used,calibration_reference_role,rgb_range_sync_fix_enabled,rgb_range_sync_attempted,rgb_range_sync_applied,rgb_range_sync_strategy,rgb_sync_window_ticks,rgb_sync_target_tick,rgb_sync_baseline_tick,rgb_sync_target_offset_ticks,rgb_sync_baseline_offset_ticks,rgb_sync_target_pose_drift_m,rgb_sync_baseline_pose_drift_m,rgb_sync_candidate_count,rgb_sync_candidate_score,rgb_sync_failure_reason,nearest_teammate_agent_name,nearest_teammate_distance_m,within_teammate_exclusion_radius,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
teammate_only,833,3,135,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,,,,"[-381.5186767578125, 176.7725372314453, 0.17059431970119476]",84.6166127473986,False,True,False,False,0,standoff_viewpoint_hold,"[19, 2]","[-380.0, 210.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,True,False,False,short_window_detector_scored_nearest_pair,8,,,,,,,0,,no_rangefinder_hit,,,False,False,False,False,False
teammate_only,833,3,135,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,,,,"[-379.7939453125, 23.582462310791016, 0.17272531986236572]",251.42767764607288,False,True,False,False,0,standoff_viewpoint_hold,"[41, 2]","[-380.0, -10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,True,False,False,short_window_detector_scored_nearest_pair,8,,,,,,,0,,no_rangefinder_hit,,,False,False,False,False,False
teammate_only,834,3,136,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,,,,"[-381.5185852050781, 176.77268981933594, 0.1706673502922058]",84.66908070338232,False,True,False,False,0,standoff_viewpoint_hold,"[19, 2]","[-380.0, 210.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,44,"[25, 139, 289, 171]",[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,True,False,False,short_window_detector_scored_nearest_pair,8,,,,,,,0,,no_rangefinder_hit,,,False,False,False,False,False
teammate_only,834,3,136,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,,,,"[-379.79412841796875, 23.58238410949707, 0.17208394408226013]",251.94699192878056,False,True,False,False,0,standoff_viewpoint_hold,"[41, 2]","[-380.0, -10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,True,False,False,short_window_detector_scored_nearest_pair,8,,,,,,,0,,no_rangefinder_hit,,,False,False,False,False,False
teammate_only,835,3,137,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,,,,"[-381.5185241699219, 176.77279663085938, 0.17069539427757263]",84.72965503191624,False,True,False,False,0,standoff_viewpoint_hold,"[19, 2]","[-380.0, 210.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,True,False,False,short_window_detector_scored_nearest_pair,8,,,,,,,0,,no_rangefinder_hit,,,False,False,False,False,False
teammate_only,835,3,137,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,,,,"[-379.7943115234375, 23.58234214782715, 0.1716453731060028]",252.51478931701837,False,True,False,False,0,standoff_viewpoint_hold,"[41, 2]","[-380.0, -10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,True,False,False,short_window_detector_scored_nearest_pair,8,,,,,,,0,,no_rangefinder_hit,,,False,False,False,False,False
teammate_only,836,3,138,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,,,,"[-381.5184631347656, 176.77288818359375, 0.17068296670913696]",84.79792320410486,False,True,False,False,0,standoff_viewpoint_hold,"[19, 2]","[-380.0, 210.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,True,False,False,short_window_detector_scored_nearest_pair,8,,,,,,,0,,no_rangefinder_hit,,,False,False,False,False,False
teammate_only,836,3,138,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,,,,"[-379.7945251464844, 23.58233642578125, 0.17133048176765442]",253.12788262952822,False,True,False,False,0,standoff_viewpoint_hold,"[41, 2]","[-380.0, -10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,True,False,False,short_window_detector_scored_nearest_pair,8,,,,,,,0,,no_rangefinder_hit,,,False,False,False,False,False
teammate_only,837,3,139,sv0,sv0,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,,,,"[-381.51837158203125, 176.77294921875, 0.17063409090042114]",84.87345598568241,False,True,False,False,0,standoff_viewpoint_hold,"[19, 2]","[-380.0, 210.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,True,False,False,short_window_detector_scored_nearest_pair,8,,,,,,,0,,no_rangefinder_hit,,,False,False,False,False,False
teammate_only,837,3,139,sv1,sv1,FrontRGBCamera+fan_rangefinder,sphere_blob_local_range_scaled_any_hit,False,False,False,False,False,,,,"[-379.7947692871094, 23.582359313964844, 0.17106804251670837]",253.7830109704823,False,True,False,False,0,standoff_viewpoint_hold,"[41, 2]","[-380.0, -10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,live_location_sensor,live_orientation_sensor,True,,,,,,,False,0,,0,0,0,,[],,True,False,True,rgb_background_reference_only_not_detection_event_replay,True,False,False,short_window_detector_scored_nearest_pair,8,,,,,,,0,,no_rangefinder_hit,,,False,False,False,False,False
