phase_name,run_kind,policy_step,observation_phase,sensor_id,sensor_role,sensor_footprint,source_model,reporter_usv_id,observer_world_location,observer_grid_cell,sample_index,sample_grid_cell,sample_world_xy,clue_value,noise_std,signal_without_noise,distance_to_registered_source_m,registered_source_world_location_for_audit,registered_source_not_exposed_to_planner,used_for_gp_observation,used_for_detection,directly_updates_found_mask,detected_mask_from_clue,found_mask_from_clue,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
phase5e_bridge_clue_sensor_realized_search,calibration,1,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-379.46697998046875, 44.96012878417969, 0.22615577280521393]","[36, 2]",5,"[36, 6]","[-340.0, 40.0]",0.0,0.03,4.2181898765641785e-07,194.06442229321686,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,2,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-383.82550048828125, 166.84266662597656, 0.21509195864200592]","[23, 2]",0,"[22, 2]","[-380.0, 180.0]",0.0,0.03,0.007213862342878514,117.39250401963493,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,2,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-383.82550048828125, 166.84266662597656, 0.21509195864200592]","[23, 2]",1,"[21, 5]","[-350.0, 190.0]",0.10802520901893473,0.03,0.09912807130374013,85.79627031520658,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,2,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-383.82550048828125, 166.84266662597656, 0.21509195864200592]","[23, 2]",2,"[24, 2]","[-380.0, 160.0]",0.042659599001106496,0.03,0.0031372651188383356,125.78155667664478,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,2,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-383.82550048828125, 166.84266662597656, 0.21509195864200592]","[23, 2]",3,"[20, 6]","[-340.0, 200.0]",0.29652638300163225,0.03,0.2260830612808997,73.08214556237385,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,2,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-383.82550048828125, 166.84266662597656, 0.21509195864200592]","[23, 2]",4,"[21, 6]","[-340.0, 190.0]",0.25255406134793795,0.03,0.18284843060290093,76.55716818169283,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,2,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-383.82550048828125, 166.84266662597656, 0.21509195864200592]","[23, 2]",5,"[21, 2]","[-380.0, 190.0]",0.0,0.03,0.009678259209419605,114.28473213863697,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,2,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-383.8254089355469, 33.157318115234375, 0.1944321244955063]","[37, 2]",0,"[37, 6]","[-340.0, 30.0]",0.0,0.03,9.240757315802198e-08,203.423204182807,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,2,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-383.8254089355469, 33.157318115234375, 0.1944321244955063]","[37, 2]",1,"[40, 5]","[-350.0, 0.0]",0.03135733723229389,0.03,3.2273170962583793e-10,235.03404008781365,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,calibration,2,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-383.8254089355469, 33.157318115234375, 0.1944321244955063]","[37, 2]",2,"[39, 1]","[-390.0, 10.0]",0.0,0.03,7.186436632476644e-11,242.7364826308563,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
