phase_name,run_kind,policy_step,observation_phase,sensor_id,sensor_role,sensor_footprint,source_model,reporter_usv_id,observer_world_location,observer_grid_cell,sample_index,sample_grid_cell,sample_world_xy,clue_value,noise_std,signal_without_noise,distance_to_registered_source_m,registered_source_world_location_for_audit,registered_source_not_exposed_to_planner,used_for_gp_observation,used_for_detection,directly_updates_found_mask,detected_mask_from_clue,found_mask_from_clue,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
phase5e_bridge_clue_sensor_realized_search,teammate_only,12,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-378.7476806640625, -65.17676544189453, 0.17788361012935638]","[47, 2]",1,"[43, 2]","[-380.0, -30.0]",0.0031035558220304377,0.03,9.73637717056256e-14,274.0456166407337,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,12,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-378.7476806640625, -65.17676544189453, 0.17788361012935638]","[47, 2]",2,"[48, 2]","[-380.0, -80.0]",0.0,0.03,1.2472028754070248e-18,320.46996739164183,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,12,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-378.7476806640625, -65.17676544189453, 0.17788361012935638]","[47, 2]",3,"[47, 2]","[-380.0, -70.0]",0.025039460503829273,0.03,1.3974438996341805e-17,311.0964480671549,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,12,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-378.7476806640625, -65.17676544189453, 0.17788361012935638]","[47, 2]",4,"[44, 4]","[-360.0, -40.0]",0.03102687690067662,0.03,6.164001973224624e-14,276.08150970320344,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,12,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv1,"[-378.7476806640625, -65.17676544189453, 0.17788361012935638]","[47, 2]",5,"[46, 2]","[-380.0, -60.0]",0.005590641487411566,0.03,1.4430422612289918e-16,301.7631521574495,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,13,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-324.7380676269531, 218.5870819091797, 0.16935613751411438]","[18, 8]",0,"[16, 10]","[-300.0, 240.0]",1.2281244450576807,0.03,1.195367061925122,35.51056180912941,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,13,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-324.7380676269531, 218.5870819091797, 0.16935613751411438]","[18, 8]",1,"[14, 5]","[-350.0, 260.0]",0.07563849650331261,0.03,0.07887317912782621,89.0,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,13,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-324.7380676269531, 218.5870819091797, 0.16935613751411438]","[18, 8]",2,"[15, 8]","[-320.0, 250.0]",0.5085530616698399,0.03,0.5114393421330317,57.8013840664737,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,13,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-324.7380676269531, 218.5870819091797, 0.16935613751411438]","[18, 8]",3,"[22, 6]","[-340.0, 180.0]",0.1814776046598467,0.03,0.1362893242926281,81.12336284942828,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,13,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-324.7380676269531, 218.5870819091797, 0.16935613751411438]","[18, 8]",4,"[19, 10]","[-300.0, 210.0]",1.3454933589814835,0.03,1.3183915708488387,31.953090617340916,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
phase5e_bridge_clue_sensor_realized_search,teammate_only,13,post_step_holoocean_pose,phase5e_passive_anomaly_clue_sensor,local_passive_anomaly_observation_for_gp_only,local_grid_disk_from_holoocean_location_sensor_pose,scene_registered_static_passive_anomaly_source_not_detection_truth,sv0,"[-324.7380676269531, 218.5870819091797, 0.16935613751411438]","[18, 8]",5,"[18, 11]","[-290.0, 220.0]",1.7133544046488844,0.03,1.6980384147691252,20.024984394500787,"[-270.0, 221.0, 0.5]",True,True,False,False,False,False,False,False,False,False
