planner_adaptation_mode,target_motion_mode,map_kind,episode_seed,policy_name,assignment_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length_total,path_length_u0,path_length_u1,duplicate_viewpoint_ratio,cross_region_assignment_ratio,conflict_intervention_count,wait_count_total,wait_count_u0,wait_count_u1,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count,anomaly_top_band_selection_ratio_pre_first_detection,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection
adaptive,static,peninsula_passage,5,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,27,27,136,136,1.0,3,0.6129193790686029,164.00543308790316,272,136,136,0.0,0.0,0,0,0,0,0,0.0,0,0,0.14814814814814814,0.031905834155028415
adaptive,static,peninsula_passage,6,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,36,36,182,182,1.0,3,0.6319479218828242,162.52500274748564,364,182,182,0.0,0.005494505494505495,0,0,0,0,0,0.0,0,0,0.1111111111111111,0.028495373736943542
adaptive,static,peninsula_passage,7,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,168,168,,241,0.6666666666666666,2,0.7779168753129695,182.102377917181,480,240,240,0.0,0.03958333333333333,0,0,0,0,0,0.0,0,0,0.28869047619047616,0.02816774786951102
adaptive,static,peninsula_passage,8,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,51,51,,241,0.6666666666666666,2,0.7511266900350526,257.02216041642413,480,240,240,0.0,0.03958333333333333,0,0,0,0,0,0.0,0,0,0.10784313725490197,0.027425173313068072
adaptive,static,peninsula_passage,9,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,116,116,,241,0.6666666666666666,2,0.9128693039559339,225.02513958330988,480,240,240,0.0,0.027083333333333334,0,0,0,0,0,0.0,0,0,0.21120689655172414,0.027640204418954435
adaptive,random_walk,open_water,0,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,11,11,187,187,1.0,3,0.6637931034482759,104.74183796782808,374,187,187,0.0,0.0,0,0,0,0,0,0.0,0,0,0.36363636363636365,0.03435568646033095
adaptive,random_walk,open_water,1,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,21,21,,241,0.6666666666666666,2,0.8587533156498673,105.34070416676211,480,240,240,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0320214310803189
adaptive,random_walk,open_water,2,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,76,76,170,170,1.0,3,0.6478779840848806,117.88106411734,340,170,170,0.0,0.0,0,0,0,0,0,0.0,0,0,0.25,0.02305378695901739
adaptive,random_walk,open_water,3,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,81,81,,241,0.6666666666666666,2,0.8627320954907162,115.65596916686142,480,240,240,0.0,0.0,0,0,0,0,0,0.0,0,0,0.2037037037037037,0.022262884225121973
adaptive,random_walk,open_water,4,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,179,179,198,198,1.0,3,0.7471264367816092,118.26044040432375,396,198,198,0.0,0.0,0,0,0,0,0,0.0,0,0,0.26256983240223464,0.02271773944416538
adaptive,random_walk,open_water,5,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,True,44,44,178,178,1.0,3,0.6545092838196287,116.4094797749886,356,178,178,0.0,0.0,0,0,0,0,0,0.0,0,0,0.125,0.02308162011434836
adaptive,random_walk,open_water,6,marine_knownmap_path_v2_infosampled_2usv,coordinated,anomaly_upper_tail,soft_clearance_astar_v1,reservation_v1,False,24,24,,241,0.6666666666666666,2,0.8578691423519009,118.83490208347212,480,240,240,0.0,0.0125,0,0,0,0,0,0.0,0,0,0.0,0.032518489318081434
