policy_step,tick_in_policy_step,tick_global,sv0_target_cell,sv1_target_cell,sv0_wait_applied,sv1_wait_applied,sv0_target_world,sv1_target_world,sv0_loc_x,sv0_loc_y,sv0_loc_z,sv0_proj_row,sv0_proj_col,sv0_dist_m,sv0_heading_deg,sv0_target_heading_deg,sv0_heading_error_deg,sv0_cmd_l,sv0_cmd_r,sv0_arrived,sv0_loc_avail,sv0_gps_avail,sv0_selected_sensor,sv1_loc_x,sv1_loc_y,sv1_loc_z,sv1_proj_row,sv1_proj_col,sv1_dist_m,sv1_heading_deg,sv1_target_heading_deg,sv1_heading_error_deg,sv1_cmd_l,sv1_cmd_r,sv1_arrived,sv1_loc_avail,sv1_gps_avail,sv1_selected_sensor,inter_vessel_distance_m
1,21,21,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.9973449707031,149.98739624023438,0.2970302700996399,25,2,10.012604111780977,23.433176040649414,90.01519304801019,66.58201700736078,-4685.637520430913,8000.0,False,True,True,LocationSensor,-378.19049072265625,50.0,0.2936360538005829,35,2,8.19049072265625,0.0,0.0,0.0,5936.515808105469,5936.515808105469,False,True,True,LocationSensor,100.00372057666314
1,22,22,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.996826171875,149.98631286621094,0.2827848792076111,25,2,10.013687636759874,25.577369689941406,90.01815983942214,64.44079014948073,-4210.754968348618,8000.0,False,True,True,LocationSensor,-378.05718994140625,50.0,0.27848201990127563,35,2,8.05718994140625,0.0,0.0,0.0,5864.311218261719,5864.311218261719,False,True,True,LocationSensor,100.00512461512342
1,23,23,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.99627685546875,149.98521423339844,0.2603321075439453,25,2,10.014786458668524,27.797740936279297,90.02130055133497,62.22355961505568,-3723.3809549715365,8000.0,False,True,True,LocationSensor,-377.9222106933594,50.0,0.25504380464553833,35,2,7.922210693359375,0.0,0.0,0.0,5791.197458902995,5791.197458902995,False,True,True,LocationSensor,100.00672385266597
1,24,24,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.99566650390625,149.98410034179688,0.23172682523727417,25,2,10.015900595671958,30.092344284057617,90.02478968736592,59.93244540330829,-3224.809755140046,8000.0,False,True,True,LocationSensor,-377.78570556640625,50.0,0.22414977848529816,35,2,7.78570556640625,0.0,0.0,0.0,5717.257181803386,5717.257181803386,False,True,True,LocationSensor,100.00852087949197
1,25,25,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.9949951171875,149.9829864501953,0.1991126984357834,25,2,10.017014800119977,32.459285736083984,90.02862715886587,57.56934142278189,-2716.354917973394,8000.0,False,True,True,LocationSensor,-377.64788818359375,50.0,0.1892538219690323,35,2,7.64788818359375,0.0,0.0,0.0,5642.606099446614,5642.606099446614,False,True,True,LocationSensor,100.01053189768398
1,26,26,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.9942321777344,149.9818572998047,0.16612456738948822,25,2,10.018144360571487,34.89672088623047,90.0329873356946,55.13626644946413,-2199.41117237614,8000.0,False,True,True,LocationSensor,-377.5088806152344,50.0,0.15499648451805115,35,2,7.508880615234375,0.0,0.0,0.0,5567.310333251953,5567.310333251953,False,True,True,LocationSensor,100.01274299561895
1,27,27,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.993408203125,149.980712890625,0.1366804540157318,25,2,10.019289277781837,37.40284729003906,90.03769550485272,52.634848214813644,-1675.3544634311002,8000.0,False,True,True,LocationSensor,-377.3688659667969,50.0,0.12555353343486786,35,2,7.368865966796875,0.0,0.0,0.0,5491.469065348308,5491.469065348308,False,True,True,LocationSensor,100.0151547120128
1,28,28,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.99249267578125,149.9795379638672,0.11395260691642761,25,2,10.020464848373846,39.97592544555664,90.04292595602288,50.067000510466244,-1145.6735200683388,8000.0,False,True,True,LocationSensor,-377.2279357910156,50.0,0.1041502133011818,35,2,7.227935791015625,0.0,0.0,0.0,5415.13188680013,5415.13188680013,False,True,True,LocationSensor,100.01775235545671
1,29,29,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.9900817871094,149.9794921875,0.09977085888385773,25,2,10.020512720979925,42.59892654418945,90.0567108537813,47.45778430959183,-616.9845053234731,8000.0,False,True,True,LocationSensor,-377.0862121582031,50.0,0.09250792115926743,35,2,7.086212158203125,0.0,0.0,0.0,5338.364919026692,5338.364919026692,False,True,True,LocationSensor,100.02165423992976
1,30,30,"[24, 2]","[35, 3]",False,False,"[-380.0, 160.0, 0.0]","[-370.0, 50.0, 0.0]",-379.9844970703125,149.98231506347656,0.09475139528512955,25,2,10.017696932343156,45.24773406982422,90.08866836376971,44.84093429394551,-97.60239581486712,8000.0,False,True,True,LocationSensor,-376.9437561035156,50.0,0.09070204943418503,35,2,6.943756103515625,0.0,0.0,0.0,5261.20122273763,5261.20122273763,False,True,True,LocationSensor,100.02854308185962
