planner_adaptation_mode,target_motion_mode,map_kind,episode_seed,policy_name,clue_acquisition_mode,path_safety_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,switch_count,anchor_switch_count,replan_count,path_invalidations_per_episode,clearance_penalty_raw_mean,near_obstacle_step_ratio,min_clearance_cells_mean
adaptive,random_walk,open_water,3,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,179,179,,241,0.3333333333333333,1,0.6964609800362976,16.39547368416204,240,23,9,38,0,0.0026041666666666665,0.0026041666666666665,9.166666666666666
adaptive,random_walk,open_water,4,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,38,38,140,140,1.0,3,0.5267695099818511,22.771090909538376,140,15,6,22,0,0.004464285714285714,0.004464285714285714,9.464285714285714
adaptive,random_walk,open_water,5,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,11,11,60,60,1.0,3,0.24954627949183303,21.708044444595643,60,5,1,9,0,0.010416666666666666,0.010416666666666666,7.6
adaptive,random_walk,open_water,6,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,53,53,,241,0.6666666666666666,2,0.7985480943738656,21.250932432677303,240,22,10,37,0,0.0026041666666666665,0.0026041666666666665,7.395833333333333
adaptive,random_walk,open_water,7,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,38,38,95,95,1.0,3,0.4133393829401089,19.863086666494684,95,11,7,15,0,0.006578947368421052,0.006578947368421052,7.905263157894737
adaptive,random_walk,open_water,8,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,82,82,,241,0.6666666666666666,2,0.8784029038112523,18.542758333246134,240,22,13,36,0,0.0026041666666666665,0.0026041666666666665,7.125
adaptive,random_walk,open_water,9,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,78,78,95,95,1.0,3,0.367513611615245,18.148186666561134,95,9,3,15,0,0.006578947368421052,0.006578947368421052,8.652631578947368
adaptive,random_walk,harbor_cove,0,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,23,23,148,148,1.0,3,0.5934684684684685,16.895691304892786,148,17,6,23,0,0.004222972972972973,0.004222972972972973,6.364864864864865
adaptive,random_walk,harbor_cove,1,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,38,38,,241,0.3333333333333333,1,0.7319819819819819,24.12885833301617,240,21,10,36,0,0.0067708333333333336,0.0067708333333333336,4.058333333333334
adaptive,random_walk,harbor_cove,2,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,36,36,,241,0.6666666666666666,2,0.7578828828828829,18.937210000058258,240,32,14,40,0,0.0026041666666666665,0.0026041666666666665,4.816666666666666
adaptive,random_walk,harbor_cove,3,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,35,35,208,208,1.0,3,0.6903153153153153,17.76924375019462,208,22,6,32,0,0.0030048076923076925,0.0030048076923076925,4.548076923076923
adaptive,random_walk,harbor_cove,4,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,46,46,75,75,1.0,3,0.38006756756756754,20.41163636253755,75,8,2,11,0,0.008333333333333333,0.008333333333333333,6.573333333333333
adaptive,random_walk,harbor_cove,5,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,18,18,,241,0.6666666666666666,2,0.8265765765765766,22.451431428739202,240,18,6,35,0,0.0026041666666666665,0.0026041666666666665,5.116666666666666
adaptive,random_walk,harbor_cove,6,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,43,43,,241,0.6666666666666666,2,0.7376126126126126,23.76283749981667,240,29,8,40,0,0.0026041666666666665,0.0026041666666666665,5.0125
adaptive,random_walk,harbor_cove,7,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,34,34,,241,0.6666666666666666,2,0.8400900900900901,20.073284615463283,240,25,10,39,0,0.0026041666666666665,0.0026041666666666665,4.758333333333334
adaptive,random_walk,harbor_cove,8,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,28,28,131,131,1.0,3,0.5951576576576577,21.485814999505237,131,16,7,20,0,0.004770992366412214,0.004770992366412214,7.183206106870229
adaptive,random_walk,harbor_cove,9,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,17,17,191,191,1.0,3,0.642454954954955,25.017410345377545,191,17,8,29,0,0.0032722513089005235,0.0032722513089005235,3.2931937172774868
adaptive,random_walk,peninsula_passage,0,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,72,72,,241,0.6666666666666666,2,0.7023255813953488,27.11748108118332,240,23,10,37,0,0.0026041666666666665,0.0026041666666666665,3.3333333333333335
adaptive,random_walk,peninsula_passage,1,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,35,35,175,175,1.0,3,0.6625322997416021,25.886899999696418,175,17,5,27,0,0.0035714285714285713,0.0035714285714285713,4.177142857142857
adaptive,random_walk,peninsula_passage,2,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,True,68,68,168,168,1.0,3,0.6883720930232559,27.430184614226725,168,17,6,26,0,0.003720238095238095,0.003720238095238095,4.130952380952381
adaptive,random_walk,peninsula_passage,3,marine_knownmap_path_v2_infosampled,anomaly_upper_tail,soft_clearance_astar_v1,False,161,161,,241,0.3333333333333333,1,0.7503875968992249,23.247616216493142,240,20,7,37,0,0.0026041666666666665,0.0026041666666666665,4.291666666666667
