episode_seed,map_kind,target_motion_mode,policy_name,clue_acquisition_mode,path_safety_mode,viewpoint_generation_mode,terminated_reason,completed_steps,time_to_first_detection,time_to_all_found,success_all_found,detection_rate,found_count,known_free_observation_ratio_final,path_length,planning_time_ms_mean,candidate_pool_size_mean,reachable_pool_size_mean,a_star_checked_pool_size_mean,selected_viewpoint_rank_mean
,open_water,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,40,,False,0.6666666666666666,2,0.8257713248638838,240,16.187483673482866,24.0,24.0,24.0,2.3469387755102042
,open_water,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,53,11,53,True,1.0,3,0.22050816696914702,53,15.25314545440117,24.0,24.0,24.0,3.090909090909091
,open_water,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,86,42,86,True,1.0,3,0.37522686025408347,86,17.351583333341598,24.0,24.0,24.0,1.6111111111111112
,open_water,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,92,38,92,True,1.0,3,0.3543557168784029,92,18.270978947360785,22.736842105263158,22.736842105263158,22.736842105263158,2.8421052631578947
,open_water,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,91,,False,0.6666666666666666,2,0.780852994555354,240,19.78841199997987,23.04,23.04,23.04,2.58
,open_water,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,97,62,97,True,1.0,3,0.3929219600725953,97,16.313294999690697,23.9,23.9,23.9,2.5
,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,91,19,91,True,1.0,3,0.46396396396396394,91,13.886900000024502,24.0,24.0,24.0,2.8947368421052633
,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,214,17,214,True,1.0,3,0.6210585585585585,214,16.86027234059788,23.48936170212766,23.48936170212766,23.48936170212766,2.6382978723404253
,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,180,35,180,True,1.0,3,0.6694819819819819,180,17.44597499989848,23.333333333333332,23.333333333333332,23.333333333333332,2.0555555555555554
,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,37,,False,0.6666666666666666,2,0.7336711711711712,240,23.550662745073364,23.529411764705884,23.529411764705884,23.529411764705884,2.549019607843137
,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,61,,False,0.6666666666666666,2,0.8254504504504504,240,19.867159615527132,23.692307692307693,23.692307692307693,23.692307692307693,2.5961538461538463
,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,177,18,177,True,1.0,3,0.6554054054054054,177,17.382176922976026,24.0,24.0,24.0,3.5384615384615383
,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,44,,False,0.6666666666666666,2,0.8119369369369369,240,15.92681599988282,23.04,23.04,23.04,2.54
,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,88,34,88,True,1.0,3,0.4527027027027027,88,13.561099999808196,24.0,24.0,24.0,2.2222222222222223
,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,117,19,117,True,1.0,3,0.5743243243243243,117,16.116879166474973,24.0,24.0,24.0,3.5
,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,190,17,190,True,1.0,3,0.6052927927927928,190,18.42208250013755,22.7,22.7,22.7,2.3
,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,140,67,140,True,1.0,3,0.5839793281653747,140,20.231610714225617,24.0,24.0,24.0,2.357142857142857
,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,85,29,85,True,1.0,3,0.35917312661498707,85,18.173629412130513,22.58823529411765,22.58823529411765,22.58823529411765,2.764705882352941
,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,30,,False,0.6666666666666666,2,0.8,240,19.511440384611397,24.0,24.0,24.0,3.1346153846153846
,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,53,,False,0.6666666666666666,2,0.7452196382428941,240,20.469144897941412,23.510204081632654,23.510204081632654,23.510204081632654,1.9387755102040816
,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,158,22,158,True,1.0,3,0.5684754521963824,158,17.801221875004103,24.0,24.0,24.0,2.75
,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,135,43,135,True,1.0,3,0.5710594315245479,135,20.721540740851196,24.0,24.0,24.0,2.5185185185185186
,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,97,,False,0.6666666666666666,2,0.896124031007752,240,18.91432291639224,23.5,23.5,23.5,2.7083333333333335
,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,27,,False,0.6666666666666666,2,0.7328165374677003,240,22.318072916618803,23.0,23.0,23.0,2.2083333333333335
,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,max_iters,240,44,,False,0.6666666666666666,2,0.8630490956072352,240,22.899230611964953,23.510204081632654,23.510204081632654,23.510204081632654,2.877551020408163
,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled,ucb,soft_clearance_astar_v1,simple_ring_v1,all_found,229,34,229,True,1.0,3,0.7555555555555555,229,25.000182608852377,24.0,24.0,24.0,2.347826086956522
