episode_seed,map_kind,target_motion_mode,baseline_viewpoint_generation_mode,challenger_viewpoint_generation_mode,time_to_first_detection_delta,time_to_all_found_delta,success_all_found_delta,detection_rate_delta,found_count_delta,known_free_observation_ratio_final_delta,path_length_delta,planning_time_ms_mean_delta,candidate_pool_size_mean_delta,reachable_pool_size_mean_delta,a_star_checked_pool_size_mean_delta,selected_viewpoint_rank_mean_delta
,open_water,random_walk,infosampled_pool_v1,simple_ring_v1,-102.0,-40.0,0.0,0.0,0.0,-0.18012704174228678,-40.0,-2.9715949503317773,1.2445182724252497,1.2445182724252497,6.151495016611296,0.15813953488372112
,open_water,random_walk,infosampled_pool_v1,simple_ring_v1,2.0,,-1.0,-0.33333333333333337,-1.0,0.25136116152450083,85.0,-6.68545826197742,1.0645161290322598,1.0645161290322598,6.0,-0.07241606319947325
,open_water,random_walk,infosampled_pool_v1,simple_ring_v1,0.0,-66.0,0.0,0.0,0.0,-0.3194192377495463,-66.0,-2.7239962121050425,0.9166666666666679,0.9166666666666679,6.0,0.4242424242424243
,open_water,random_walk,infosampled_pool_v1,simple_ring_v1,15.0,-97.0,0.0,0.0,0.0,-0.25453720508166966,-97.0,0.2964914417732558,0.48648648648648773,0.48648648648648773,6.0,-0.8753753753753752
,open_water,random_walk,infosampled_pool_v1,simple_ring_v1,-3.0,-11.0,0.0,0.0,0.0,-0.05308529945553542,-11.0,-0.26424962418884945,-0.739348370927317,-0.739348370927317,4.7368421052631575,0.6992481203007519
,open_water,random_walk,infosampled_pool_v1,simple_ring_v1,,,0.0,0.6666666666666666,2.0,0.018602540834845804,0.0,0.7136479998007417,0.11999999999999744,0.11999999999999744,5.039999999999999,0.2400000000000002
,open_water,random_walk,infosampled_pool_v1,simple_ring_v1,-4.0,-135.0,0.0,0.0,0.0,-0.40063520871143377,-135.0,-2.0436858512863516,0.8148936170212764,0.8148936170212764,5.899999999999999,0.3936170212765959
,harbor_cove,random_walk,infosampled_pool_v1,simple_ring_v1,-3.0,-137.0,0.0,0.0,0.0,-0.2742117117117117,-137.0,-4.2146639998559525,1.8999999999999986,1.8999999999999986,6.02,0.09473684210526345
,harbor_cove,random_walk,infosampled_pool_v1,simple_ring_v1,-21.0,82.0,0.0,0.0,0.0,-0.0298423423423424,82.0,-5.834305436856386,1.2671394799054383,1.2671394799054383,6.156028368794328,0.30496453900709186
,harbor_cove,random_walk,infosampled_pool_v1,simple_ring_v1,0.0,43.0,0.0,0.0,0.0,0.010135135135135087,43.0,-0.49258928565327764,0.2619047619047592,0.2619047619047592,5.333333333333332,-0.623015873015873
,harbor_cove,random_walk,infosampled_pool_v1,simple_ring_v1,1.0,,-1.0,-0.33333333333333337,-1.0,0.0022522522522522292,6.0,3.4666607455794427,1.2494117647058829,1.2494117647058829,5.569411764705883,0.04901960784313708
,harbor_cove,random_walk,infosampled_pool_v1,simple_ring_v1,25.0,,-1.0,-0.33333333333333337,-1.0,0.4763513513513513,173.0,1.7610239009337718,2.478021978021978,2.478021978021978,6.978021978021978,-0.11813186813186816
,harbor_cove,random_walk,infosampled_pool_v1,simple_ring_v1,0.0,-27.0,0.0,0.0,0.0,-0.06869369369369371,-27.0,1.202807875472235,1.6904761904761898,1.6904761904761898,6.428571428571427,1.3717948717948718
,harbor_cove,random_walk,infosampled_pool_v1,simple_ring_v1,0.0,,0.0,0.0,0.0,-0.021396396396396455,0.0,-7.794008489741383,0.5297959183673449,0.5297959183673449,5.039999999999999,0.45836734693877546
,harbor_cove,random_walk,infosampled_pool_v1,simple_ring_v1,0.0,-21.0,0.0,0.0,0.0,-0.080518018018018,-21.0,-4.613845455387121,0.5454545454545467,0.5454545454545467,6.0,-0.595959595959596
