tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout
512,0,40,45,25.0,0.0,21.427234649658203,-0.23351508378982544,0.16801398992538452,21.427234649658203,-0.23351508378982544,0.16801398992538452,40,44,3.5803884625778126,False,False
513,0,40,45,25.0,0.0,21.44556427001953,-0.23232392966747284,0.1679265797138214,21.44556427001953,-0.23232392966747284,0.1679265797138214,40,44,3.5620201805798244,False,False
514,0,40,45,25.0,0.0,21.463794708251953,-0.2311389148235321,0.16786807775497437,21.463794708251953,-0.2311389148235321,0.16786807775497437,40,44,3.543751269958529,False,False
515,0,40,45,25.0,0.0,21.481931686401367,-0.22996002435684204,0.1678355634212494,21.481931686401367,-0.22996002435684204,0.1678355634212494,40,44,3.5255760198794364,False,False
516,0,40,45,25.0,0.0,21.49997329711914,-0.22878719866275787,0.16782642900943756,21.49997329711914,-0.22878719866275787,0.16782642900943756,40,44,3.507496329741631,False,False
517,0,40,45,25.0,0.0,21.517919540405273,-0.2276204228401184,0.16783834993839264,21.517919540405273,-0.2276204228401184,0.16783834993839264,40,44,3.4895121985723643,False,False
518,0,40,45,25.0,0.0,21.5357723236084,-0.22645968198776245,0.1678691953420639,21.5357723236084,-0.22645968198776245,0.1678691953420639,40,44,3.471621722112528,False,False
519,0,40,45,25.0,0.0,21.553531646728516,-0.22530491650104523,0.16791707277297974,21.553531646728516,-0.22530491650104523,0.16791707277297974,40,44,3.453824896473676,False,False
520,0,40,45,25.0,0.0,21.571199417114258,-0.22415611147880554,0.16798025369644165,21.571199417114258,-0.22415611147880554,0.16798025369644165,40,44,3.4361198173973655,False,False
521,0,40,45,25.0,0.0,21.58877182006836,-0.223013237118721,0.16799843311309814,21.58877182006836,-0.223013237118721,0.16799843311309814,40,44,3.4185102895106083,False,False
522,0,40,45,25.0,0.0,21.606252670288086,-0.22187624871730804,0.16797606647014618,21.606252670288086,-0.22187624871730804,0.16797606647014618,40,44,3.400992503324818,False,False
523,0,40,45,25.0,0.0,21.62364387512207,-0.22074514627456665,0.16791723668575287,21.62364387512207,-0.22074514627456665,0.16791723668575287,40,44,3.383564555554466,False,False
524,0,40,45,25.0,0.0,21.640941619873047,-0.21961987018585205,0.16788437962532043,21.640941619873047,-0.21961987018585205,0.16788437962532043,40,44,3.366230248881018,False,False
