stage,w_s,w_r,w_e,map_kind,episode_seed,policy_name,target_motion_mode,clue_acquisition_mode,path_safety_mode,success_all_found,time_to_first_detection,time_to_first_detection_censored,time_to_all_found,time_to_all_found_censored,detection_rate,found_count,known_free_observation_ratio_final,planning_time_ms_mean,path_length,switch_count,anchor_switch_count
stage2_ws_wr_grid,5.5,4.0,-0.35,peninsula_passage,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,34,34,173,173,1.0,3,0.5364341085271318,23.71299999989181,173,20,6
stage2_ws_wr_grid,6.5,2.0,-0.35,open_water,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,60,60,89,89,1.0,3,0.38475499092558985,18.477121429116647,89,11,5
stage2_ws_wr_grid,6.5,2.0,-0.35,open_water,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,60,60,120,120,1.0,3,0.4809437386569873,19.20005263194693,120,14,6
stage2_ws_wr_grid,6.5,2.0,-0.35,open_water,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,54,54,201,201,1.0,3,0.6361161524500908,17.087668750036755,201,28,13
stage2_ws_wr_grid,6.5,2.0,-0.35,open_water,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,52,52,,241,0.3333333333333333,1,0.7155172413793104,19.59405789449719,240,27,8
stage2_ws_wr_grid,6.5,2.0,-0.35,open_water,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,37,37,119,119,1.0,3,0.4532667876588022,17.91787222221804,119,14,4
stage2_ws_wr_grid,6.5,2.0,-0.35,harbor_cove,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,57,57,191,191,1.0,3,0.5737612612612613,18.280029999247443,191,23,6
stage2_ws_wr_grid,6.5,2.0,-0.35,harbor_cove,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,39,39,206,206,1.0,3,0.6807432432432432,18.441130303306803,206,26,8
stage2_ws_wr_grid,6.5,2.0,-0.35,harbor_cove,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,38,38,,241,0.6666666666666666,2,0.7978603603603603,20.02609487177464,240,30,10
stage2_ws_wr_grid,6.5,2.0,-0.35,harbor_cove,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,38,38,219,219,1.0,3,0.8378378378378378,23.85955588279638,219,25,10
stage2_ws_wr_grid,6.5,2.0,-0.35,harbor_cove,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,40,40,100,100,1.0,3,0.4408783783783784,16.89747999989777,100,12,2
stage2_ws_wr_grid,6.5,2.0,-0.35,peninsula_passage,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,70,70,192,192,1.0,3,0.6356589147286822,23.630493103124095,192,17,6
stage2_ws_wr_grid,6.5,2.0,-0.35,peninsula_passage,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,34,34,,241,0.3333333333333333,1,0.8046511627906977,27.041437838036202,240,28,12
stage2_ws_wr_grid,6.5,2.0,-0.35,peninsula_passage,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,58,58,231,231,1.0,3,0.7307493540051679,24.362213513577935,231,29,12
stage2_ws_wr_grid,6.5,2.0,-0.35,peninsula_passage,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,82,82,,241,0.6666666666666666,2,0.6976744186046512,33.15572432404372,240,28,11
stage2_ws_wr_grid,6.5,2.0,-0.35,peninsula_passage,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,34,34,,241,0.6666666666666666,2,0.6382428940568475,25.875512820232707,240,31,9
stage2_ws_wr_grid,6.5,3.0,-0.35,open_water,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,60,60,,241,0.6666666666666666,2,0.7386569872958257,25.31057179508841,240,31,12
stage2_ws_wr_grid,6.5,3.0,-0.35,open_water,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,60,60,129,129,1.0,3,0.5181488203266787,19.85222380902823,129,17,8
stage2_ws_wr_grid,6.5,3.0,-0.35,open_water,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,54,54,161,161,1.0,3,0.5676043557168784,16.513392307667974,161,22,9
stage2_ws_wr_grid,6.5,3.0,-0.35,open_water,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,52,52,,241,0.6666666666666666,2,0.6996370235934665,17.780954054123377,240,26,10
stage2_ws_wr_grid,6.5,3.0,-0.35,open_water,4,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,37,37,124,124,1.0,3,0.46823956442831216,16.70411578953989,124,15,4
stage2_ws_wr_grid,6.5,3.0,-0.35,harbor_cove,0,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,57,57,181,181,1.0,3,0.5298423423423423,17.66164482777922,181,22,6
stage2_ws_wr_grid,6.5,3.0,-0.35,harbor_cove,1,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,False,39,39,,241,0.6666666666666666,2,0.7263513513513513,19.68522926827285,240,25,8
stage2_ws_wr_grid,6.5,3.0,-0.35,harbor_cove,2,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,38,38,175,175,1.0,3,0.6672297297297297,17.356139285506547,175,21,8
stage2_ws_wr_grid,6.5,3.0,-0.35,harbor_cove,3,marine_knownmap_path_v2_infosampled,static,ucb,soft_clearance_astar_v1,True,38,38,236,236,1.0,3,0.7668918918918919,25.72418918881905,236,30,9
