assignment_mode,avoidance_group,map_kind,episode_seed,path_safety_mode,team_path_avoidance_mode,safe_nav_lambda_clearance,team_reservation_lambda,time_to_first_detection,time_to_all_found,detection_rate,known_free_observation_ratio_final,planning_time_ms_mean,conflict_intervention_count,wait_count_total,reservation_wait_fallback_count,reservation_near_neighbor_step_ratio_mean,reservation_same_cell_violation_count,reservation_swap_violation_count
independent,obstacle_only,harbor_cove,1,soft_clearance_astar_v1,off,1.0,1.0,79,,0.3333333333333333,0.6614583333333334,70.00286625000551,0,0,0,0.0,0,0
independent,obstacle_only,harbor_cove,2,soft_clearance_astar_v1,off,1.0,1.0,54,,0.3333333333333333,0.8270285087719298,106.65732583330889,0,0,0,0.0,0,0
independent,obstacle_only,harbor_cove,3,soft_clearance_astar_v1,off,1.0,1.0,108,124,1.0,0.5411184210526315,63.15580080643251,0,0,0,0.0,0,0
independent,obstacle_only,harbor_cove,4,soft_clearance_astar_v1,off,1.0,1.0,144,,0.3333333333333333,0.8928179824561403,94.48449499998712,0,0,0,0.0,0,0
independent,obstacle_only,peninsula_passage,0,soft_clearance_astar_v1,off,1.0,1.0,120,,0.6666666666666666,0.6367050575863795,71.57147625001319,0,0,0,0.0,0,0
independent,obstacle_only,peninsula_passage,1,soft_clearance_astar_v1,off,1.0,1.0,25,,0.6666666666666666,0.6166750125187782,136.335875000024,0,0,0,0.0,0,0
independent,obstacle_only,peninsula_passage,2,soft_clearance_astar_v1,off,1.0,1.0,17,,0.6666666666666666,0.613420130195293,69.496585416645,0,0,0,0.0,0,0
independent,obstacle_only,peninsula_passage,3,soft_clearance_astar_v1,off,1.0,1.0,61,157,1.0,0.6249374061091637,74.47496878983216,0,0,0,0.0,0,0
independent,obstacle_only,peninsula_passage,4,soft_clearance_astar_v1,off,1.0,1.0,94,132,1.0,0.4752128192288433,60.65600454545953,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,open_water,0,soft_clearance_astar_v1,reservation_v1,1.0,1.0,6,212,1.0,0.7115384615384616,133.4153235849207,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,open_water,1,soft_clearance_astar_v1,reservation_v1,1.0,1.0,18,,0.6666666666666666,0.5366931918656057,56.46137874999416,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,open_water,2,soft_clearance_astar_v1,reservation_v1,1.0,1.0,195,,0.3333333333333333,0.7106542882404951,73.88144041669118,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,open_water,3,soft_clearance_astar_v1,reservation_v1,1.0,1.0,128,,0.3333333333333333,0.5592396109637489,53.57645208331784,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,open_water,4,soft_clearance_astar_v1,reservation_v1,1.0,1.0,189,,0.3333333333333333,0.6162687886825818,58.210056666678156,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,harbor_cove,0,soft_clearance_astar_v1,reservation_v1,1.0,1.0,147,,0.3333333333333333,0.7828947368421053,88.44261083334004,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,harbor_cove,1,soft_clearance_astar_v1,reservation_v1,1.0,1.0,79,,0.3333333333333333,0.6614583333333334,85.08999124995474,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,harbor_cove,2,soft_clearance_astar_v1,reservation_v1,1.0,1.0,54,,0.3333333333333333,0.8270285087719298,120.64219416669175,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,harbor_cove,3,soft_clearance_astar_v1,reservation_v1,1.0,1.0,108,124,1.0,0.5411184210526315,63.91371693545748,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,harbor_cove,4,soft_clearance_astar_v1,reservation_v1,1.0,1.0,144,,0.3333333333333333,0.8928179824561403,94.54941916663984,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,peninsula_passage,0,soft_clearance_astar_v1,reservation_v1,1.0,1.0,120,,0.6666666666666666,0.6367050575863795,73.81914875007094,0,0,0,0.00026041666666666666,0,0
independent,full_dual_avoidance_v1,peninsula_passage,1,soft_clearance_astar_v1,reservation_v1,1.0,1.0,25,,0.6666666666666666,0.6166750125187782,139.5690158333385,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,peninsula_passage,2,soft_clearance_astar_v1,reservation_v1,1.0,1.0,17,,0.6666666666666666,0.613420130195293,97.05200750000056,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,peninsula_passage,3,soft_clearance_astar_v1,reservation_v1,1.0,1.0,61,157,1.0,0.6249374061091637,100.73902356690981,0,0,0,0.0,0,0
independent,full_dual_avoidance_v1,peninsula_passage,4,soft_clearance_astar_v1,reservation_v1,1.0,1.0,94,132,1.0,0.4752128192288433,69.86072272731938,0,0,0,0.0,0,0
