run_kind,policy_step,tick_in_policy_step,tick_global,post_arrival_stabilization_tick,standoff_viewpoint_hold_tick,post_arrival_scan_tick,post_scan_recenter_tick,scan_direction,capture_phase,agent_name,planner_callback_step,planned_path_source,preset_trajectory_used,target_cell,target_world,standoff_anchor_cell,standoff_anchor_world,standoff_anchor_source,wait_applied,loc_x,loc_y,loc_z,projected_row,projected_col,projection_matches_target,arrived,distance_to_waypoint_m,heading_deg,selected_sensor,fallback_used,rgb_present,rangefinder_present,any_rangefinder_hit,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,cmd_l,cmd_r,target_heading_deg,heading_error_deg,inter_vessel_distance_m
calibration,1,12,12,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9996032714844,50.00468063354492,0.14915955066680908,35,2,False,False,10.004680641410914,350.72856217038145,LocationSensor,False,True,True,False,[],,8000.0,-8000.0,269.9984269508893,-82.09321815841912,99.99063491821289
calibration,1,13,13,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9994812011719,149.99456787109375,0.14277778565883636,25,2,False,False,10.005432142356554,10.730446605117097,LocationSensor,False,False,True,False,[],,-7903.225952971243,8000.0,90.00227202263734,80.73083503563942,99.98913192749023
calibration,1,13,13,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9994812011719,50.005435943603516,0.14310768246650696,35,2,False,False,10.005435957053814,349.2695542337284,LocationSensor,False,False,True,False,[],,8000.0,-7903.226091444667,269.9977279764963,-80.73083419388513,99.98913192749023
calibration,1,14,14,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99932861328125,149.99375915527344,0.13867682218551636,25,2,False,False,10.006240867250511,12.282964458595005,LocationSensor,False,False,True,False,[],,-7566.825156204807,8000.0,90.00297088450137,79.27252427938424,99.98751449585427
calibration,1,14,14,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9992980957031,50.00624465942383,0.14102838933467865,35,2,False,False,10.006244684041937,347.7170396048589,LocationSensor,False,False,True,False,[],,8000.0,-7566.824964565233,269.9970291166313,-79.27252511709708,99.98751449585427
calibration,1,15,15,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9991149902344,149.99288940429688,0.13852903246879578,25,2,False,False,10.007110634837412,13.926628196464705,LocationSensor,False,False,True,False,[],,-7209.7893332656895,8000.0,90.00384436332733,77.72087990473233,99.98578262329102
calibration,1,15,15,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9991149902344,50.00710678100586,0.14270004630088806,35,2,False,False,10.00710682014016,346.07337760429124,LocationSensor,False,False,True,False,[],,8000.0,-7209.829968062812,269.99598089441787,-77.72105871044101,99.98578262329102
calibration,1,16,16,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9988708496094,149.99197387695312,0.1418207734823227,25,2,False,False,10.00802618674478,15.659136401431297,LocationSensor,False,False,True,False,[],,-6833.012748577861,8000.0,90.00506712939575,76.07843893293102,99.98395156860352
calibration,1,16,16,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9988708496094,50.00802230834961,0.1476292759180069,35,2,False,False,10.008022372047538,344.3408727412508,LocationSensor,False,False,True,False,[],,8000.0,-6833.014574175418,269.99493286867266,-76.07844473561858,99.98395156860352
calibration,1,17,17,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99859619140625,149.9910125732422,0.14785455167293549,25,2,False,False,10.008987525203263,17.47823916223517,LocationSensor,False,False,True,False,[],,-6437.351024453639,8000.0,90.00646436677407,74.34732796534277,99.98202514648438
calibration,1,17,17,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99859619140625,50.00898742675781,0.1550191342830658,35,2,False,False,10.008987525203263,342.5217716358218,LocationSensor,False,False,True,False,[],,8000.0,-6437.353667188782,269.9935356307619,-74.34733711048887,99.98202514648438
calibration,1,18,18,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9982604980469,149.99000549316406,0.1555909812450409,25,2,False,False,10.009994657978229,19.381746289255847,LocationSensor,False,True,True,False,[],,-6023.7436280933525,8000.0,90.00803600841017,72.529796846175,99.9800033569336
calibration,1,18,18,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9982604980469,50.01000213623047,0.16397596895694733,35,2,False,False,10.010002287372645,340.6182661196716,LocationSensor,False,True,True,False,[],,8000.0,-6023.7460785219755,269.99196399158984,-72.52980764423194,99.9800033569336
calibration,1,19,19,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99786376953125,149.98895263671875,0.16380061209201813,25,2,False,False,10.011047591203484,21.36751874418475,LocationSensor,False,False,True,False,[],,-5593.215700415078,8000.0,90.00995666074517,70.62821037148933,99.9778938293457
calibration,1,19,19,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99786376953125,50.01105880737305,0.17322511970996857,35,2,False,False,10.011059035295022,338.63249487584596,LocationSensor,False,False,True,False,[],,8000.0,-5593.217128315511,269.99004334684355,-70.62822277282805,99.9778938293457
calibration,1,20,20,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9974060058594,149.98785400390625,0.17096549272537231,25,2,False,False,10.012146332125878,23.433470425271555,LocationSensor,False,False,True,False,[],,-5146.802906140197,8000.0,90.01222619208833,68.64470744790358,99.97570037841797
calibration,1,20,20,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9974060058594,50.01215362548828,0.1815606653690338,35,2,False,False,10.012153961520154,336.56654190015286,LocationSensor,False,False,True,False,[],,8000.0,-5146.803699681677,269.98777382188797,-68.644721053958,99.97570037841797
calibration,1,21,21,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9969177246094,149.98672485351562,0.17648379504680634,25,2,False,False,10.013275620875682,25.57756681442993,LocationSensor,False,False,True,False,[],,-4685.592956888329,8000.0,90.0148444612246,66.58137403595305,99.97344207764138
calibration,1,21,21,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99688720703125,50.013282775878906,0.18807372450828552,35,2,False,False,10.013283259710235,334.4224453760709,LocationSensor,False,False,True,False,[],,8000.0,-4685.594055293943,269.9851555500871,-66.58138635006577,99.97344207764138
calibration,1,22,22,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.996337890625,149.98558044433594,0.17993146181106567,25,2,False,False,10.01442022525078,27.797826016817183,LocationSensor,False,False,True,False,[],,-4210.6922851303,8000.0,90.01763672355135,64.4400699091214,99.97114181519021
calibration,1,22,22,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9963073730469,50.01443862915039,0.19182872772216797,35,2,False,False,10.01443930994209,332.2021863141615,LocationSensor,False,False,True,False,[],,8000.0,-4210.731729728206,269.98218866900555,-64.44025670706537,99.97114181519021
calibration,1,23,23,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99566650390625,149.98440551757812,0.18122081458568573,25,2,False,False,10.015595419919272,30.092307637707375,LocationSensor,False,False,True,False,[],,-3723.378626008268,8000.0,90.02095212815718,62.22312611133998,99.96879196166992
calibration,1,23,23,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.99566650390625,50.0156135559082,0.19280676543712616,35,2,False,False,10.015614493403815,329.9076987421293,LocationSensor,False,False,True,False,[],,8000.0,-3723.4146685687365,269.97887331102856,-62.223313003132944,99.96879196166992
calibration,1,24,24,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9949645996094,149.9832000732422,0.18056686222553253,25,2,False,False,10.016801192394327,32.45913323165455,LocationSensor,False,True,True,False,[],,-3224.9006657303935,8000.0,90.02479044270912,59.93248280500174,99.96639251708984
calibration,1,24,24,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9949645996094,50.016807556152344,0.19116711616516113,35,2,False,False,10.016808821787896,327.54086860137807,LocationSensor,False,True,True,False,[],,8000.0,-3224.8968592212345,269.9752096045012,-59.932489137628124,99.96639251708984
calibration,1,25,25,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9941711425781,149.98199462890625,0.1781630516052246,25,2,False,False,10.018007066819331,34.89646400128418,LocationSensor,False,False,True,False,[],,-2716.4870004560876,8000.0,90.02880232892228,57.569669097267735,99.96398544311523
calibration,1,25,25,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9941711425781,50.018009185791016,0.18740589916706085,35,2,False,False,10.018010881515952,325.1035295486915,LocationSensor,False,False,True,False,[],,8000.0,-2716.4851713377716,269.97119769301526,-57.56967090836281,99.96398544311523
calibration,1,26,26,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9932861328125,149.98077392578125,0.1743011325597763,25,2,False,False,10.019228323694268,37.40251957313178,LocationSensor,False,False,True,False,[],,-2199.5815709390754,8000.0,90.03333686493458,55.13687286365041,99.96155166625977
