tick_global,waypoint_index,target_cell,target_world_x,target_world_y,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
76,0,"[40, 45]",25.0,0.0,9.863825798034668,0.0,0.17050418257713318,40,42,15.136174201965332,0.0,0.0,0.0,8000.0,8000.0,False,False
77,0,"[40, 45]",25.0,0.0,10.013103485107422,0.0,0.170896515250206,40,42,14.986896514892578,0.0,0.0,0.0,8000.0,8000.0,False,False
78,0,"[40, 45]",25.0,0.0,10.162389755249023,0.0,0.17068108916282654,40,42,14.837610244750977,0.0,0.0,0.0,8000.0,8000.0,False,False
79,0,"[40, 45]",25.0,0.0,10.311684608459473,0.0,0.16991890966892242,40,42,14.688315391540527,0.0,0.0,0.0,8000.0,8000.0,False,False
80,0,"[40, 45]",25.0,0.0,10.460986137390137,0.0,0.16866488754749298,40,42,14.539013862609863,0.0,0.0,0.0,8000.0,8000.0,False,False
81,0,"[40, 45]",25.0,0.0,10.610294342041016,0.0,0.166968435049057,40,42,14.389705657958984,0.0,0.0,0.0,8000.0,8000.0,False,False
82,0,"[40, 45]",25.0,0.0,10.75960636138916,0.0,0.16510915756225586,40,42,14.24039363861084,0.0,0.0,0.0,8000.0,8000.0,False,False
83,0,"[40, 45]",25.0,0.0,10.908920288085938,0.0,0.1634562462568283,40,42,14.091079711914062,0.0,0.0,0.0,8000.0,8000.0,False,False
84,0,"[40, 45]",25.0,0.0,11.058234214782715,0.0,0.16216535866260529,40,42,13.941765785217285,0.0,0.0,0.0,8000.0,8000.0,False,False
85,0,"[40, 45]",25.0,0.0,11.20754623413086,0.0,0.16131775081157684,40,42,13.79245376586914,0.0,0.0,0.0,8000.0,8000.0,False,False
86,0,"[40, 45]",25.0,0.0,11.356858253479004,0.0,0.1609276831150055,40,42,13.643141746520996,0.0,0.0,0.0,8000.0,8000.0,False,False
