tick_global,waypoint_index,target_cell,target_world_x,target_world_y,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
99,1,"[41, 41]",10.0,-10.0,8.934049606323242,-2.559812068939209,0.18729065358638763,40,41,7.516159038450577,286.25377655029297,278.153242656371,-8.100533893921977,6420.503093248271,4610.826451733576,False,False
100,1,"[41, 41]",10.0,-10.0,8.996908187866211,-2.6884682178497314,0.18757584691047668,40,41,7.380019660201681,285.32450103759766,277.8118187795811,-7.512682258016582,6289.494380937834,4611.145055388374,False,False
101,1,"[41, 41]",10.0,-10.0,9.057546615600586,-2.8186283111572266,0.1880517601966858,40,41,7.242949517639786,284.4184036254883,277.4765330380043,-6.941870587484004,6158.922294910649,4608.093520524103,False,False
102,1,"[41, 41]",10.0,-10.0,9.115957260131836,-2.950202703475952,0.18871022760868073,40,41,7.105010449534285,283.5348892211914,277.14756622761996,-6.387322993571445,6028.817355657842,4601.8757028429645,False,False
103,1,"[41, 41]",10.0,-10.0,9.172139167785645,-3.0831058025360107,0.1896020621061325,40,41,6.966260036520719,282.6734085083008,276.8250816414477,-5.8483268668530854,5899.2078555999815,4592.679093239272,False,False
104,1,"[41, 41]",10.0,-10.0,9.226096153259277,-3.217256546020508,0.19059601426124573,40,41,6.8267514914856635,281.83341217041016,276.50923819156316,-5.324173978847,5770.114367698802,4580.682484436248,False,False
105,1,"[41, 41]",10.0,-10.0,9.277836799621582,-3.3525779247283936,0.19157341122627258,40,41,6.686534224453582,281.01436614990234,276.20018800499656,-4.814178144905782,5641.552224169965,4566.054503771135,False,False
106,1,"[41, 41]",10.0,-10.0,9.327372550964355,-3.488996744155884,0.19242694973945618,40,41,6.545654366280645,280.2157440185547,275.8980907114536,-4.317653307101068,5513.52990045481,4548.956893497555,False,False
107,1,"[41, 41]",10.0,-10.0,9.374717712402344,-3.626441717147827,0.19311830401420593,40,41,6.404156706709862,279.43704986572266,275.60311134518986,-3.833938520532797,5386.053002424646,4529.542915994726,False,False
108,1,"[41, 41]",10.0,-10.0,9.419891357421875,-3.7648468017578125,0.19355367124080658,40,41,6.2620812389127956,278.6777801513672,275.31540560612774,-3.3623745452394473,5259.120288407416,4507.958605211571,False,False
109,1,"[41, 41]",10.0,-10.0,9.462913513183594,-3.904146909713745,0.19376569986343384,40,41,6.119467852082669,277.9374465942383,275.03514921480837,-2.9022973794299105,5132.72578503949,4484.346327208385,False,False
110,1,"[41, 41]",10.0,-10.0,9.50380802154541,-4.044281959533691,0.19366563856601715,40,41,5.976352052633657,277.21559143066406,274.7625156769698,-2.453075753694236,5006.860772930117,4458.838389534201,False,False
111,1,"[41, 41]",10.0,-10.0,9.542600631713867,-4.1851935386657715,0.19329078495502472,40,41,5.832768499167686,276.5117492675781,274.49769061137386,-2.01405865620427,4881.510351028063,4431.565328576134,False,False
112,1,"[41, 41]",10.0,-10.0,9.579317092895508,-4.326825141906738,0.1928505003452301,40,41,5.68875092430943,275.8254699707031,274.24089193528897,-1.5845780354141539,4756.653860181467,4402.655729330135,False,False
113,1,"[41, 41]",10.0,-10.0,9.613987922668457,-4.4691243171691895,0.19241514801979065,40,41,5.544329638718733,275.15633392333984,273.99232574614683,-1.1640081771930113,4632.270247556828,4372.228324841235,False,False
114,1,"[41, 41]",10.0,-10.0,9.646642684936523,-4.612040042877197,0.19204752147197723,40,41,5.399534599543522,274.50389099121094,273.7522422467603,-0.7516487444506197,4508.327131330987,4340.407190093934,False,False
115,1,"[41, 41]",10.0,-10.0,9.677310943603516,-4.755525588989258,0.1917448490858078,40,41,5.254392455352429,273.8677444458008,273.52093280148154,-0.3468116443192457,4384.788860755879,4307.310395762262,False,False
116,1,"[41, 41]",10.0,-10.0,9.706027030944824,-4.899537563323975,0.191445454955101,40,41,5.108927203873457,273.2474899291992,273.2986805829935,0.05119065379426502,4261.615814663995,4273.051916487463,False,False
117,1,"[41, 41]",10.0,-10.0,9.73282241821289,-5.044032573699951,0.1911521852016449,41,41,4.96316401006019,272.6427230834961,273.0858442344157,0.4431211509195805,4138.758137446509,4237.752352726809,True,False
118,2,"[41, 40]",0.0,-10.0,9.757730484008789,-5.188971042633057,0.19092600047588348,41,41,10.879306219937815,272.0530700683594,206.2455071309151,-65.80756293744429,8000.0,-4321.121877088342,False,False
119,2,"[41, 40]",0.0,-10.0,9.780314445495605,-5.319352626800537,0.1897982805967331,41,41,10.842647761732788,271.34789276123047,205.5747704105024,-65.77312235072807,8000.0,-4321.36994565699,False,False
120,2,"[41, 40]",0.0,-10.0,9.800811767578125,-5.436648368835449,0.18791842460632324,41,41,10.811109536636376,270.53006744384766,204.96713692973321,-65.56293051411444,8000.0,-4280.312630000668,False,False
121,2,"[41, 40]",0.0,-10.0,9.819436073303223,-5.54218053817749,0.185479536652565,41,41,10.783945435316898,269.60240173339844,204.41705921658803,-65.18534251681041,8000.0,-4200.242727036768,False,False
