tick_global,waypoint_index,target_x,target_y,gps_x,gps_y,gps_z,distance_to_target,arrived,timeout
4398,3,25.0,-25.0,8.83479118347168,-25.8182373046875,0.17040681838989258,16.1859,False,False
4399,3,25.0,-25.0,8.884649276733398,-25.81571388244629,0.17034636437892914,16.136,False,False
4400,3,25.0,-25.0,8.934508323669434,-25.81319236755371,0.17031265795230865,16.0861,False,False
4401,3,25.0,-25.0,8.984366416931152,-25.8106689453125,0.17030298709869385,16.0361,False,False
4402,3,25.0,-25.0,9.034225463867188,-25.80814552307129,0.1703149378299713,15.9862,False,False
4403,3,25.0,-25.0,9.084083557128906,-25.805622100830078,0.17034634947776794,15.9363,False,False
4404,3,25.0,-25.0,9.133942604064941,-25.8031005859375,0.17039524018764496,15.8864,False,False
4405,3,25.0,-25.0,9.18380069732666,-25.80057716369629,0.17040108144283295,15.8364,False,False
4406,3,25.0,-25.0,9.233659744262695,-25.798053741455078,0.17036816477775574,15.7865,False,False
4407,3,25.0,-25.0,9.283517837524414,-25.795530319213867,0.17030034959316254,15.7366,False,False
4408,3,25.0,-25.0,9.33337688446045,-25.793006896972656,0.17025992274284363,15.6867,False,False
4409,3,25.0,-25.0,9.383234977722168,-25.790485382080078,0.17024414241313934,15.6368,False,False
4410,3,25.0,-25.0,9.433094024658203,-25.787961959838867,0.1702505201101303,15.5868,False,False
4411,3,25.0,-25.0,9.482952117919922,-25.785438537597656,0.17027683556079865,15.5369,False,False
4412,3,25.0,-25.0,9.532811164855957,-25.782915115356445,0.17032107710838318,15.487,False,False
4413,3,25.0,-25.0,9.582670211791992,-25.780391693115234,0.17032265663146973,15.4371,False,False
4414,3,25.0,-25.0,9.632528305053711,-25.777868270874023,0.17028582096099854,15.3871,False,False
4415,3,25.0,-25.0,9.682387351989746,-25.775346755981445,0.17027321457862854,15.3372,False,False
4416,3,25.0,-25.0,9.732245445251465,-25.772823333740234,0.17028240859508514,15.2873,False,False
4417,3,25.0,-25.0,9.7821044921875,-25.770299911499023,0.17031121253967285,15.2374,False,False
4418,3,25.0,-25.0,9.831963539123535,-25.767776489257812,0.17029882967472076,15.1875,False,False
4419,3,25.0,-25.0,9.881821632385254,-25.7652530670166,0.17024941742420197,15.1375,False,False
4420,3,25.0,-25.0,9.931680679321289,-25.76272964477539,0.17022544145584106,15.0876,False,False
4421,3,25.0,-25.0,9.981539726257324,-25.76020622253418,0.1702243685722351,15.0377,False,False
4422,3,25.0,-25.0,10.031397819519043,-25.75768280029297,0.17024387419223785,14.9878,False,False
4423,3,25.0,-25.0,10.081256866455078,-25.755159378051758,0.17028190195560455,14.9378,False,False
4424,3,25.0,-25.0,10.131115913391113,-25.75263786315918,0.17027778923511505,14.8879,False,False
4425,3,25.0,-25.0,10.180974006652832,-25.75011444091797,0.1702357530593872,14.838,False,False
4426,3,25.0,-25.0,10.230833053588867,-25.747591018676758,0.17021837830543518,14.7881,False,False
4427,3,25.0,-25.0,10.280692100524902,-25.745067596435547,0.1702231764793396,14.7382,False,False
4428,3,25.0,-25.0,10.330550193786621,-25.742544174194336,0.17024794220924377,14.6882,False,False
4429,3,25.0,-25.0,10.380409240722656,-25.740020751953125,0.17029064893722534,14.6383,False,False
4430,3,25.0,-25.0,10.430268287658691,-25.737497329711914,0.17029069364070892,14.5884,False,False
4431,3,25.0,-25.0,10.480127334594727,-25.734973907470703,0.17025235295295715,14.5385,False,False
4432,3,25.0,-25.0,10.529985427856445,-25.732450485229492,0.17017945647239685,14.4885,False,False
4433,3,25.0,-25.0,10.57984447479248,-25.72992706298828,0.17013424634933472,14.4386,False,False
4434,3,25.0,-25.0,10.629703521728516,-25.72740364074707,0.1701139658689499,14.3887,False,False
4435,3,25.0,-25.0,10.67956256866455,-25.72488021850586,0.1701160967350006,14.3388,False,False
