tick_global,waypoint_index,wp_ticks,sv0_target_cell,sv0_target_world,sv0_loc_x,sv0_loc_y,sv0_loc_z,sv0_proj_row,sv0_proj_col,sv0_dist_m,sv0_heading_deg,sv0_t_heading_deg,sv0_err_deg,sv0_cmd_l,sv0_cmd_r,sv0_arrived,sv0_timeout,sv1_target_cell,sv1_target_world,sv1_loc_x,sv1_loc_y,sv1_loc_z,sv1_proj_row,sv1_proj_col,sv1_dist_m,sv1_heading_deg,sv1_t_heading_deg,sv1_err_deg,sv1_cmd_l,sv1_cmd_r,sv1_arrived,sv1_timeout,inter_vessel_distance_m
219,2,50,"[40, 36]","[-40.0, 0.0]",-40.5030517578125,5.824493885040283,0.1935615986585617,39,36,5.846177391074437,302.8791694641113,274.9362905355083,-27.942878928603022,7243.86504010346,1001.3659707880261,False,False,"[40, 44]","[40.0, 0.0]",39.024513244628906,-7.716590404510498,0.1858711540699005,41,44,7.778003720807025,90.1953353881836,82.79521535937626,-7.4001200288073505,6492.101788219311,4838.899106037347,False,False,80.67214239720091
220,2,51,"[40, 36]","[-40.0, 0.0]",-40.41997146606445,5.72622013092041,0.19360429048538208,39,36,5.741600214231785,302.08592224121094,274.1946670338792,-27.89125520733171,7190.001417614163,959.0351983251771,False,False,"[40, 44]","[40.0, 0.0]",39.00162124633789,-7.573550224304199,0.18568384647369385,41,44,7.639072138409356,89.39535522460938,82.49031844228989,-6.905036782319485,6368.238309992,4825.638286660288,False,False,80.52746910512232
221,2,52,"[40, 36]","[-40.0, 0.0]",-40.33867645263672,5.6274590492248535,0.19378210604190826,39,36,5.637641092715399,301.2890167236328,273.4440684789303,-27.844948244702493,7136.779302806631,916.1581582629597,False,False,"[40, 44]","[40.0, 0.0]",38.981101989746094,-7.429912090301514,0.18547853827476501,41,44,7.499449768143525,88.61537170410156,82.19147199877868,-6.423899705322867,6244.835243942998,4809.722275293047,False,False,80.38732607335582
222,2,53,"[40, 36]","[-40.0, 0.0]",-40.259239196777344,5.528350830078125,0.1939450353384018,39,36,5.5344257029588215,300.4866714477539,272.68478603437603,-27.801885413377875,7084.1120025413375,873.1111868532898,False,False,"[40, 44]","[40.0, 0.0]",38.96291732788086,-7.285738468170166,0.18525762856006622,41,44,7.359179675438311,87.85490417480469,81.89870093290887,-5.956203241895821,6121.919274477164,4791.290698617422,False,False,80.25179729427202
223,2,54,"[40, 36]","[-40.0, 0.0]",-40.181732177734375,5.4290289878845215,0.19401709735393524,39,36,5.432069802176193,299.6771659851074,271.91721213700464,-27.759953848102782,7031.900746712865,830.2675326192543,False,False,"[40, 44]","[40.0, 0.0]",38.94703674316406,-7.141088485717773,0.18502303957939148,41,44,7.218301488653511,87.11343383789062,81.61210015701685,-5.501333680873756,5999.499937878769,4770.490197307812,False,False,80.1209705647473
224,2,55,"[40, 36]","[-40.0, 0.0]",-40.106201171875,5.329615116119385,0.19398896396160126,39,36,5.330673125870303,298.8588066101074,271.1415596835857,-27.71724692652174,6980.0505518767495,787.9581556388844,False,False,"[40, 44]","[40.0, 0.0]",38.93342208862305,-6.996018409729004,0.1848350167274475,41,44,7.076853964178177,86.39051818847656,81.33171887686206,-5.058799311614507,5877.594580154161,4747.447966582376,False,False,79.99489538073651
225,2,56,"[40, 36]","[-40.0, 0.0]",-40.03269958496094,5.230222225189209,0.19385264813899994,39,36,5.230324443829443,298.0299835205078,270.35821112734266,-27.671772393165156,6928.450902323328,746.5176143463314,False,False,"[40, 44]","[40.0, 0.0]",38.922035217285156,-6.850581169128418,0.1846887469291687,41,44,6.934873497591023,85.68567657470703,81.05761701042564,-4.628059564281386,5756.210477864706,4722.292047463114,False,False,79.8736249230318
226,2,57,"[40, 36]","[-40.0, 0.0]",-39.96126174926758,5.130951404571533,0.19366024434566498,39,36,5.131097637752023,297.18915939331055,269.56742991172814,-27.621729481582406,6876.995080419625,706.2414861949933,False,False,"[40, 44]","[40.0, 0.0]",38.912837982177734,-6.704824924468994,0.18457962572574615,41,44,6.792392694829712,84.99845886230469,80.78986347106837,-4.208595391236315,5635.351471025913,4695.142236320855,False,False,79.75718907883513
227,2,58,"[40, 36]","[-40.0, 0.0]",-39.89191436767578,5.031891822814941,0.19340041279792786,39,36,5.033052535035453,296.33488845825195,268.7694691005496,-27.565419357702353,6825.574125934087,667.400334127537,False,False,"[40, 44]","[40.0, 0.0]",38.90578842163086,-6.558795928955078,0.18450328707695007,41,44,6.649443812524082,84.32843780517578,80.52850760117312,-3.7999302040026635,5515.0223251550415,4666.109769560466,False,False,79.64560256179205
228,2,59,"[40, 36]","[-40.0, 0.0]",-39.824676513671875,4.933121204376221,0.1930047869682312,40,36,4.9362357259276575,295.46580505371094,267.96456052690485,-27.50124452680609,6774.077441057136,630.2404440800315,True,False,"[40, 44]","[40.0, 0.0]",38.90084457397461,-6.412537097930908,0.18439683318138123,41,44,6.506056769111472,83.6751708984375,80.27360754029287,-3.4015633581446423,5395.220919984017,4635.304371954332,False,False,79.53886869219464
229,2,60,"[40, 36]","[-40.0, 0.0]",-39.75956344604492,4.834705829620361,0.19258899986743927,40,36,4.840680757439277,294.58068084716797,267.15294784969774,-27.42773299747023,6722.395019035221,594.9806553392332,True,False,"[40, 44]","[40.0, 0.0]",38.89796829223633,-6.266088962554932,0.18426217138767242,41,44,6.362259407755176,83.03823852539062,80.02526566707843,-3.012972858312196,5275.938777885847,4602.834180755961,False,False,79.43698725516161
230,2,61,"[40, 36]","[-40.0, 0.0]",-39.69658279418945,4.736699104309082,0.19214028120040894,40,36,4.7464071049104435,293.6783676147461,266.3348303152361,-27.34353729950999,6670.417152351167,561.8122881165655,True,False,"[40, 44]","[40.0, 0.0]",38.897117614746094,-6.1194891929626465,0.1840420961380005,41,44,6.218078283399942,82.41724395751953,79.78356296119622,-2.6336809963233065,5157.16867657601,4568.798694713016,False,False,79.33994308238023
231,2,62,"[40, 36]","[-40.0, 0.0]",-39.63573455810547,4.639143943786621,0.1917067915201187,40,36,4.6534230243263615,292.75787353515625,265.5103488180448,-27.247524717111446,6618.043249903727,530.8878024524465,True,False,"[40, 44]","[40.0, 0.0]",38.89825439453125,-5.972772121429443,0.1837436854839325,41,44,6.073536876787238,81.8117904663086,79.5486258205668,-2.2631646457417958,5038.894271569192,4533.298436907746,False,False,79.24771405780773
232,2,63,"[40, 36]","[-40.0, 0.0]",-39.57701110839844,4.5420708656311035,0.19133272767066956,40,36,4.561724164264341,291.8183059692383,264.6795680544727,-27.138737914765557,6565.178506326072,502.32626378553823,True,False,"[40, 44]","[40.0, 0.0]",38.901329040527344,-5.825972080230713,0.18343192338943481,41,44,5.928661615981835,81.22148132324219,79.32049171683623,-1.9009896064059717,4921.108024061151,4496.422869783067,False,False,79.16025636048516
