step,robot_pos_before,next_cell,final_projected_cell,ticks,arrived,timeout,intensity_mass_before,intensity_mass_after,peak_intensity_before,peak_intensity_after,found_count
17,"[35, 31]","[36, 31]","[36, 31]",94,True,False,0.9999999999999998,0.9999999999999998,1.0337327768543405,1.035024939383305,0
18,"[36, 31]","[37, 31]","[37, 31]",85,True,False,0.9999999999999998,1.0,1.035024939383305,1.0364257462361544,0
19,"[37, 31]","[38, 31]","[38, 31]",73,True,False,1.0,1.0,1.0364257462361544,1.0379286512580306,0
20,"[38, 31]","[39, 31]","[39, 31]",98,True,False,1.0,0.9999999999999996,1.0379286512580306,1.0394910298221616,0
21,"[39, 31]","[39, 32]","[39, 32]",67,True,False,0.9999999999999996,1.0,1.0394910298221616,1.0403045773436308,0
22,"[39, 32]","[39, 33]","[39, 33]",99,True,False,1.0,1.0000000000000004,1.0403045773436308,1.040792300575122,0
23,"[39, 33]","[39, 34]","[39, 34]",72,True,False,1.0000000000000004,0.9999999999999996,1.040792300575122,1.0411043771607271,0
24,"[39, 34]","[39, 35]","[39, 35]",78,True,False,0.9999999999999996,1.0000000000000004,1.0411043771607271,1.0413244929352068,0
25,"[39, 35]","[39, 36]","[39, 36]",65,True,False,1.0000000000000004,1.0000000000000002,1.0413244929352068,1.0414918609207509,0
26,"[39, 36]","[39, 37]","[39, 37]",67,True,False,1.0000000000000002,1.0000000000000004,1.0414918609207509,1.0416070464502667,0
27,"[39, 37]","[39, 38]","[39, 38]",78,True,False,1.0000000000000004,0.9999999999999999,1.0416070464502667,1.0417184163561888,0
28,"[39, 38]","[39, 39]","[39, 39]",73,True,False,0.9999999999999999,1.0000000000000002,1.0417184163561888,1.0418450118172435,0
29,"[39, 39]","[39, 40]","[39, 40]",101,True,False,1.0000000000000002,0.9999999999999997,1.0418450118172435,1.0420442065789515,0
30,"[39, 40]","[39, 41]","[39, 41]",86,True,False,0.9999999999999997,1.0,1.0420442065789515,1.042626782326741,0
31,"[39, 41]","[39, 42]","[39, 42]",68,True,False,1.0,1.0,1.042626782326741,1.043636073956651,0
32,"[39, 42]","[39, 43]","[39, 43]",96,True,False,1.0,1.0,1.043636073956651,1.0449456915881363,0
33,"[39, 43]","[39, 44]","[39, 44]",85,True,False,1.0,0.9999999999999998,1.0449456915881363,1.0464504785389304,0
34,"[39, 44]","[39, 45]","[39, 45]",73,True,False,0.9999999999999998,1.0,1.0464504785389304,1.048073099479837,0
35,"[39, 45]","[39, 46]","[39, 46]",99,True,False,1.0,1.0,1.048073099479837,1.0497571893090965,0
36,"[39, 46]","[39, 47]","[39, 47]",87,True,False,1.0,1.0,1.0497571893090965,1.0514607108817227,0
37,"[39, 47]","[39, 48]","[39, 48]",68,True,False,1.0,0.9999999999999998,1.0514607108817227,1.0531760358139983,0
38,"[39, 48]","[40, 48]","[40, 48]",78,True,False,0.9999999999999998,1.0000000000000004,1.0531760358139983,1.0544625790836029,0
39,"[40, 48]","[41, 48]","[41, 48]",71,True,False,1.0000000000000004,1.0,1.0544625790836029,1.0558223173192065,0
40,"[41, 48]","[42, 48]","[42, 48]",101,True,False,1.0,0.9999999999999998,1.0558223173192065,1.0573150282519064,0
41,"[42, 48]","[42, 47]","[42, 47]",64,True,False,0.9999999999999998,1.0000000000000002,1.0573150282519064,1.0581314306668521,0
42,"[42, 47]","[42, 46]","[42, 46]",98,True,False,1.0000000000000002,0.9999999999999997,1.0581314306668521,1.0587325062121415,0
43,"[42, 46]","[42, 45]","[42, 45]",70,True,False,0.9999999999999997,1.0,1.0587325062121415,1.0592558615355465,0
44,"[42, 45]","[42, 44]","[42, 44]",91,True,False,1.0,1.0000000000000002,1.0592558615355465,1.0597202001700983,0
45,"[42, 44]","[43, 44]","[43, 44]",65,True,False,1.0000000000000002,1.0,1.0597202001700983,1.0605277622902682,0
46,"[43, 44]","[43, 43]","[43, 43]",88,True,False,1.0,0.9999999999999998,1.0605277622902682,1.061240581971686,0
47,"[43, 43]","[43, 42]","[43, 42]",71,True,False,0.9999999999999998,0.9999999999999999,1.061240581971686,1.061922487993484,0
48,"[43, 42]","[43, 41]","[43, 41]",79,True,False,0.9999999999999999,1.0,1.061922487993484,1.062600449066375,0
49,"[43, 41]","[43, 40]","[43, 40]",69,True,False,1.0,1.0000000000000002,1.062600449066375,1.0632993150463912,0
