tick_global,step,target_cell,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
24,1,"[39, 40]",0.0043123033829033375,-0.01588558964431286,0.2338540107011795,40,40,10.015886517967598,30.092350006103516,90.02466848950522,59.9323184834017,-3224.7861222089978,8000.0,False,False
25,1,"[39, 40]",0.004988634027540684,-0.017000455409288406,0.20049715042114258,40,40,10.017001697620866,32.459293365478516,90.02853425563424,57.569240890155726,-2716.33723739074,8000.0,False,False
26,1,"[39, 40]",0.005739507265388966,-0.018129603937268257,0.16748759150505066,40,40,10.018131248053598,34.896728515625,90.03282543945959,55.1360969238346,-2199.379480666929,8000.0,False,False
27,1,"[39, 40]",0.006573698483407497,-0.01927531138062477,0.13773015141487122,40,40,10.019277467899222,37.40285110473633,90.03759205263256,52.63474094789623,-1675.3360566289348,8000.0,False,False
28,1,"[39, 40]",0.007502570748329163,-0.02044134959578514,0.11454395204782486,40,40,10.020444158282448,39.975929260253906,90.04289886483579,50.066969604581885,-1145.6743961807397,8000.0,False,False
29,1,"[39, 40]",0.0098887262865901,-0.020484184846282005,0.09983222186565399,40,40,10.02048906419552,42.59893035888672,90.05654238723433,47.457612028347626,-616.9585775844107,8000.0,False,False
30,1,"[39, 40]",0.015489320270717144,-0.017658405005931854,0.09474742412567139,40,40,10.017670379805299,45.24773406982422,90.08859076002805,44.84085669020385,-97.59731059066416,8000.0,False,False
31,1,"[39, 40]",0.025675848126411438,-0.010248996317386627,0.09904687106609344,40,40,10.010281924973455,47.89924240112305,90.14696083059027,42.24771842946723,405.0344917356042,8000.0,False,False
32,1,"[39, 40]",0.041438329964876175,0.003387998091056943,0.11082019656896591,40,40,9.996697887397627,50.53168869018555,90.23750324788905,39.70581455770349,884.6737390528824,8000.0,False,False
33,1,"[39, 40]",0.0634070336818695,0.024780992418527603,0.1280059963464737,40,40,9.975420527533414,53.124855041503906,90.36419315611637,37.23933811461245,1336.186120759393,8000.0,False,False
