policy_name,viewpoint_generation_mode,path_safety_mode,clue_acquisition_mode,clue_mode_note,robot_pos_before,segment_path,next_cell,target_cell_source,segment_path_0_equals_robot_pos_before,next_cell_equals_segment_path_1,final_projected_cell_equals_next_cell,target_world,final_world,ticks,arrived,timeout,distance_to_target_m,final_projected_cell,replanned,replan_reason,committed_vp,committed_anchor,anchor_source,found_count,completed_steps,path_length,remaining_intensity_mass,search_info_map_peak,search_info_map_mean
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 20]","[[2, 20], [2, 21], [2, 22], [2, 23], [2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 21]",algorithm_segment_path,True,True,True,"[-95.0, 190.0]","[-97.49307250976562, 190.0, 0.16037940979003906]",220,True,False,2.493072509765625,"[2, 21]",True,commit_expired,"[39, 40]","[42, 42]",search_info,0,21,21,0.9999999999999997,1.0,0.9170432487647064
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 21]","[[2, 21], [2, 22], [2, 23], [2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 22]",algorithm_segment_path,True,True,True,"[-90.0, 190.0]","[-92.49307250976562, 190.0, 0.16045601665973663]",220,True,False,2.493072509765625,"[2, 22]",False,none,"[39, 40]","[42, 42]",search_info,0,22,22,1.0000000000000004,1.0,0.9119098570423069
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 22]","[[2, 22], [2, 23], [2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 23]",algorithm_segment_path,True,True,True,"[-85.0, 190.0]","[-87.49307250976562, 190.0, 0.16043011844158173]",220,True,False,2.493072509765625,"[2, 23]",False,none,"[39, 40]","[42, 42]",search_info,0,23,23,1.0,1.0,0.9155675699595753
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 23]","[[2, 23], [2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 24]",algorithm_segment_path,True,True,True,"[-80.0, 190.0]","[-82.49307250976562, 190.0, 0.16042158007621765]",220,True,False,2.493072509765625,"[2, 24]",False,none,"[39, 40]","[42, 42]",search_info,0,24,24,1.0000000000000002,1.0,0.9105926115016527
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 24]","[[2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 25]",algorithm_segment_path,True,True,True,"[-75.0, 190.0]","[-77.49307250976562, 190.0, 0.16045154631137848]",220,True,False,2.493072509765625,"[2, 25]",False,none,"[39, 40]","[42, 42]",search_info,0,25,25,0.9999999999999997,1.0,0.9132188580777278
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 25]","[[2, 25], [2, 26], [2, 27], [2, 28], [2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 26]",algorithm_segment_path,True,True,True,"[-70.0, 190.0]","[-72.49307250976562, 190.0, 0.1604107916355133]",220,True,False,2.493072509765625,"[2, 26]",True,commit_expired,"[40, 40]","[43, 42]",search_info,0,26,26,1.0,1.0,0.8950168201166604
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 26]","[[2, 26], [2, 27], [2, 28], [2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 27]",algorithm_segment_path,True,True,True,"[-65.0, 190.0]","[-67.49307250976562, 190.0, 0.16037674248218536]",220,True,False,2.493072509765625,"[2, 27]",False,none,"[40, 40]","[43, 42]",search_info,0,27,27,1.0000000000000004,1.0,0.9127187671257272
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 27]","[[2, 27], [2, 28], [2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 28]",algorithm_segment_path,True,True,True,"[-60.0, 190.0]","[-62.49306869506836, 190.0, 0.16045336425304413]",220,True,False,2.4930686950683594,"[2, 28]",False,none,"[40, 40]","[43, 42]",search_info,0,28,28,1.0,1.0,0.8878492163287125
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 28]","[[2, 28], [2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 29]",algorithm_segment_path,True,True,True,"[-55.0, 190.0]","[-57.49306869506836, 190.0, 0.1604049652814865]",220,True,False,2.4930686950683594,"[2, 29]",False,none,"[40, 40]","[43, 42]",search_info,0,29,29,1.0,1.0,0.8938846648555772
marine_knownmap_path_v2_infosampled,simple_ring_v1,soft_clearance_astar_v1,ucb,clue_acquisition_mode = ucb temporary for Phase 3B-repeat-far,"[2, 29]","[[2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 30]",algorithm_segment_path,True,True,True,"[-50.0, 190.0]","[-52.49306869506836, 190.0, 0.160375714302063]",220,True,False,2.4930686950683594,"[2, 30]",False,none,"[40, 40]","[43, 42]",search_info,0,30,30,0.9999999999999996,1.0,0.9029914744571615
