tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step
1945,0,2,10,-150.0,190.0,-154.01629638671875,190.0,0.17935024201869965,-154.01629638671875,190.0,0.17935024201869965,2,9,4.01629638671875,False,False,10
1946,0,2,10,-150.0,190.0,-153.99563598632812,190.0,0.17933227121829987,-153.99563598632812,190.0,0.17933227121829987,2,9,3.995635986328125,False,False,10
1947,0,2,10,-150.0,190.0,-153.97509765625,190.0,0.17933569848537445,-153.97509765625,190.0,0.17933569848537445,2,9,3.97509765625,False,False,10
1948,0,2,10,-150.0,190.0,-153.95465087890625,190.0,0.1793583780527115,-153.95465087890625,190.0,0.1793583780527115,2,9,3.95465087890625,False,False,10
1949,0,2,10,-150.0,190.0,-153.934326171875,190.0,0.17939840257167816,-153.934326171875,190.0,0.17939840257167816,2,9,3.934326171875,False,False,10
1950,0,2,10,-150.0,190.0,-153.9141082763672,190.0,0.1794539988040924,-153.9141082763672,190.0,0.1794539988040924,2,9,3.9141082763671875,False,False,10
1951,0,2,10,-150.0,190.0,-153.89398193359375,190.0,0.17946484684944153,-153.89398193359375,190.0,0.17946484684944153,2,9,3.89398193359375,False,False,10
1952,0,2,10,-150.0,190.0,-153.8739776611328,190.0,0.17943541705608368,-153.8739776611328,190.0,0.17943541705608368,2,9,3.8739776611328125,False,False,10
1953,0,2,10,-150.0,190.0,-153.85406494140625,190.0,0.17942851781845093,-153.85406494140625,190.0,0.17942851781845093,2,9,3.85406494140625,False,False,10
1954,0,2,10,-150.0,190.0,-153.8342742919922,190.0,0.1794419139623642,-153.8342742919922,190.0,0.1794419139623642,2,9,3.8342742919921875,False,False,10
1955,0,2,10,-150.0,190.0,-153.8145751953125,190.0,0.179414764046669,-153.8145751953125,190.0,0.179414764046669,2,9,3.8145751953125,False,False,10
1956,0,2,10,-150.0,190.0,-153.79498291015625,190.0,0.1794099360704422,-153.79498291015625,190.0,0.1794099360704422,2,9,3.79498291015625,False,False,10
1957,0,2,10,-150.0,190.0,-153.77548217773438,190.0,0.1794251948595047,-153.77548217773438,190.0,0.1794251948595047,2,9,3.775482177734375,False,False,10
1958,0,2,10,-150.0,190.0,-153.75608825683594,190.0,0.17945851385593414,-153.75608825683594,190.0,0.17945851385593414,2,9,3.7560882568359375,False,False,10
1959,0,2,10,-150.0,190.0,-153.73680114746094,190.0,0.17944930493831635,-153.73680114746094,190.0,0.17944930493831635,2,9,3.7368011474609375,False,False,10
1960,0,2,10,-150.0,190.0,-153.71762084960938,190.0,0.17940181493759155,-153.71762084960938,190.0,0.17940181493759155,2,9,3.717620849609375,False,False,10
1961,0,2,10,-150.0,190.0,-153.6985321044922,190.0,0.1793786883354187,-153.6985321044922,190.0,0.1793786883354187,2,9,3.6985321044921875,False,False,10
1962,0,2,10,-150.0,190.0,-153.67955017089844,190.0,0.1793774664402008,-153.67955017089844,190.0,0.1793774664402008,2,9,3.6795501708984375,False,False,10
1963,0,2,10,-150.0,190.0,-153.66065979003906,190.0,0.17939595878124237,-153.66065979003906,190.0,0.17939595878124237,2,9,3.6606597900390625,False,False,10
1964,0,2,10,-150.0,190.0,-153.64186096191406,190.0,0.179432213306427,-153.64186096191406,190.0,0.179432213306427,2,9,3.6418609619140625,False,False,10
1965,0,2,10,-150.0,190.0,-153.62318420410156,190.0,0.17948442697525024,-153.62318420410156,190.0,0.17948442697525024,2,9,3.6231842041015625,False,False,10
1966,0,2,10,-150.0,190.0,-153.60458374023438,190.0,0.17949222028255463,-153.60458374023438,190.0,0.17949222028255463,2,9,3.604583740234375,False,False,10
1967,0,2,10,-150.0,190.0,-153.58609008789062,190.0,0.17946003377437592,-153.58609008789062,190.0,0.17946003377437592,2,9,3.586090087890625,False,False,10
1968,0,2,10,-150.0,190.0,-153.56768798828125,190.0,0.17939187586307526,-153.56768798828125,190.0,0.17939187586307526,2,9,3.56768798828125,False,False,10
