tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step
16,0,1,2,-190.0,195.0,-193.8507080078125,194.954833984375,0.14211805164813995,-193.8507080078125,194.954833984375,0.14211805164813995,1,1,3.8509728810261374,False,False,1
17,0,1,2,-190.0,195.0,-193.8271026611328,194.95225524902344,0.14681413769721985,-193.8271026611328,194.95225524902344,0.14681413769721985,1,1,3.827400467692879,False,False,1
18,0,1,2,-190.0,195.0,-193.80401611328125,194.9496307373047,0.1540604829788208,-193.80401611328125,194.9496307373047,0.1540604829788208,1,1,3.8043495702587395,False,False,1
19,0,1,2,-190.0,195.0,-193.78140258789062,194.9469757080078,0.16283757984638214,-193.78140258789062,194.9469757080078,0.16283757984638214,1,1,3.781774333199588,False,False,1
20,0,1,2,-190.0,195.0,-193.7592315673828,194.9442596435547,0.172286719083786,-193.7592315673828,194.9442596435547,0.172286719083786,1,1,3.7596447923366494,False,False,1
21,0,1,2,-190.0,195.0,-193.73745727539062,194.94151306152344,0.18045930564403534,-193.73745727539062,194.94151306152344,0.18045930564403534,1,1,3.737914874277192,False,False,1
22,0,1,2,-190.0,195.0,-193.71604919433594,194.93870544433594,0.1868952065706253,-193.71604919433594,194.93870544433594,0.1868952065706253,1,1,3.7165546729839485,False,False,1
23,0,1,2,-190.0,195.0,-193.69500732421875,194.93588256835938,0.19082754850387573,-193.69500732421875,194.93588256835938,0.19082754850387573,1,1,3.695563579627659,False,False,1
24,0,1,2,-190.0,195.0,-193.67428588867188,194.93301391601562,0.1922716498374939,-193.67428588867188,194.93301391601562,0.1922716498374939,1,1,3.6748964512133986,False,False,1
25,0,1,2,-190.0,195.0,-193.65386962890625,194.9300994873047,0.19130010902881622,-193.65386962890625,194.9300994873047,0.19130010902881622,1,1,3.654538185149878,False,False,1
26,0,1,2,-190.0,195.0,-193.63372802734375,194.9271697998047,0.18827222287654877,-193.63372802734375,194.9271697998047,0.18827222287654877,1,1,3.634457815790959,False,False,1
27,0,1,2,-190.0,195.0,-193.61386108398438,194.92420959472656,0.18362893164157867,-193.61386108398438,194.92420959472656,0.18362893164157867,1,1,3.614655740159529,False,False,1
28,0,1,2,-190.0,195.0,-193.59423828125,194.9212188720703,0.17817863821983337,-193.59423828125,194.9212188720703,0.17817863821983337,1,1,3.5951015685959176,False,False,1
29,0,1,2,-190.0,195.0,-193.57485961914062,194.91819763183594,0.1724724918603897,-193.57485961914062,194.91819763183594,0.1724724918603897,1,1,3.5757954253563646,False,False,1
30,0,1,2,-190.0,195.0,-193.55569458007812,194.91517639160156,0.16706527769565582,-193.55569458007812,194.91517639160156,0.16706527769565582,1,1,3.556706199749803,False,False,1
31,0,1,2,-190.0,195.0,-193.53672790527344,194.91213989257812,0.16275028884410858,-193.53672790527344,194.91213989257812,0.16275028884410858,1,1,3.537819056200588,False,False,1
32,0,1,2,-190.0,195.0,-193.51797485351562,194.90907287597656,0.1603589951992035,-193.51797485351562,194.90907287597656,0.1603589951992035,1,1,3.519149728535496,False,False,1
33,0,1,2,-190.0,195.0,-193.4993896484375,194.90602111816406,0.15981647372245789,-193.4993896484375,194.90602111816406,0.15981647372245789,1,1,3.500651359650467,False,False,1
34,0,1,2,-190.0,195.0,-193.4810028076172,194.90293884277344,0.16093771159648895,-193.4810028076172,194.90293884277344,0.16093771159648895,1,1,3.4823557277913038,False,False,1
35,0,1,2,-190.0,195.0,-193.4627685546875,194.89987182617188,0.16355623304843903,-193.4627685546875,194.89987182617188,0.16355623304843903,1,1,3.464215887401753,False,False,1
