step,target_waypoint_cell,target_waypoint_world,target_world_observed,target_cell_observed,target_distance_to_waypoint_m,target_ticks_this_step,target_proxy_agent_name,target_motion_source
94,"[30, 30]","[-50.0, 50.0]","[-49.987770080566406, 50.077999114990234, 0.17813219130039215]","[30, 30]",0.07895209223707754,10,target,holoocean_agent_proxy
95,"[30, 30]","[-50.0, 50.0]","[-49.987770080566406, 50.07798385620117, 0.178108811378479]","[30, 30]",0.07893701766191352,10,target,holoocean_agent_proxy
96,"[30, 30]","[-50.0, 50.0]","[-49.98777389526367, 50.077980041503906, 0.1781083643436432]","[30, 30]",0.07893265806986742,10,target,holoocean_agent_proxy
97,"[30, 30]","[-50.0, 50.0]","[-49.98777389526367, 50.07797622680664, 0.17816931009292603]","[30, 30]",0.07892888941334678,10,target,holoocean_agent_proxy
98,"[30, 30]","[-50.0, 50.0]","[-49.98777389526367, 50.07797622680664, 0.17813757061958313]","[30, 30]",0.07892888941334678,10,target,holoocean_agent_proxy
99,"[30, 30]","[-50.0, 50.0]","[-49.98777389526367, 50.07797622680664, 0.1781371384859085]","[30, 30]",0.07892888941334678,10,target,holoocean_agent_proxy
100,"[30, 30]","[-50.0, 50.0]","[-49.98777389526367, 50.07797622680664, 0.17815223336219788]","[30, 30]",0.07892888941334678,10,target,holoocean_agent_proxy
101,"[35, 35]","[-25.0, 25.0]","[-50.01948165893555, 49.87355041503906, 0.17886130511760712]","[30, 30]",35.279852220939105,10,target,holoocean_agent_proxy
102,"[35, 35]","[-25.0, 25.0]","[-44.274784088134766, 41.662315368652344, 0.17803889513015747]","[32, 31]",25.47842332422949,10,target,holoocean_agent_proxy
103,"[35, 35]","[-25.0, 25.0]","[-36.09951400756836, 34.63850021362305, 0.17826679348945618]","[33, 33]",14.700336648261418,10,target,holoocean_agent_proxy
104,"[35, 35]","[-25.0, 25.0]","[-29.43335723876953, 28.849550247192383, 0.17829880118370056]","[34, 34]",5.87143027823793,10,target,holoocean_agent_proxy
105,"[35, 35]","[-25.0, 25.0]","[-26.45657730102539, 26.264785766601562, 0.17813417315483093]","[35, 35]",1.92906725369032,10,target,holoocean_agent_proxy
106,"[35, 35]","[-25.0, 25.0]","[-25.507923126220703, 25.441043853759766, 0.17813029885292053]","[35, 35]",0.6726853522183145,10,target,holoocean_agent_proxy
107,"[35, 35]","[-25.0, 25.0]","[-25.211225509643555, 25.183412551879883, 0.17815615236759186]","[35, 35]",0.27974341835201433,10,target,holoocean_agent_proxy
108,"[35, 35]","[-25.0, 25.0]","[-25.10799217224121, 25.093772888183594, 0.1781952828168869]","[35, 35]",0.14302329818483472,10,target,holoocean_agent_proxy
109,"[35, 35]","[-25.0, 25.0]","[-25.075042724609375, 25.065162658691406, 0.1781911700963974]","[35, 35]",0.09938602821589762,10,target,holoocean_agent_proxy
110,"[35, 35]","[-25.0, 25.0]","[-25.064552307128906, 25.056053161621094, 0.17819075286388397]","[35, 35]",0.08549243991947532,10,target,holoocean_agent_proxy
111,"[35, 35]","[-25.0, 25.0]","[-25.06117820739746, 25.053123474121094, 0.17814789712429047]","[35, 35]",0.08102392586798829,10,target,holoocean_agent_proxy
112,"[35, 35]","[-25.0, 25.0]","[-25.060104370117188, 25.05219078063965, 0.17814745008945465]","[35, 35]",0.07960158849520381,10,target,holoocean_agent_proxy
113,"[35, 35]","[-25.0, 25.0]","[-25.05975914001465, 25.051889419555664, 0.1781284213066101]","[35, 35]",0.07914332995972616,10,target,holoocean_agent_proxy
114,"[35, 35]","[-25.0, 25.0]","[-25.059648513793945, 25.051794052124023, 0.1781279742717743]","[35, 35]",0.07899727231526757,10,target,holoocean_agent_proxy
115,"[35, 35]","[-25.0, 25.0]","[-25.059614181518555, 25.0517635345459, 0.1781304031610489]","[35, 35]",0.07895134037374925,10,target,holoocean_agent_proxy
116,"[35, 35]","[-25.0, 25.0]","[-25.059602737426758, 25.051753997802734, 0.17812997102737427]","[35, 35]",0.0789364465714569,10,target,holoocean_agent_proxy
117,"[35, 35]","[-25.0, 25.0]","[-25.059598922729492, 25.0517520904541, 0.1781517118215561]","[35, 35]",0.07893231566909392,10,target,holoocean_agent_proxy
118,"[35, 35]","[-25.0, 25.0]","[-25.05959701538086, 25.05175018310547, 0.17815126478672028]","[35, 35]",0.07892962494371764,10,target,holoocean_agent_proxy
119,"[35, 35]","[-25.0, 25.0]","[-25.05959701538086, 25.051748275756836, 0.17819039523601532]","[35, 35]",0.07892837440434158,10,target,holoocean_agent_proxy
120,"[35, 35]","[-25.0, 25.0]","[-25.05959701538086, 25.05175018310547, 0.1781899482011795]","[35, 35]",0.07892962494371764,10,target,holoocean_agent_proxy
