tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step,target_proxy_x,target_proxy_y,target_proxy_z
11,0,1,2,-190.0,195.0,-193.50375366210938,194.90890502929688,0.29371538758277893,-193.50375366210938,194.90890502929688,0.29371538758277893,1,1,3.5049376625601,False,False,1,-98.93297576904297,99.97061157226562,0.30520930886268616
12,0,1,2,-190.0,195.0,-193.47779846191406,194.9049530029297,0.27883097529411316,-193.47779846191406,194.9049530029297,0.27883097529411316,1,1,3.479097019823377,False,False,1,-98.92378997802734,99.96979522705078,0.28938326239585876
13,0,1,2,-190.0,195.0,-193.45278930664062,194.90097045898438,0.2556394934654236,-193.45278930664062,194.90097045898438,0.2556394934654236,1,1,3.454209149146243,False,False,1,-98.9149398803711,99.96891021728516,0.26534077525138855
14,0,1,2,-190.0,195.0,-193.4286346435547,194.89698791503906,0.22550101578235626,-193.4286346435547,194.89698791503906,0.22550101578235626,1,1,3.4301817748672416,False,False,1,-98.90640258789062,99.96795654296875,0.23419766128063202
15,0,1,2,-190.0,195.0,-193.4052734375,194.89297485351562,0.19128668308258057,-193.4052734375,194.89297485351562,0.19128668308258057,1,1,3.406954881726946,False,False,1,-98.89813995361328,99.96692657470703,0.19854627549648285
16,0,1,2,-190.0,195.0,-193.3826446533203,194.8889617919922,0.15722781419754028,-193.3826446533203,194.8889617919922,0.15722781419754028,1,1,3.3844666247835984,False,False,1,-98.89012145996094,99.96583557128906,0.16336680948734283
17,0,1,2,-190.0,195.0,-193.3606719970703,194.88494873046875,0.12754401564598083,-193.3606719970703,194.88494873046875,0.12754401564598083,1,1,3.3626407876122175,False,False,1,-98.88231658935547,99.96468353271484,0.1333763748407364
18,0,1,2,-190.0,195.0,-193.3393096923828,194.88092041015625,0.10514943301677704,-193.3393096923828,194.88092041015625,0.10514943301677704,1,1,3.3414322034659256,False,False,1,-98.87470245361328,99.96346282958984,0.11140727251768112
19,0,1,2,-190.0,195.0,-193.31849670410156,194.8769073486328,0.09207747131586075,-193.31849670410156,194.8769073486328,0.09207747131586075,1,1,3.320778850804964,False,False,1,-98.86724853515625,99.96218872070312,0.09988979250192642
20,0,1,2,-190.0,195.0,-193.29820251464844,194.8728790283203,0.08886405825614929,-193.29820251464844,194.8728790283203,0.08886405825614929,1,1,3.300651385571349,False,False,1,-98.85993957519531,99.96086120605469,0.0986589640378952
21,0,1,2,-190.0,195.0,-193.27838134765625,194.8688507080078,0.09487471729516983,-193.27838134765625,194.8688507080078,0.09487471729516983,1,1,3.281003565595512,False,False,1,-98.85275268554688,99.95946502685547,0.10692063719034195
22,0,1,2,-190.0,195.0,-193.2589874267578,194.8648223876953,0.10848043113946915,-193.2589874267578,194.8648223876953,0.10848043113946915,1,1,3.261789698100401,False,False,1,-98.8456802368164,99.95800018310547,0.12296091020107269
23,0,1,2,-190.0,195.0,-193.24000549316406,194.8607940673828,0.12727446854114532,-193.24000549316406,194.8607940673828,0.12727446854114532,1,1,3.242994586398368,False,False,1,-98.83870697021484,99.95645904541016,0.14400231838226318
24,0,1,2,-190.0,195.0,-193.2213897705078,194.8567657470703,0.1485619693994522,-193.2213897705078,194.8567657470703,0.1485619693994522,1,1,3.224572546050825,False,False,1,-98.83183288574219,99.954833984375,0.16672249138355255
25,0,1,2,-190.0,195.0,-193.20310974121094,194.8527374267578,0.16974171996116638,-193.20310974121094,194.8527374267578,0.16974171996116638,1,1,3.2064931435632777,False,False,1,-98.8250503540039,99.95310974121094,0.18813200294971466
26,0,1,2,-190.0,195.0,-193.18515014648438,194.84869384765625,0.18829673528671265,-193.18515014648438,194.84869384765625,0.18829673528671265,1,1,3.188741916083286,False,False,1,-98.81834411621094,99.95127868652344,0.20577602088451385
27,0,1,2,-190.0,195.0,-193.16749572753906,194.8446502685547,0.20202067494392395,-193.16749572753906,194.8446502685547,0.20202067494392395,1,1,3.171303000824479,False,False,1,-98.81172943115234,99.9493408203125,0.2176804542541504
