tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step,target_proxy_x,target_proxy_y,target_proxy_z
11,0,1,2,-190.0,195.0,-193.50375366210938,194.90890502929688,0.2925860285758972,-193.50375366210938,194.90890502929688,0.2925860285758972,1,1,3.5049376625601,False,False,1,-98.93297576904297,99.97059631347656,0.29477378726005554
12,0,1,2,-190.0,195.0,-193.47779846191406,194.90493774414062,0.27752184867858887,-193.47779846191406,194.90493774414062,0.27752184867858887,1,1,3.4790974367184506,False,False,1,-98.92378997802734,99.96977996826172,0.27822908759117126
13,0,1,2,-190.0,195.0,-193.45277404785156,194.90097045898438,0.2541685998439789,-193.45277404785156,194.90097045898438,0.2541685998439789,1,1,3.4541938966292887,False,False,1,-98.9149398803711,99.9688949584961,0.2535986006259918
14,0,1,2,-190.0,195.0,-193.4286346435547,194.89697265625,0.22376690804958344,-193.4286346435547,194.89697265625,0.22376690804958344,1,1,3.4301822331391607,False,False,1,-98.90640258789062,99.96794128417969,0.22263197600841522
15,0,1,2,-190.0,195.0,-193.4052734375,194.89297485351562,0.1895509660243988,-193.4052734375,194.89297485351562,0.1895509660243988,1,1,3.406954881726946,False,False,1,-98.89813995361328,99.96691131591797,0.188492089509964
16,0,1,2,-190.0,195.0,-193.38262939453125,194.8889617919922,0.15654942393302917,-193.38262939453125,194.8889617919922,0.15654942393302917,1,1,3.384451374208889,False,False,1,-98.89012145996094,99.96582794189453,0.1553785651922226
17,0,1,2,-190.0,195.0,-193.36065673828125,194.88494873046875,0.1276993751525879,-193.36065673828125,194.88494873046875,0.1276993751525879,1,1,3.362625537757055,False,False,1,-98.88231658935547,99.96466827392578,0.12636475265026093
18,0,1,2,-190.0,195.0,-193.33929443359375,194.88092041015625,0.10534914582967758,-193.33929443359375,194.88092041015625,0.10534914582967758,1,1,3.3414169543694423,False,False,1,-98.87470245361328,99.96345520019531,0.10462743043899536
19,0,1,2,-190.0,195.0,-193.31849670410156,194.87689208984375,0.09178782254457474,-193.31849670410156,194.87689208984375,0.09178782254457474,1,1,3.3207794164436715,False,False,1,-98.86724853515625,99.9621810913086,0.09320090711116791
20,0,1,2,-190.0,195.0,-193.29820251464844,194.87286376953125,0.08801645785570145,-193.29820251464844,194.87286376953125,0.08801645785570145,1,1,3.300651973282109,False,False,1,-98.85993194580078,99.96085357666016,0.0922871083021164
21,0,1,2,-190.0,195.0,-193.27838134765625,194.86883544921875,0.09370142221450806,-193.27838134765625,194.86883544921875,0.09370142221450806,1,1,3.281004175559985,False,False,1,-98.85274505615234,99.95945739746094,0.1009516790509224
22,0,1,2,-190.0,195.0,-193.2589874267578,194.8648223876953,0.1070728525519371,-193.2589874267578,194.8648223876953,0.1070728525519371,1,1,3.261789698100401,False,False,1,-98.84567260742188,99.95799255371094,0.11711935698986053
23,0,1,2,-190.0,195.0,-193.24000549316406,194.8607940673828,0.12524452805519104,-193.24000549316406,194.8607940673828,0.12524452805519104,1,1,3.242994586398368,False,False,1,-98.83870697021484,99.95645141601562,0.13756996393203735
24,0,1,2,-190.0,195.0,-193.22137451171875,194.8567657470703,0.14561928808689117,-193.22137451171875,194.8567657470703,0.14561928808689117,1,1,3.224557302322838,False,False,1,-98.83183288574219,99.95482635498047,0.1589355170726776
25,0,1,2,-190.0,195.0,-193.20310974121094,194.85272216796875,0.16615407168865204,-193.20310974121094,194.85272216796875,0.16615407168865204,1,1,3.2064938443802173,False,False,1,-98.8250503540039,99.95309448242188,0.17842067778110504
26,0,1,2,-190.0,195.0,-193.18515014648438,194.84869384765625,0.18459899723529816,-193.18515014648438,194.84869384765625,0.18459899723529816,1,1,3.188741916083286,False,False,1,-98.81835174560547,99.95126342773438,0.19456812739372253
27,0,1,2,-190.0,195.0,-193.16749572753906,194.8446502685547,0.19963477551937103,-193.16749572753906,194.8446502685547,0.19963477551937103,1,1,3.171303000824479,False,False,1,-98.81172943115234,99.9493179321289,0.20594875514507294
