step,robot_pos_before,sv_world_before,target_waypoint_cell,target_waypoint_world,target_world_current,target_cell_current,target_motion_ticks,target_distance_to_waypoint_m,segment_path,next_cell,next_cell_world,sv_final_world,sv_final_projected_cell,arrived,timeout,ticks,distance_to_next_cell_m,found_count_before,found_count_after,detected_count_this_step,found_mask,find_times,remaining_intensity_mass,search_info_map_peak,search_info_map_mean,replanned,replan_reason,committed_viewpoint,committed_anchor,anchor_source,target_cell_source,target_motion_source,target_motion_mode_for_policy,viewpoint_generation_mode,path_safety_mode,clue_acquisition_mode,run_label,phase_note,world
21,"[2, 20]","[-97.47931671142578, 189.78152465820312]","[20, 25]","[-75.0, 100.0]","[-75.19188690185547, 100.03231048583984, 0.16224434971809387]","[20, 25]",10,0.4227166661336165,"[[2, 20], [2, 21], [2, 22], [2, 23], [2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 21]","[-95.0, 190.0]","[-97.47931671142578, 189.78152465820312, 0.1716640442609787]","[2, 21]",True,False,207,2.4889240306864355,0,0,0,[False],[None],0.9999999999999997,1.0,0.9169473229640263,True,commit_expired,"[39, 40]","[42, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
22,"[2, 21]","[-92.48869323730469, 189.77767944335938]","[20, 25]","[-75.0, 100.0]","[-75.11442565917969, 100.01927185058594, 0.16223788261413574]","[20, 25]",10,0.18866174700432817,"[[2, 21], [2, 22], [2, 23], [2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 22]","[-90.0, 190.0]","[-92.48869323730469, 189.77767944335938, 0.17149503529071808]","[2, 22]",True,False,206,2.498603701932558,0,0,0,[False],[None],1.0000000000000004,1.0,0.910402561494634,False,none,"[39, 40]","[42, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
23,"[2, 22]","[-87.47913360595703, 189.77532958984375]","[20, 25]","[-75.0, 100.0]","[-75.08951568603516, 100.01507568359375, 0.16228720545768738]","[20, 25]",10,0.11413323302749326,"[[2, 22], [2, 23], [2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 23]","[-85.0, 190.0]","[-87.47913360595703, 189.77532958984375, 0.171622633934021]","[2, 23]",True,False,207,2.4892931184144005,0,0,0,[False],[None],1.0,1.0,0.9156918968699846,False,none,"[39, 40]","[42, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
24,"[2, 23]","[-82.4885482788086, 189.77304077148438]","[20, 25]","[-75.0, 100.0]","[-75.08158111572266, 100.01374053955078, 0.16227898001670837]","[20, 25]",10,0.09016419619064528,"[[2, 23], [2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 24]","[-80.0, 190.0]","[-82.4885482788086, 189.77304077148438, 0.17146088182926178]","[2, 24]",True,False,206,2.498876352957389,0,0,0,[False],[None],1.0000000000000002,1.0,0.9108000095225763,False,none,"[39, 40]","[42, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
25,"[2, 24]","[-77.4790267944336, 189.77210998535156]","[20, 25]","[-75.0, 100.0]","[-75.07903289794922, 100.0133056640625, 0.1623372733592987]","[20, 25]",10,0.08253574776300976,"[[2, 24], [2, 25], [2, 26], [2, 27], [2, 28]]","[2, 25]","[-75.0, 190.0]","[-77.4790267944336, 189.77210998535156, 0.17157568037509918]","[2, 25]",True,False,207,2.4894794046740305,0,0,0,[False],[None],0.9999999999999997,1.0,0.9132815254427245,False,none,"[39, 40]","[42, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
26,"[2, 25]","[-72.48847198486328, 189.77122497558594]","[20, 25]","[-75.0, 100.0]","[-75.07821655273438, 100.01317596435547, 0.16222935914993286]","[20, 25]",10,0.0800836614985977,"[[2, 25], [2, 26], [2, 27], [2, 28], [2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 26]","[-70.0, 190.0]","[-72.48847198486328, 189.77122497558594, 0.1714656800031662]","[2, 26]",True,False,206,2.4989659523981222,0,0,0,[False],[None],1.0,1.0,0.8936919303601626,True,commit_expired,"[40, 40]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
27,"[2, 26]","[-67.4789810180664, 189.7715301513672]","[20, 25]","[-75.0, 100.0]","[-75.07795715332031, 100.01313018798828, 0.1622805893421173]","[20, 25]",10,0.07929473009931715,"[[2, 26], [2, 27], [2, 28], [2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 27]","[-65.0, 190.0]","[-67.4789810180664, 189.7715301513672, 0.17144045233726501]","[2, 27]",True,False,207,2.4894869671616795,0,0,0,[False],[None],1.0000000000000004,1.0,0.9127459672665246,False,none,"[40, 40]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
28,"[2, 27]","[-62.48845291137695, 189.77122497558594]","[20, 25]","[-75.0, 100.0]","[-75.07787322998047, 100.01311492919922, 0.16227982938289642]","[20, 25]",10,0.07904764460035194,"[[2, 27], [2, 28], [2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 28]","[-60.0, 190.0]","[-62.48845291137695, 189.77122497558594, 0.17145651578903198]","[2, 28]",True,False,206,2.4989469590081517,0,0,0,[False],[None],1.0,1.0,0.8848254145093705,False,none,"[40, 40]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
29,"[2, 28]","[-57.478973388671875, 189.77151489257812]","[20, 25]","[-75.0, 100.0]","[-75.07784271240234, 100.01310729980469, 0.16230742633342743]","[20, 25]",10,0.0789698760002287,"[[2, 28], [2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 29]","[-55.0, 190.0]","[-57.478973388671875, 189.77151489257812, 0.1715013086795807]","[2, 29]",True,False,207,2.489480770372992,0,0,0,[False],[None],1.0,1.0,0.8909303114998629,False,none,"[40, 40]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
30,"[2, 29]","[-52.48845291137695, 189.77122497558594]","[20, 25]","[-75.0, 100.0]","[-75.07783508300781, 100.01310729980469, 0.16225460171699524]","[20, 25]",10,0.07893851520217468,"[[2, 29], [2, 30], [2, 31], [2, 32], [2, 33]]","[2, 30]","[-50.0, 190.0]","[-52.48845291137695, 189.77122497558594, 0.17142127454280853]","[2, 30]",True,False,206,2.4989469590081517,0,0,0,[False],[None],0.9999999999999996,1.0,0.9023940247224244,False,none,"[40, 40]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_catchable,Phase 3C-1-catchable dynamic target search positive-control run; target agent follows a catchable schedule near the search corridor; no HoloOcean sonar/camera.,OpenWater
