step,robot_pos_before,sv_world_before,target_waypoint_cell,target_waypoint_world,target_world_current,target_cell_current,target_motion_ticks,target_distance_to_waypoint_m,segment_path,next_cell,next_cell_world,sv_final_world,sv_final_projected_cell,arrived,timeout,ticks,distance_to_next_cell_m,found_count_before,found_count_after,detected_count_this_step,found_mask,find_times,remaining_intensity_mass,search_info_map_peak,search_info_map_mean,replanned,replan_reason,committed_viewpoint,committed_anchor,anchor_source,target_cell_source,target_motion_source,target_motion_mode_for_policy,viewpoint_generation_mode,path_safety_mode,clue_acquisition_mode,run_label,phase_note,world
35,"[2, 34]","[-27.478971481323242, 189.77151489257812]","[20, 25]","[-75.0, 100.0]","[-75.07783508300781, 100.01310729980469, 0.178139328956604]","[20, 25]",10,0.07893851520217468,"[[2, 34], [2, 35], [2, 36], [2, 37], [2, 38]]","[2, 35]","[-25.0, 190.0]","[-27.478971481323242, 189.77151489257812, 0.165711909532547]","[2, 35]",True,False,207,2.4894788710747346,0,0,0,[False],[None],1.0,1.0,0.8954368714857205,False,none,"[41, 39]","[43, 42]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
36,"[2, 35]","[-22.48845100402832, 189.77122497558594]","[20, 25]","[-75.0, 100.0]","[-75.07783508300781, 100.01310729980469, 0.17816153168678284]","[20, 25]",10,0.0789309917269701,"[[2, 35], [2, 36], [2, 37], [3, 37], [4, 37], [5, 37], [6, 37], [7, 37], [8, 37]]","[2, 36]","[-20.0, 190.0]","[-22.48845100402832, 189.77122497558594, 0.1656014770269394]","[2, 36]",True,False,206,2.498945059669222,0,0,0,[False],[None],1.0,1.0,0.8882843133278109,True,commit_expired,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
37,"[2, 36]","[-17.478971481323242, 189.77151489257812]","[20, 25]","[-75.0, 100.0]","[-75.07783508300781, 100.01310729980469, 0.17807750403881073]","[20, 25]",10,0.0789309917269701,"[[2, 36], [2, 37], [3, 37], [4, 37], [5, 37], [6, 37], [7, 37], [8, 37]]","[2, 37]","[-15.0, 190.0]","[-17.478971481323242, 189.77151489257812, 0.16558045148849487]","[2, 37]",True,False,207,2.4894788710747346,0,0,0,[False],[None],0.9999999999999998,1.0,0.9000658936472361,False,none,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
38,"[2, 37]","[-14.949851036071777, 187.497314453125]","[20, 25]","[-75.0, 100.0]","[-75.07783508300781, 100.01310729980469, 0.17819909751415253]","[20, 25]",10,0.0789309917269701,"[[2, 37], [3, 37], [4, 37], [5, 37], [6, 37], [7, 37], [8, 37]]","[3, 37]","[-15.0, 185.0]","[-14.949851036071777, 187.497314453125, 0.16181129217147827]","[3, 37]",True,False,187,2.49781792698549,0,0,0,[False],[None],1.0000000000000002,1.0,0.8994724423454405,False,none,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
39,"[3, 37]","[-15.05014705657959, 182.48770141601562]","[20, 25]","[-75.0, 100.0]","[-75.07783508300781, 100.01310729980469, 0.17810563743114471]","[20, 25]",10,0.0789309917269701,"[[3, 37], [4, 37], [5, 37], [6, 37], [7, 37], [8, 37]]","[4, 37]","[-15.0, 180.0]","[-15.05014705657959, 182.48770141601562, 0.16545476019382477]","[4, 37]",True,False,207,2.4882067965765513,0,0,0,[False],[None],1.0,1.0,0.8992922805077703,False,none,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
40,"[4, 37]","[-14.981842994689941, 177.49415588378906]","[20, 25]","[-75.0, 100.0]","[-75.07783508300781, 100.01310729980469, 0.17821456491947174]","[20, 25]",10,0.0789309917269701,"[[4, 37], [5, 37], [6, 37], [7, 37], [8, 37]]","[5, 37]","[-15.0, 175.0]","[-14.981842994689941, 177.49415588378906, 0.16617806255817413]","[5, 37]",True,False,206,2.494221972776567,0,0,0,[False],[None],0.9999999999999998,1.0,0.8976255221420271,False,none,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
41,"[5, 37]","[-14.983680725097656, 172.49566650390625]","[25, 25]","[-75.0, 75.0]","[-72.57964324951172, 91.62101745605469, 0.17430847883224487]","[20, 25]",10,24.978658439969006,"[[5, 37], [6, 37], [7, 37], [8, 37], [9, 37], [10, 37], [11, 37], [12, 37], [13, 37]]","[6, 37]","[-15.0, 170.0]","[-14.983680725097656, 172.49566650390625, 0.16648437082767487]","[6, 37]",True,False,206,2.4957198595701766,0,0,0,[False],[None],1.0000000000000004,1.0,0.9028672840315319,True,commit_expired,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
42,"[6, 37]","[-14.982274055480957, 167.49610900878906]","[25, 25]","[-75.0, 75.0]","[-74.1099853515625, 81.5639419555664, 0.1780422180891037]","[22, 25]",10,16.299081018588975,"[[6, 37], [7, 37], [8, 37], [9, 37], [10, 37], [11, 37], [12, 37], [13, 37]]","[7, 37]","[-15.0, 165.0]","[-14.982274055480957, 167.49610900878906, 0.16658960282802582]","[7, 37]",True,False,206,2.4961719477766366,0,0,0,[False],[None],1.0000000000000002,1.0,0.8763919086840641,False,none,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
43,"[7, 37]","[-14.98178768157959, 162.4962615966797]","[25, 25]","[-75.0, 75.0]","[-74.70559692382812, 77.1610336303711, 0.17843741178512573]","[24, 25]",10,6.288912439893043,"[[7, 37], [8, 37], [9, 37], [10, 37], [11, 37], [12, 37], [13, 37]]","[8, 37]","[-15.0, 160.0]","[-14.98178768157959, 162.4962615966797, 0.16659671068191528]","[8, 37]",True,False,206,2.4963280328514657,0,0,0,[False],[None],1.0,1.0,0.898950566801373,False,none,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
44,"[8, 37]","[-14.981217384338379, 157.49630737304688]","[25, 25]","[-75.0, 75.0]","[-74.8982925415039, 75.7467041015625, 0.17818298935890198]","[25, 25]",10,2.0732717647954924,"[[8, 37], [9, 37], [10, 37], [11, 37], [12, 37], [13, 37]]","[9, 37]","[-15.0, 155.0]","[-14.981217384338379, 157.49630737304688, 0.1665947139263153]","[9, 37]",True,False,206,2.49637803374795,0,0,0,[False],[None],0.9999999999999998,1.0,0.8980165976900208,False,none,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
45,"[9, 37]","[-14.98062515258789, 152.49632263183594]","[25, 25]","[-75.0, 75.0]","[-74.96012878417969, 75.29271697998047, 0.1780490279197693]","[25, 25]",10,0.7190186913286711,"[[9, 37], [10, 37], [11, 37], [12, 37], [13, 37]]","[10, 37]","[-15.0, 150.0]","[-14.98062515258789, 152.49632263183594, 0.1665554940700531]","[10, 37]",True,False,206,2.4963978182430266,0,0,0,[False],[None],1.0,1.0,0.8923030969889327,False,none,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
46,"[10, 37]","[-14.97999382019043, 147.49632263183594]","[25, 25]","[-75.0, 75.0]","[-74.97997283935547, 75.14703369140625, 0.17804491519927979]","[25, 25]",10,0.2843247572627671,"[[10, 37], [11, 37], [12, 37], [13, 37], [14, 37], [15, 37], [16, 37], [17, 37], [18, 37]]","[11, 37]","[-15.0, 145.0]","[-14.97999382019043, 147.49632263183594, 0.16662085056304932]","[11, 37]",True,False,206,2.4964027979168093,0,0,0,[False],[None],1.0,1.0,0.8942341886916083,True,commit_expired,"[43, 37]","[44, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
47,"[11, 37]","[-14.979320526123047, 142.49632263183594]","[25, 25]","[-75.0, 75.0]","[-74.98634338378906, 75.10028839111328, 0.17804454267024994]","[25, 25]",10,0.1448339517529173,"[[11, 37], [12, 37], [13, 37], [14, 37], [15, 37], [16, 37], [17, 37], [18, 37]]","[12, 37]","[-15.0, 140.0]","[-14.979320526123047, 142.49632263183594, 0.16657182574272156]","[12, 37]",True,False,206,2.4964082844871607,0,0,0,[False],[None],1.0,1.0,0.8759113862060186,False,none,"[43, 37]","[44, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
48,"[12, 37]","[-14.978599548339844, 137.49632263183594]","[25, 25]","[-75.0, 75.0]","[-74.9883804321289, 75.08528900146484, 0.17804406583309174]","[25, 25]",10,0.10007454122587568,"[[12, 37], [13, 37], [14, 37], [15, 37], [16, 37], [17, 37], [18, 37]]","[13, 37]","[-15.0, 135.0]","[-14.978599548339844, 137.49632263183594, 0.16660158336162567]","[13, 37]",True,False,206,2.49641436094803,0,0,0,[False],[None],0.9999999999999998,1.0,0.8757473242754444,False,none,"[43, 37]","[44, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
49,"[13, 37]","[-14.977828025817871, 132.49632263183594]","[25, 25]","[-75.0, 75.0]","[-74.9890365600586, 75.08048248291016, 0.17804361879825592]","[25, 25]",10,0.08571436480571015,"[[13, 37], [14, 37], [15, 37], [16, 37], [17, 37], [18, 37]]","[14, 37]","[-15.0, 130.0]","[-14.977828025817871, 132.49632263183594, 0.16659684479236603]","[14, 37]",True,False,206,2.4964210940174807,0,0,0,[False],[None],1.0000000000000002,1.0,0.8839563439914896,False,none,"[43, 37]","[44, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
50,"[14, 37]","[-14.976998329162598, 127.49632263183594]","[25, 25]","[-75.0, 75.0]","[-74.98925018310547, 75.07893371582031, 0.1780431866645813]","[25, 25]",10,0.08110276557189702,"[[14, 37], [15, 37], [16, 37], [17, 37], [18, 37]]","[15, 37]","[-15.0, 125.0]","[-14.976998329162598, 127.49632263183594, 0.16663987934589386]","[15, 37]",True,False,206,2.4964286008371266,0,0,0,[False],[None],1.0000000000000002,1.0,0.8882560059149114,False,none,"[43, 37]","[44, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
51,"[15, 37]","[-14.976103782653809, 122.49632263183594]","[25, 25]","[-75.0, 75.0]","[-74.98931884765625, 75.07843780517578, 0.17804273962974548]","[25, 25]",10,0.07962455241356912,"[[15, 37], [16, 37], [17, 37], [18, 37], [19, 37], [20, 37], [21, 37], [22, 37], [23, 37]]","[16, 37]","[-15.0, 120.0]","[-14.976103782653809, 122.49632263183594, 0.16647908091545105]","[16, 37]",True,False,206,2.4964370032948473,0,0,0,[False],[None],0.9999999999999996,1.0,0.8795236401071397,True,commit_expired,"[43, 37]","[44, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
52,"[16, 37]","[-14.975138664245605, 117.49632263183594]","[25, 25]","[-75.0, 75.0]","[-74.98933410644531, 75.07828521728516, 0.1782054603099823]","[25, 25]",10,0.07915415016578833,"[[16, 37], [17, 37], [18, 37], [19, 37], [20, 37], [21, 37], [22, 37], [23, 37]]","[17, 37]","[-15.0, 115.0]","[-14.975138664245605, 117.49632263183594, 0.16653014719486237]","[17, 37]",True,False,206,2.496446428071669,0,0,0,[False],[None],1.0,1.0,0.8472293284618572,False,none,"[43, 37]","[44, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
53,"[17, 37]","[-14.974091529846191, 112.4963150024414]","[25, 25]","[-75.0, 75.0]","[-74.98934173583984, 75.07823181152344, 0.17814594507217407]","[25, 25]",10,0.0790008990537098,"[[17, 37], [18, 37], [19, 37], [20, 37], [21, 37], [22, 37], [23, 37]]","[18, 37]","[-15.0, 110.0]","[-14.974091529846191, 112.4963150024414, 0.16649815440177917]","[18, 37]",True,False,206,2.496449446762291,0,0,0,[False],[None],1.0000000000000002,1.0,0.8560001930985751,False,none,"[43, 37]","[44, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
54,"[18, 37]","[-14.972952842712402, 107.4963150024414]","[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07821655273438, 0.17814551293849945]","[25, 25]",10,0.07895451177194575,"[[18, 37], [19, 37], [20, 37], [21, 37], [22, 37], [23, 37]]","[19, 37]","[-15.0, 105.0]","[-14.972952842712402, 107.4963150024414, 0.16650426387786865]","[19, 37]",True,False,206,2.496461523863602,0,0,0,[False],[None],0.9999999999999999,1.0,0.8442421318681161,False,none,"[43, 37]","[44, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
55,"[19, 37]","[-14.971711158752441, 102.49630737304688]","[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07820892333984, 0.17804110050201416]","[25, 25]",10,0.07893836293311386,"[[19, 37], [20, 37], [21, 37], [22, 37], [23, 37]]","[20, 37]","[-15.0, 100.0]","[-14.971711158752441, 102.49630737304688, 0.16656658053398132]","[20, 37]",True,False,206,2.49646765636315,0,0,0,[False],[None],1.0000000000000004,1.0,0.8263797755412445,False,none,"[43, 37]","[44, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
56,"[20, 37]","[-14.97035026550293, 97.49630737304688]","[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07820892333984, 0.1781775802373886]","[25, 25]",10,0.07893080330826677,"[[20, 37], [21, 37], [22, 37], [23, 37], [24, 37], [25, 37], [26, 37], [27, 37], [28, 37]]","[21, 37]","[-15.0, 95.0]","[-14.97035026550293, 97.49630737304688, 0.1665356606245041]","[21, 37]",True,False,206,2.4964834482695726,0,0,0,[False],[None],0.9999999999999998,1.0,0.8165659150131759,True,commit_expired,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
57,"[21, 37]","[-14.968852996826172, 92.49629974365234]","[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07820892333984, 0.1780407577753067]","[25, 25]",10,0.07893080330826677,"[[21, 37], [22, 37], [23, 37], [24, 37], [25, 37], [26, 37], [27, 37], [28, 37]]","[22, 37]","[-15.0, 90.0]","[-14.968852996826172, 92.49629974365234, 0.1664588898420334]","[22, 37]",True,False,206,2.496494050857215,0,0,0,[False],[None],1.0,1.0,0.8157479435594942,False,none,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
58,"[22, 37]","[-14.96719741821289, 87.49629974365234]","[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07820892333984, 0.17813904583454132]","[25, 25]",10,0.07893080330826677,"[[22, 37], [23, 37], [24, 37], [25, 37], [26, 37], [27, 37], [28, 37]]","[23, 37]","[-15.0, 85.0]","[-14.96719741821289, 87.49629974365234, 0.16653084754943848]","[23, 37]",True,False,206,2.4965152552168908,0,0,0,[False],[None],1.0000000000000002,1.0,0.8221175973429038,False,none,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
59,"[23, 37]","[-14.965356826782227, 82.49629211425781]","[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07820892333984, 0.1781388372182846]","[25, 25]",10,0.07893080330826677,"[[23, 37], [24, 37], [25, 37], [26, 37], [27, 37], [28, 37]]","[24, 37]","[-15.0, 80.0]","[-14.965356826782227, 82.49629211425781, 0.16648636758327484]","[24, 37]",True,False,206,2.4965324891049057,0,0,0,[False],[None],1.0,1.0,0.7820059630922844,False,none,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
60,"[24, 37]","[-14.963301658630371, 77.49628448486328]","[25, 25]","[-75.0, 75.0]","[-74.98934936523438, 75.07820892333984, 0.1781522035598755]","[25, 25]",10,0.07893080330826677,"[[24, 37], [25, 37], [26, 37], [27, 37], [28, 37]]","[25, 37]","[-15.0, 75.0]","[-14.963301658630371, 77.49628448486328, 0.16640397906303406]","[25, 37]",True,False,206,2.49655422485241,0,0,0,[False],[None],1.0000000000000004,1.0,0.7954800742891365,False,none,"[42, 37]","[43, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
61,"[25, 37]","[-14.960988998413086, 72.49627685546875]","[25, 30]","[-50.0, 75.0]","[-67.56514739990234, 72.06295013427734, 0.17348219454288483]","[25, 25]",10,25.01717483604467,"[[25, 37], [26, 37], [27, 37], [28, 37], [29, 37], [30, 37], [31, 37], [32, 37], [33, 37]]","[26, 37]","[-15.0, 70.0]","[-14.960988998413086, 72.49627685546875, 0.16649098694324493]","[26, 37]",True,False,206,2.4965816624724626,0,0,0,[False],[None],1.0,1.0,0.798539625550245,True,commit_expired,"[39, 37]","[42, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
62,"[26, 37]","[-14.958370208740234, 67.49626159667969]","[25, 30]","[-50.0, 75.0]","[-57.278018951416016, 73.87250518798828, 0.17751315236091614]","[26, 27]",10,17.312646923415503,"[[26, 37], [27, 37], [28, 37], [29, 37], [30, 37], [31, 37], [32, 37], [33, 37]]","[27, 37]","[-15.0, 65.0]","[-14.958370208740234, 67.49626159667969, 0.1663862019777298]","[27, 37]",True,False,206,2.496608699531858,0,0,0,[False],[None],1.0,1.0,0.6788014074984551,False,none,"[39, 37]","[42, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
63,"[27, 37]","[-14.955379486083984, 62.49625015258789]","[25, 30]","[-50.0, 75.0]","[-52.39040756225586, 74.62767028808594, 0.17859621345996857]","[25, 29]",10,6.9919047683589355,"[[27, 37], [28, 37], [29, 37], [30, 37], [31, 37], [32, 37], [33, 37]]","[28, 37]","[-15.0, 60.0]","[-14.955379486083984, 62.49625015258789, 0.1663222461938858]","[28, 37]",True,False,206,2.496648916959931,0,0,0,[False],[None],1.0,1.0,0.645779491617014,False,none,"[39, 37]","[42, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
64,"[28, 37]","[-14.951935768127441, 57.49623489379883]","[25, 30]","[-50.0, 75.0]","[-50.820213317871094, 74.87227630615234, 0.17820248007774353]","[25, 30]",10,2.2993102957721696,"[[28, 37], [29, 37], [30, 37], [31, 37], [32, 37], [33, 37]]","[29, 37]","[-15.0, 55.0]","[-14.951935768127441, 57.49623489379883, 0.16627173125743866]","[29, 37]",True,False,206,2.4966975818877915,0,0,0,[False],[None],1.0000000000000002,1.0,0.6816009885545935,False,none,"[39, 37]","[42, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
65,"[29, 37]","[-14.94792652130127, 52.4962158203125]","[25, 30]","[-50.0, 75.0]","[-50.316162109375, 74.95076751708984, 0.1781323403120041]","[25, 30]",10,0.7915926680325783,"[[29, 37], [30, 37], [31, 37], [32, 37], [33, 37]]","[30, 37]","[-15.0, 50.0]","[-14.94792652130127, 52.4962158203125, 0.16630253195762634]","[30, 37]",True,False,206,2.4967589128232213,0,0,0,[False],[None],1.0,1.0,0.6853086266796145,False,none,"[39, 37]","[42, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
66,"[30, 37]","[-14.943206787109375, 47.49618911743164]","[25, 30]","[-50.0, 75.0]","[-50.15441131591797, 74.9759521484375, 0.17818348109722137]","[25, 30]",10,0.3076146307575983,"[[30, 37], [31, 37], [32, 37], [33, 37], [34, 37], [35, 37], [36, 37], [37, 37], [38, 37]]","[31, 37]","[-15.0, 45.0]","[-14.943206787109375, 47.49618911743164, 0.16620281338691711]","[31, 37]",True,False,206,2.4968351125003414,0,0,0,[False],[None],0.9999999999999999,1.0,0.7566780160268632,True,commit_expired,"[38, 37]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
67,"[31, 37]","[-14.937575340270996, 42.496158599853516]","[25, 30]","[-50.0, 75.0]","[-50.102508544921875, 74.98403930664062, 0.1781831532716751]","[25, 30]",10,0.15230773656189903,"[[31, 37], [32, 37], [33, 37], [34, 37], [35, 37], [36, 37], [37, 37], [38, 37]]","[32, 37]","[-15.0, 40.0]","[-14.937575340270996, 42.496158599853516, 0.16625037789344788]","[32, 37]",True,False,206,2.4969390448637196,0,0,0,[False],[None],1.0,1.0,0.745329682429264,False,none,"[38, 37]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
68,"[32, 37]","[-14.930750846862793, 37.49612045288086]","[25, 30]","[-50.0, 75.0]","[-50.08585739135742, 74.98663330078125, 0.1781826913356781]","[25, 30]",10,0.1024742152025857,"[[32, 37], [33, 37], [34, 37], [35, 37], [36, 37], [37, 37], [38, 37]]","[33, 37]","[-15.0, 35.0]","[-14.930750846862793, 37.49612045288086, 0.16613706946372986]","[33, 37]",True,False,206,2.497080847810172,0,0,0,[False],[None],0.9999999999999999,1.0,0.7576987290740723,False,none,"[38, 37]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
69,"[33, 37]","[-14.92232894897461, 32.496063232421875]","[25, 30]","[-50.0, 75.0]","[-50.08051300048828, 74.98746490478516, 0.17818224430084229]","[25, 30]",10,0.08648272441062205,"[[33, 37], [34, 37], [35, 37], [36, 37], [37, 37], [38, 37]]","[34, 37]","[-15.0, 30.0]","[-14.92232894897461, 32.496063232421875, 0.16590924561023712]","[34, 37]",True,False,206,2.497271401433118,0,0,0,[False],[None],0.9999999999999998,1.0,0.7608321038092314,False,none,"[38, 37]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
