step,target_waypoint_cell,target_waypoint_world,target_world_observed,target_cell_observed,target_distance_to_waypoint_m,target_ticks_this_step,target_proxy_agent_name,target_motion_source
52,"[25, 30]","[-50.0, 75.0]","[-57.0524787902832, 73.97923278808594, 0.16567690670490265]","[25, 29]",7.12596820006329,10,target,holoocean_agent_proxy
53,"[25, 30]","[-50.0, 75.0]","[-54.87977981567383, 74.29010772705078, 0.16539224982261658]","[25, 29]",4.931145717645212,10,target,holoocean_agent_proxy
54,"[25, 30]","[-50.0, 75.0]","[-53.38373947143555, 74.50743865966797, 0.1647542119026184]","[25, 29]",3.4194019191286364,10,target,holoocean_agent_proxy
55,"[25, 30]","[-50.0, 75.0]","[-52.353641510009766, 74.6575698852539, 0.1650383025407791]","[25, 30]",2.3784210605202083,10,target,holoocean_agent_proxy
56,"[25, 30]","[-50.0, 75.0]","[-51.64441680908203, 74.76081085205078, 0.16513043642044067]","[25, 30]",1.661721423851845,10,target,holoocean_agent_proxy
57,"[25, 30]","[-50.0, 75.0]","[-51.15618133544922, 74.83182525634766, 0.16512684524059296]","[25, 30]",1.1683484175722885,10,target,holoocean_agent_proxy
58,"[25, 30]","[-50.0, 75.0]","[-50.820106506347656, 74.88070678710938, 0.16529136896133423]","[25, 30]",0.8287373241235888,10,target,holoocean_agent_proxy
59,"[25, 30]","[-50.0, 75.0]","[-50.58878707885742, 74.91435241699219, 0.1653127819299698]","[25, 30]",0.5949838087751095,10,target,holoocean_agent_proxy
60,"[25, 30]","[-50.0, 75.0]","[-50.42957305908203, 74.93751525878906, 0.16534356772899628]","[25, 30]",0.4340937179611013,10,target,holoocean_agent_proxy
61,"[25, 30]","[-50.0, 75.0]","[-50.31999588012695, 74.95345306396484, 0.16519083082675934]","[25, 30]",0.32336354239846565,10,target,holoocean_agent_proxy
62,"[25, 30]","[-50.0, 75.0]","[-50.25357437133789, 74.9631118774414, 0.16531485319137573]","[25, 30]",0.25624342993588006,10,target,holoocean_agent_proxy
63,"[25, 30]","[-50.0, 75.0]","[-50.217308044433594, 74.96839141845703, 0.16534695029258728]","[25, 30]",0.21959482826950014,10,target,holoocean_agent_proxy
