tick_global,waypoint_index,target_row,target_col,target_x,target_y,location_x,location_y,location_z,gps_x,gps_y,gps_z,projected_row,projected_col,distance_to_target_m,arrived,timeout,algorithm_step,target_proxy_x,target_proxy_y,target_proxy_z
11,0,1,2,-190.0,195.0,-193.50375366210938,194.90892028808594,0.29915851354599,-193.50375366210938,194.90892028808594,0.29915851354599,1,1,3.5049372660102214,False,False,1,-98.93296813964844,99.97061157226562,0.2986895442008972
12,0,1,2,-190.0,195.0,-193.47779846191406,194.9049530029297,0.2843758165836334,-193.47779846191406,194.9049530029297,0.2843758165836334,1,1,3.479097019823377,False,False,1,-98.92377471923828,99.96979522705078,0.2844560146331787
13,0,1,2,-190.0,195.0,-193.45278930664062,194.90098571777344,0.26127588748931885,-193.45278930664062,194.90098571777344,0.26127588748931885,1,1,3.4542087117220768,False,False,1,-98.91493225097656,99.96891021728516,0.26184675097465515
14,0,1,2,-190.0,195.0,-193.4286346435547,194.89698791503906,0.23098455369472504,-193.4286346435547,194.89698791503906,0.23098455369472504,1,1,3.4301817748672416,False,False,1,-98.9063949584961,99.96796417236328,0.23222877085208893
15,0,1,2,-190.0,195.0,-193.4052734375,194.8929901123047,0.19627976417541504,-193.4052734375,194.8929901123047,0.19627976417541504,1,1,3.4069544024256664,False,False,1,-98.89813232421875,99.9669418334961,0.1984204351902008
16,0,1,2,-190.0,195.0,-193.3826446533203,194.88897705078125,0.16154423356056213,-193.3826446533203,194.88897705078125,0.16154423356056213,1,1,3.38446612420478,False,False,1,-98.89010620117188,99.96585083007812,0.1643112748861313
17,0,1,2,-190.0,195.0,-193.3606719970703,194.88494873046875,0.13154573738574982,-193.3606719970703,194.88494873046875,0.13154573738574982,1,1,3.3626407876122175,False,False,1,-98.88230895996094,99.96469116210938,0.13357822597026825
18,0,1,2,-190.0,195.0,-193.3393096923828,194.8809356689453,0.10892680287361145,-193.3393096923828,194.8809356689453,0.10892680287361145,1,1,3.341431659718824,False,False,1,-98.87468719482422,99.9634780883789,0.10988235473632812
19,0,1,2,-190.0,195.0,-193.31849670410156,194.8769073486328,0.09512370079755783,-193.31849670410156,194.8769073486328,0.09512370079755783,1,1,3.320778850804964,False,False,1,-98.86724090576172,99.96219635009766,0.0951647236943245
20,0,1,2,-190.0,195.0,-193.29820251464844,194.8728790283203,0.09089957922697067,-193.29820251464844,194.8728790283203,0.09089957922697067,1,1,3.300651385571349,False,False,1,-98.85993194580078,99.96085357666016,0.0900546982884407
21,0,1,2,-190.0,195.0,-193.27838134765625,194.8688507080078,0.09588312357664108,-193.27838134765625,194.8688507080078,0.09588312357664108,1,1,3.281003565595512,False,False,1,-98.85275268554688,99.9594497680664,0.09435495734214783
22,0,1,2,-190.0,195.0,-193.25900268554688,194.8648223876953,0.10850577056407928,-193.25900268554688,194.8648223876953,0.10850577056407928,1,1,3.261804943780382,False,False,1,-98.8456802368164,99.95797729492188,0.10659512132406235
23,0,1,2,-190.0,195.0,-193.24000549316406,194.8607940673828,0.1264151930809021,-193.24000549316406,194.8607940673828,0.1264151930809021,1,1,3.242994586398368,False,False,1,-98.83871459960938,99.95642852783203,0.12451093643903732
24,0,1,2,-190.0,195.0,-193.2213897705078,194.8567657470703,0.1474945843219757,-193.2213897705078,194.8567657470703,0.1474945843219757,1,1,3.224572546050825,False,False,1,-98.83184051513672,99.95479583740234,0.1454179435968399
25,0,1,2,-190.0,195.0,-193.203125,194.8527374267578,0.16878099739551544,-193.203125,194.8527374267578,0.16878099739551544,1,1,3.206508386251767,False,False,1,-98.82505798339844,99.95307159423828,0.16660670936107635
26,0,1,2,-190.0,195.0,-193.18516540527344,194.84869384765625,0.18796105682849884,-193.18516540527344,194.84869384765625,0.18796105682849884,1,1,3.1887571576850706,False,False,1,-98.818359375,99.95124816894531,0.1851101815700531
27,0,1,2,-190.0,195.0,-193.16749572753906,194.8446502685547,0.2028941661119461,-193.16749572753906,194.8446502685547,0.2028941661119461,1,1,3.171303000824479,False,False,1,-98.81173706054688,99.94931030273438,0.1994340568780899
