step,target_waypoint_cell,target_waypoint_world,target_world_observed,target_cell_observed,target_distance_to_waypoint_m,target_ticks_this_step,target_proxy_agent_name,target_motion_source
57,"[25, 30]","[-50.0, 75.0]","[-50.0782356262207, 74.9878158569336, 0.16236180067062378]","[25, 30]",0.07917870011820241,10,target,holoocean_agent_proxy
58,"[25, 30]","[-50.0, 75.0]","[-50.078067779541016, 74.98784637451172, 0.16222897171974182]","[25, 30]",0.07900815663571716,10,target,holoocean_agent_proxy
59,"[25, 30]","[-50.0, 75.0]","[-50.0780143737793, 74.98785400390625, 0.16233447194099426]","[25, 30]",0.07895421291663438,10,target,holoocean_agent_proxy
60,"[25, 30]","[-50.0, 75.0]","[-50.077999114990234, 74.98785400390625, 0.16216720640659332]","[25, 30]",0.07893913579694925,10,target,holoocean_agent_proxy
61,"[25, 30]","[-50.0, 75.0]","[-50.0779914855957, 74.98785400390625, 0.1624424010515213]","[25, 30]",0.07893159726328967,10,target,holoocean_agent_proxy
62,"[25, 30]","[-50.0, 75.0]","[-50.0779914855957, 74.98785400390625, 0.1623592972755432]","[25, 30]",0.07893159726328967,10,target,holoocean_agent_proxy
63,"[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.16218072175979614]","[25, 30]",0.07892782800300782,10,target,holoocean_agent_proxy
64,"[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.1623355895280838]","[25, 30]",0.07892782800300782,10,target,holoocean_agent_proxy
65,"[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.16218115389347076]","[25, 30]",0.07892782800300782,10,target,holoocean_agent_proxy
66,"[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.16233602166175842]","[25, 30]",0.07892782800300782,10,target,holoocean_agent_proxy
67,"[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.16218160092830658]","[25, 30]",0.07892782800300782,10,target,holoocean_agent_proxy
68,"[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.16233646869659424]","[25, 30]",0.07892782800300782,10,target,holoocean_agent_proxy
69,"[25, 30]","[-50.0, 75.0]","[-50.07798767089844, 74.98785400390625, 0.1621820330619812]","[25, 30]",0.07892782800300782,10,target,holoocean_agent_proxy
70,"[25, 30]","[-50.0, 75.0]","[-50.0779914855957, 74.98787689208984, 0.16223028302192688]","[25, 30]",0.07892807846911047,10,target,holoocean_agent_proxy
