system_group,target_motion_mode,map_kind,method,lambda,n,success_all_found_mean,success_all_found_std,time_to_first_detection_mean,time_to_first_detection_std,time_to_all_found_mean,time_to_all_found_std,detection_rate_mean,detection_rate_std,found_count_mean,found_count_std,known_free_observation_ratio_final_mean,known_free_observation_ratio_final_std,path_length_mean,path_length_std,duplicate_viewpoint_ratio_mean,duplicate_viewpoint_ratio_std,cross_region_assignment_ratio_mean,cross_region_assignment_ratio_std,anomaly_top_band_selection_ratio_pre_first_detection_mean,anomaly_top_band_selection_ratio_pre_first_detection_std,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_mean,unfound_target_neighborhood_anomaly_mass_ratio_pre_first_detection_std
single,random_walk,peninsula_passage,anomaly,0.5,10.0,0.6,0.4898979485566356,56.5,43.742999439910385,191.83333333333334,31.74070292577375,0.8666666666666666,0.16329931618554522,2.6,0.48989794855663565,0.6979328165374677,0.06380168866182037,211.1,34.077705321808274,,,,,0.2136162605262058,0.13398031751016082,0.051342516712898856,0.0039912948407236455
single,random_walk,peninsula_passage,anomaly,0.75,10.0,0.5,0.5,50.7,22.320618271006744,180.0,37.10525569242179,0.8333333333333334,0.16666666666666669,2.5,0.5,0.721860465116279,0.1144459117432366,210.0,39.85473623046576,,,,,0.2497906562104054,0.14263147764075118,0.052652573335398314,0.0058425315931296806
single,random_walk,peninsula_passage,anomaly,1.0,10.0,0.5,0.5,54.6,31.11655507925002,176.0,34.48477925114209,0.8333333333333333,0.16666666666666669,2.5,0.5,0.7333333333333334,0.11263731575554177,208.0,40.2318281960937,,,,,0.20501245572453,0.14656234582687266,0.053003872303060064,0.0051500351965062
single,random_walk,peninsula_passage,anomaly,1.25,10.0,0.5,0.5,52.7,31.871774346590747,177.4,42.800000000000004,0.8333333333333333,0.16666666666666669,2.5,0.5,0.7409302325581396,0.1341582657337008,208.7,43.53860356051857,,,,,0.19852678453297642,0.16055891066467043,0.053443773199570464,0.0055341562275920695
single,random_walk,peninsula_passage,ucb,,10.0,0.5,0.5,52.9,34.10117300035294,188.2,31.243559336285614,0.8333333333333333,0.16666666666666669,2.5,0.5,0.7468217054263566,0.08037378708032719,214.1,34.04247347065133,,,,,0.22099817881076098,0.13866037189363145,0.05183915140902649,0.004549783403996615
single,static,harbor_cove,anomaly,0.5,10.0,0.6,0.4898979485566356,31.7,12.345444503945574,113.66666666666667,28.476110845564726,0.8666666666666666,0.16329931618554522,2.6,0.48989794855663565,0.6162725225225225,0.14172807333325763,164.2,65.70357676717455,,,,,0.31419852936880793,0.25537664193486337,0.06050844421801388,0.008058003652773893
single,static,harbor_cove,anomaly,0.75,10.0,0.5,0.5,31.6,11.42978564978364,108.2,30.655505215213793,0.8,0.22110831935702666,2.4,0.66332495807108,0.6322635135135135,0.1539018221587034,174.1,69.3735540389852,,,,,0.3082702471247362,0.2658728055727856,0.06121828313990886,0.008978957451635655
single,static,harbor_cove,anomaly,1.0,10.0,0.5,0.5,31.3,12.066896867049126,108.8,31.428649350552753,0.8333333333333333,0.16666666666666669,2.5,0.5,0.638795045045045,0.15973638639058918,174.4,69.26211085434807,,,,,0.3082702471247362,0.2658728055727856,0.06176899568372133,0.008921544622498702
single,static,harbor_cove,anomaly,1.25,10.0,0.7,0.45825756949558405,31.3,12.066896867049126,123.14285714285714,50.79490573846547,0.9,0.1527525231651947,2.7,0.45825756949558405,0.6051801801801802,0.15662341751853537,158.2,68.36490327646197,,,,,0.3082702471247362,0.2658728055727856,0.062407511369738176,0.009264001982559023
single,static,harbor_cove,ucb,,10.0,0.4,0.48989794855663565,31.8,10.49571341072154,140.0,22.9891278651453,0.7666666666666667,0.21343747458109497,2.3,0.6403124237432849,0.6413851351351351,0.0837028611492623,200.0,51.10185906598702,,,,,0.27640261587630005,0.2531300488111891,0.06187800997922678,0.011122049569547007
single,static,open_water,anomaly,0.5,10.0,0.6,0.4898979485566356,47.0,15.152557539900648,155.83333333333334,55.188817305279834,0.8666666666666666,0.16329931618554522,2.6,0.48989794855663565,0.6254990925589836,0.14524049164190875,189.5,59.39402326833905,,,,,0.28618569434066665,0.10778178105940789,0.04904198804226742,0.004197092477226793
single,static,open_water,anomaly,0.75,10.0,0.4,0.4898979485566356,47.9,16.145897311701198,150.0,61.75354240851289,0.7666666666666666,0.21343747458109497,2.3,0.6403124237432849,0.6466424682395644,0.15728020993293038,204.0,58.90161288114274,,,,,0.2946845076873866,0.11524484622425135,0.050114894013458075,0.0034468387708224382
single,static,open_water,anomaly,1.0,10.0,0.7,0.45825756949558405,48.4,15.90723106011854,170.57142857142858,52.84169658479167,0.8666666666666666,0.22110831935702666,2.6,0.66332495807108,0.6190108892921959,0.1381480302475231,191.4,54.46870661214566,,,,,0.290706539511132,0.11422134715648263,0.051178204669356034,0.003990773096110703
single,static,open_water,anomaly,1.25,10.0,0.5,0.5,49.1,16.54357881475468,127.4,45.758496478796154,0.8333333333333333,0.16666666666666669,2.5,0.5,0.577858439201452,0.1355144292187385,183.7,64.93542946650928,,,,,0.30600504697381853,0.11792971010111157,0.05212790795567842,0.005096752185487157
single,static,open_water,ucb,,10.0,0.8,0.4,48.2,15.308820986607689,160.0,41.54515615568198,0.9,0.21343747458109494,2.7,0.6403124237432849,0.5661524500907441,0.10203281475861053,176.0,49.03876018008612,,,,,0.3084806819074402,0.11874419609955161,0.050176978865434894,0.004556021333782616
single,static,peninsula_passage,anomaly,0.5,10.0,0.6,0.48989794855663565,57.3,29.65821977125397,182.83333333333334,22.504937729801036,0.8333333333333333,0.223606797749979,2.5,0.6708203932499369,0.6512144702842377,0.06335396701636398,205.7,32.98802813142974,,,,,0.29192077434675573,0.12853164776237275,0.04978845468463115,0.005689533152401873
single,static,peninsula_passage,anomaly,0.75,10.0,0.4,0.48989794855663565,56.9,29.238502013612123,193.75,19.253246479490155,0.7666666666666667,0.21343747458109497,2.3,0.6403124237432849,0.6751937984496124,0.06751547854646944,221.5,25.722558193150228,,,,,0.2837812394630349,0.11717216605515154,0.050093058981069916,0.0057432632179157716
single,static,peninsula_passage,anomaly,1.0,10.0,0.4,0.48989794855663565,56.5,28.633022893156078,193.75,19.253246479490155,0.7666666666666667,0.21343747458109497,2.3,0.6403124237432849,0.6560206718346253,0.05278214063231412,221.5,25.722558193150228,,,,,0.2795962722957556,0.10878513179275288,0.050207249206343105,0.005900668925928333
single,static,peninsula_passage,anomaly,1.25,10.0,0.2,0.4000000000000001,56.4,28.632848269077247,171.0,8.0,0.7,0.17950549357115014,2.1,0.5385164807134505,0.6748320413436693,0.06871822790738011,226.2,27.830918058878332,,,,,0.2749549237122586,0.13253660298056347,0.05048419787201506,0.0058612278877271246
single,static,peninsula_passage,ucb,,10.0,0.4,0.48989794855663565,56.8,27.268296609799446,174.75,30.07802353878991,0.7333333333333333,0.24944382578492946,2.2,0.7483314773547882,0.7040826873385013,0.12594670444849526,213.9,37.19798381633069,,,,,0.27580789740561545,0.1600740771887704,0.051305564282143855,0.00684370002603985
two_coordinated,random_walk,harbor_cove,anomaly,0.5,10.0,0.6,0.48989794855663565,67.3,49.962085625001684,129.66666666666666,63.649212267098974,0.8,0.26666666666666666,2.4,0.8,0.6955317982456141,0.2103353801243392,,,0.0,0.0,0.02168218497827434,0.02656336500344594,0.261727434834116,0.04941551368314921,0.032247934697071594,0.004193407468887228
two_coordinated,random_walk,harbor_cove,anomaly,0.75,10.0,0.5,0.5,65.1,47.78378386021768,159.8,36.88034706995042,0.7333333333333333,0.2905932629027116,2.2,0.8717797887081347,0.7768092105263158,0.12250301354717535,,,0.0,0.0,0.027504957110220253,0.0212451108926314,0.254603066246653,0.09235905903465913,0.03244957937349563,0.004155211455397088
two_coordinated,random_walk,harbor_cove,anomaly,1.0,10.0,0.9,0.30000000000000004,48.2,30.570574086856787,169.66666666666666,47.2299340108227,0.9333333333333332,0.19999999999999998,2.8,0.6,0.728234649122807,0.14186352913128825,,,0.0,0.0,0.01860714952280182,0.0178192851596596,0.26731985501055505,0.08717415406825885,0.03291988806065822,0.004329638647337927
two_coordinated,random_walk,harbor_cove,anomaly,1.25,10.0,0.7,0.45825756949558405,54.3,38.23885458535597,160.0,50.638776785046005,0.8666666666666668,0.22110831935702666,2.6,0.66332495807108,0.7379660087719297,0.15285587434647105,,,0.0,0.0,0.01845047861356695,0.019462438613239635,0.25767394813575406,0.09198300782685336,0.03361594181144305,0.004340631253988801
two_coordinated,random_walk,harbor_cove,ucb,,10.0,0.6,0.48989794855663565,53.1,41.666413332563195,159.16666666666666,55.43289236144507,0.8333333333333334,0.223606797749979,2.5,0.6708203932499369,0.7740679824561403,0.1748973885593844,,,0.0,0.0,0.01423534798534797,0.017114747644628357,0.262188598700328,0.09137368464391724,0.034438033388422704,0.006317585101201562
two_coordinated,random_walk,open_water,anomaly,0.5,10.0,0.8,0.4,61.3,53.01141386531772,135.125,61.98273449114681,0.9,0.21343747458109497,2.7,0.6403124237432849,0.6053492484526968,0.1960531477009387,,,0.0,0.0,0.021773287258443342,0.026973400826723254,0.25276766013144636,0.09146897070123064,0.024407709084789612,0.002421924952580106
two_coordinated,random_walk,open_water,anomaly,0.75,10.0,0.6,0.48989794855663565,64.4,65.99121153608259,126.5,47.05935967831834,0.8333333333333333,0.22360679774997896,2.5,0.6708203932499369,0.6445844385499558,0.1736395828700309,,,0.0,0.0,0.01763385225885222,0.023901968888107354,0.2545913245906752,0.10666550035491139,0.02425425047932624,0.003017939399877044
two_coordinated,random_walk,open_water,anomaly,1.0,10.0,0.7,0.45825756949558405,58.4,51.16092258745927,125.0,55.00129868596611,0.8999999999999998,0.1527525231651947,2.7,0.45825756949558405,0.6014809902740937,0.19037006338705215,,,0.0,0.0,0.030929970317033713,0.03235017195225065,0.2677530037605972,0.09814257418230263,0.02475844666952437,0.003568611273719002
two_coordinated,random_walk,open_water,anomaly,1.25,10.0,0.8,0.4000000000000001,60.8,57.326782571499685,126.25,50.80784880311309,0.9333333333333332,0.13333333333333333,2.8,0.39999999999999997,0.589500442086649,0.18023245511239663,,,0.0,0.0,0.012696763602251391,0.019474157344941363,0.25261454308247616,0.09237185905503822,0.02464972657139729,0.0032299236894682433
two_coordinated,random_walk,open_water,ucb,,10.0,0.6,0.48989794855663565,64.8,54.07735200617722,164.33333333333334,46.89586572633266,0.8333333333333333,0.223606797749979,2.5,0.6708203932499369,0.7234526967285587,0.1421468230923177,,,0.0,0.0,0.01754986187412799,0.021507590611136683,0.24473976821536975,0.1110833802186398,0.02577667746794803,0.00404872909889044
two_coordinated,random_walk,peninsula_passage,anomaly,0.5,10.0,0.6,0.4898979485566357,58.4,38.15022935710872,192.5,35.169826082405734,0.8666666666666666,0.16329931618554522,2.6,0.48989794855663565,0.7538808212318477,0.1335027766467296,,,0.0,0.0,0.07749186587961694,0.03976349992033493,0.2657493178976852,0.11899702849891604,0.029610398696057576,0.009842034989535453
two_coordinated,random_walk,peninsula_passage,anomaly,0.75,10.0,0.4,0.4898979485566356,54.0,37.72414493545362,177.5,20.11839953873071,0.7333333333333333,0.2905932629027116,2.2,0.8717797887081347,0.7816224336504757,0.06997616718876039,,,0.0,0.0,0.053189252627005024,0.04077174581012119,0.27937549729359,0.08914965074620888,0.030082129342398588,0.010550178272487271
two_coordinated,random_walk,peninsula_passage,anomaly,1.0,10.0,0.7,0.45825756949558405,80.3,65.05851212562426,199.14285714285714,32.45404914833354,0.8666666666666666,0.22110831935702666,2.6,0.66332495807108,0.7435903855783675,0.12101500555421559,,,0.0,0.0,0.07157592371597499,0.048990352964033736,0.2999322747262227,0.13867141438974143,0.029806051965841455,0.007672957803508396
two_coordinated,random_walk,peninsula_passage,anomaly,1.25,10.0,0.7,0.45825756949558405,79.4,65.57164021129867,183.85714285714286,34.089917116056355,0.8666666666666666,0.22110831935702666,2.6,0.66332495807108,0.7262393590385579,0.143013601281317,,,0.0,0.0,0.048555700837761895,0.05203783431968665,0.32094946502955113,0.12803661544200357,0.029912991370037844,0.008147010528611333
two_coordinated,random_walk,peninsula_passage,ucb,,10.0,0.6,0.48989794855663565,65.5,49.2224542256885,156.16666666666666,39.061561099827486,0.8333333333333333,0.22360679774997896,2.5,0.6708203932499369,0.699248873309965,0.12715232701543147,,,0.0,0.0,0.0361648698409497,0.026600423017221358,0.23106143306549637,0.09934274784818924,0.030477188452069464,0.011402441886094674
two_coordinated,static,harbor_cove,anomaly,0.5,10.0,0.5,0.5,69.2,50.119457299535874,117.0,64.76727568764954,0.7666666666666666,0.2603416558635552,2.3,0.7810249675906654,0.6778508771929823,0.21010714020176893,,,0.0,0.0,0.0107282448377581,0.02409828122115447,0.2840863879915875,0.07108210509153359,0.03253675427421445,0.006887757524913883
