tick_global,step,target_cell,location_x,location_y,location_z,projected_row,projected_col,distance_to_target_m,heading_deg,target_heading_deg,heading_error_deg,command_0,command_1,arrived,timeout
22,1,"[39, 40]",0.00027439655968919396,-0.003971979487687349,0.28659987449645996,40,40,10.003971983250866,7.908366680145264,90.00157155226059,82.09320487211534,-8000.0,8000.0,False,False
23,1,"[39, 40]",0.0003766671579796821,-0.004648990463465452,0.2642364501953125,40,40,10.004648997554076,9.271472930908203,90.00215714098954,80.73068421008134,-7903.19422302567,8000.0,False,False
24,1,"[39, 40]",0.0005038782837800682,-0.0053703077137470245,0.23430666327476501,40,40,10.0053703204016,10.730517387390137,90.00288546032147,79.27236807293133,-7566.79540569233,8000.0,False,False
25,1,"[39, 40]",0.0006597127649001777,-0.0061358315870165825,0.1996251493692398,40,40,10.006135853334717,12.283077239990234,90.00377755786062,77.72070031787041,-7209.760176986062,8000.0,False,False
26,1,"[39, 40]",0.0008488573948852718,-0.0069487872533500195,0.16519567370414734,40,40,10.006948823256275,13.926789283752441,90.00486021734025,76.07807093358781,-6832.949587287561,8000.0,False,False
27,1,"[39, 40]",0.0010766013292595744,-0.007812418509274721,0.134815514087677,40,40,10.007812476417554,15.659341812133789,90.00616365590874,74.34682184377493,-6437.266854331776,8000.0,False,False
28,1,"[39, 40]",0.001349058118648827,-0.008730529807507992,0.11178336292505264,40,40,10.00873062072602,17.47848129272461,90.00772279119897,72.52924149847436,-6023.659379280234,8000.0,False,False
29,1,"[39, 40]",0.0016728541813790798,-0.009705986827611923,0.09812577813863754,40,40,10.00970612661399,19.38200569152832,90.0095754544207,70.62756976289239,-5593.122973356949,8000.0,False,False
30,1,"[39, 40]",0.002054448239505291,-0.01073884405195713,0.09396103024482727,40,40,10.010739054863446,21.367774963378906,90.01175849390668,68.64398353052778,-5146.701443624143,8000.0,False,False
31,1,"[39, 40]",0.0025004432536661625,-0.011827997863292694,0.09892593324184418,40,40,10.011828310104793,23.433696746826172,90.01430955889363,66.58061281206744,-4685.491990177025,8000.0,False,False
32,1,"[39, 40]",0.0030168057419359684,-0.012969586066901684,0.11157717555761337,40,40,10.012970040533311,25.577741622924805,90.01726263421733,64.43952101129253,-4210.642550256439,8000.0,False,False
33,1,"[39, 40]",0.0036085261963307858,-0.014157096855342388,0.12973342835903168,40,40,10.01415774700796,27.797924041748047,90.02064610234927,62.22272206060123,-3723.3565475340097,8000.0,False,False
34,1,"[39, 40]",0.004279481712728739,-0.015381947159767151,0.1509023755788803,40,40,10.015382861451554,30.09231948852539,90.02448196454354,59.93216247601816,-3224.88906364675,8000.0,False,False
35,1,"[39, 40]",0.005031449720263481,-0.01663241535425186,0.17190086841583252,40,40,10.016633679026695,32.45906066894531,90.02878021251091,57.56971954356561,-2716.546441672166,8000.0,False,False
36,1,"[39, 40]",0.005866029765456915,-0.017897900193929672,0.19062885642051697,40,40,10.017899617635184,34.89631652832031,90.03354982382473,55.137233295504416,-2199.6908522934737,8000.0,False,False
37,1,"[39, 40]",0.006783140357583761,-0.019166413694620132,0.20490266382694244,40,40,10.01916870984312,37.40230941772461,90.03879017863447,52.636480760909876,-1675.7333271056586,8000.0,False,False
38,1,"[39, 40]",0.007784019224345684,-0.020429281517863274,0.21416787803173065,40,40,10.020432304888642,39.975311279296875,90.0445082088765,50.06919692957962,-1146.133820932926,8000.0,False,False
39,1,"[39, 40]",0.010219790041446686,-0.02053591050207615,0.21813690662384033,40,40,10.02054112200385,42.598331451416016,90.05843506166651,47.460103610250485,-617.4397933193568,8000.0,False,False
40,1,"[39, 40]",0.0158392284065485,-0.017736177891492844,0.2171669900417328,40,40,10.01774869973252,45.24722671508789,90.0905913438003,44.84336462871241,-98.0611549999303,8000.0,False,False
41,1,"[39, 40]",0.02600916661322117,-0.010315930470824242,0.21206267178058624,40,40,10.010349719394718,47.89890670776367,90.14886764139676,42.249960933633076,404.6290236569994,8000.0,False,False
42,1,"[39, 40]",0.04172137379646301,0.003361882409080863,0.20397189259529114,40,40,9.9967251801329,50.53157043457031,90.23912486644987,39.707554431879544,884.3566185946738,8000.0,False,False
43,1,"[39, 40]",0.06361019611358643,0.02481871284544468,0.19382138550281525,40,40,9.975384101308983,53.124969482421875,90.36536141711264,37.24039193469076,1335.9758633197089,8000.0,False,False
