episode_seed,map_kind,target_motion_mode,policy_name,assignment_mode,clue_acquisition_mode,path_safety_mode,team_path_avoidance_mode,viewpoint_generation_mode,terminated_reason,completed_steps,time_to_first_detection,time_to_all_found,success_all_found,detection_rate,found_count,known_free_observation_ratio_final,path_length_total,planning_time_ms_mean,duplicate_viewpoint_ratio,cross_region_assignment_ratio,reservation_wait_fallback_count,candidate_pool_size_mean,reachable_pool_size_mean,a_star_checked_pool_size_mean
9,open_water,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,160,29,160,True,1.0,3,0.6646772767462422,320,116.46932187497896,0.0,0.0,0,,,
0,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,68,,False,0.3333333333333333,1,0.9226973684210527,480,93.97570208325305,0.0,0.014583333333333334,0,,,
1,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,168,83,168,True,1.0,3,0.7362938596491229,336,117.29427976184698,0.0,0.03571428571428571,0,,,
2,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,43,,False,0.6666666666666666,2,0.9136513157894737,480,104.91415124999246,0.0,0.014583333333333334,0,,,
3,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,48,7,48,True,1.0,3,0.29851973684210525,96,104.3351541672261,0.0,0.0,0,,,
4,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,228,24,228,True,1.0,3,0.8908991228070176,456,105.57516535094405,0.0,0.0,0,,,
5,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,183,39,183,True,1.0,3,0.7735745614035088,366,107.03601092871872,0.0,0.0,0,,,
6,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,182,14,182,True,1.0,3,0.7541118421052632,364,122.04260879124186,0.0,0.027472527472527472,0,,,
7,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,146,16,146,True,1.0,3,0.7168311403508771,292,107.05128972590937,0.0,0.0,0,,,
8,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,146,,False,0.6666666666666666,2,0.899671052631579,480,123.93872000012986,0.0,0.0,0,,,
9,harbor_cove,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,91,,False,0.6666666666666666,2,0.8344298245614035,480,177.47368499999538,0.0,0.05,0,,,
0,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,95,,False,0.6666666666666666,2,0.7979469203805708,480,205.84047333322815,0.0,0.05625,0,,,
1,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,17,,False,0.6666666666666666,2,0.8027040560841262,480,229.94285041675843,0.0,0.025,0,,,
2,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,103,11,103,True,1.0,3,0.4519278918377566,206,192.54493009698442,0.0,0.0,0,,,
3,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,121,,False,0.3333333333333333,1,0.8049574361542313,480,197.2395491666854,0.0,0.06875,0,,,
4,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,116,26,116,True,1.0,3,0.5420630946419629,232,186.24281034480472,0.0,0.0,0,,,
5,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,208,24,208,True,1.0,3,0.7538808212318477,416,187.0304331731719,0.0,0.06490384615384616,0,,,
6,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,157,49,157,True,1.0,3,0.6231847771657486,314,180.21270254806498,0.0,0.006369426751592357,0,,,
7,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,152,73,152,True,1.0,3,0.5953930896344517,304,199.84196644729406,0.0,0.039473684210526314,0,,,
8,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,all_found,201,67,201,True,1.0,3,0.8102153229844767,402,222.6565213932371,0.0,0.06965174129353234,0,,,
9,peninsula_passage,random_walk,marine_knownmap_path_v2_infosampled_2usv,coordinated,ucb,soft_clearance_astar_v1,reservation_v1,,max_iters,240,172,,False,0.6666666666666666,2,0.8102153229844767,480,200.8645945833905,0.0,0.03125,0,,,
