run_kind,tick_global,policy_step,tick_in_policy_step,agent_name,rgb_present,rangefinder_present,any_rangefinder_hit,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,loc_x,loc_y,loc_z,selected_sensor,fallback_used,target_waypoint,distance_to_waypoint_m,heading_deg,target_heading_deg,heading_error_deg,cmd_l,cmd_r,inter_vessel_distance_m
baseline,6,1,6,sv0,True,True,False,[],,2.614210844039917,-5.970510005950928,0.2109091877937317,LocationSensor,False,"[3.702127659574468, -6.0, 0.0]",1.0883164325102568,12.966453552246094,358.4472723340629,-14.519181218183121,3644.581928657318,400.96571168430455,11.940896511122554
baseline,6,1,6,sv1,True,True,False,[],,2.61417818069458,5.970386505126953,0.21519339084625244,LocationSensor,False,"[3.702127659574468, 6.0, 0.0]",1.0883524372525728,347.435133934021,1.5591803244974942,14.124046390476508,448.68614139871784,3604.028390592135,11.940896511122554
baseline,7,1,7,sv0,False,True,False,[],,2.652601480484009,-5.9650421142578125,0.21183723211288452,LocationSensor,False,"[4.042553191489361, -6.0, 0.0]",1.3903912444712352,13.630814552307129,358.5592901234019,-15.07152442890515,3859.1308666740383,492.11999206088103,11.929954528873454
baseline,7,1,7,sv1,False,True,False,[],,2.652562141418457,5.964912414550781,0.21757441759109497,LocationSensor,False,"[4.042553191489361, 6.0, 0.0]",1.3904338380267758,346.936411857605,1.446011981765908,14.509600124160954,560.5510201259276,3802.026800150077,11.929954528873454
baseline,8,1,8,sv0,False,True,False,[],,2.6920225620269775,-5.958974838256836,0.2069994956254959,LocationSensor,False,"[4.382978723404255, -6.0, 0.0]",1.691453754495177,14.268424034118652,358.6101901160802,-15.658233918038377,4075.577269446315,577.4942369058783,11.917840004039487
baseline,8,1,8,sv1,False,True,False,[],,2.691981077194214,5.958865165710449,0.21392638981342316,LocationSensor,False,"[4.382978723404255, 6.0, 0.0]",1.6914978906519302,346.49351978302,1.3934896254867482,14.899969842466703,670.6426856214632,3999.3278977674454,11.917840004039487
baseline,9,1,9,sv0,False,True,False,[],,2.7323570251464844,-5.952314376831055,0.19785594940185547,LocationSensor,False,"[4.723404255319149, -6.0, 0.0]",1.9916181841495753,14.880295753479004,358.6280271545589,-16.252268598920182,4291.137272729802,660.3456187183724,11.904578685812792
baseline,9,1,9,sv1,False,True,False,[],,2.7323217391967773,5.952264308929443,0.20538243651390076,LocationSensor,False,"[4.723404255319149, 6.0, 0.0]",1.9916546593750077,346.1050624847412,1.3733884775695537,15.268325992828352,782.3005690872626,4193.277335073655,11.904578685812792
baseline,10,1,10,sv0,False,True,False,[],,2.7734999656677246,-5.945069313049316,0.18583814799785614,LocationSensor,False,"[5.0638297872340425, -6.0, 0.0]",2.290988448666836,15.467348098754883,358.6260960129351,-16.84125208581986,4504.581710451038,742.2098825352716,11.89020013810478
baseline,10,1,10,sv1,False,True,False,[],,2.77348256111145,5.945130825042725,0.19331519305706024,LocationSensor,False,"[5.0638297872340425, 6.0, 0.0]",2.291004374192233,345.76968002319336,1.3723556380784745,15.602675614885129,897.1207275245554,4382.7919160093725,11.89020013810478
baseline,11,1,11,sv0,False,True,False,[],,2.815356969833374,-5.93725061416626,0.17229337990283966,LocationSensor,False,"[5.404255319148936, -6.0, 0.0]",2.589658693440383,16.030441284179688,358.6115441031919,-17.41889718098787,4715.326785145307,823.9078043504667,11.87474155427132
baseline,11,1,11,sv1,False,True,False,[],,2.815373182296753,5.937490940093994,0.17978323996067047,LocationSensor,False,"[5.404255319148936, 6.0, 0.0]",2.589636673566903,345.48604679107666,1.383148932105827,15.897102141029166,1015.9824679605879,4567.429173711614,11.87474155427132
